Rank,Player,Team,Opp,Position,Att,Comp,Pass Yds,Pass TDs,0-9 PassTDs,10-19 PassTDs,20-29 PassTDs,30-39 PassTDs,40-49 PassTDs,50+ PassTDs,Int,Sacked,Rush,Rush Yds,Rush TDs,Fum Lost,Scoring Opps,Pts
1,"Watson, Deshaun",HOU,NYG,QB,43.2,25.,285.4,2.1,1.1,0.3,0.3,0.2,0.1,0.1,0.8,2.2,3.1,18.4,0.2,0.3,4.7,24.6
2,"Brady, Tom",NEP,@DET,QB,39.7,26.,312.,2.2,1.2,0.6,0.1,0.1,0.,0.2,0.5,2.,1.7,2.4,0.,0.1,4.9,24.2
3,"Wilson, Russell",SEA,DAL,QB,34.6,21.7,254.9,2.,0.8,0.5,0.3,0.2,0.1,0.1,0.7,2.6,5.3,27.6,0.1,0.1,4.4,23.5
4,"Rodgers, Aaron",GBP,@WAS,QB,37.,23.7,257.5,2.1,1.1,0.4,0.2,0.3,0.,0.1,1.1,3.6,4.4,26.5,0.1,0.3,4.9,22.9
5,"Brees, Drew",NOR,@ATL,QB,37.4,25.3,300.9,1.9,1.,0.4,0.2,0.1,0.1,0.2,0.6,1.2,1.5,0.6,0.1,0.1,4.4,22.7
6,"Wentz, Carson",PHI,IND,QB,40.1,25.,274.5,1.9,0.7,0.6,0.2,0.1,0.1,0.2,0.8,2.5,3.3,13.3,0.1,0.2,4.2,22.3
7,"Smith, Alex",WAS,GBP,QB,35.7,23.6,273.6,1.7,0.5,0.4,0.1,0.2,0.1,0.3,0.4,1.7,2.8,12.9,0.2,0.1,3.8,22.2
8,"Newton, Cam",CAR,CIN,QB,34.1,19.1,233.7,1.4,0.5,0.3,0.2,0.2,0.1,0.1,1.1,2.8,7.3,35.1,0.3,0.1,3.8,21.6
9,"Mahomes, Patrick",KCC,SFO,QB,37.3,24.9,286.,1.4,0.4,0.4,0.1,0.1,0.,0.3,0.4,1.8,3.5,13.4,0.1,0.1,3.9,21.4
10,"Carr, Derek",OAK,@MIA,QB,40.7,25.6,278.6,1.9,0.9,0.2,0.2,0.2,0.1,0.2,0.6,1.1,1.7,3.7,0.,0.2,5.3,21.1
11,"Bortles, Blake",JAC,TEN,QB,36.7,21.7,247.6,1.4,0.7,0.4,0.1,0.,0.,0.1,0.7,1.5,3.7,22.1,0.2,0.2,3.6,20.3
12,"Dalton, Andy",CIN,@CAR,QB,38.2,23.5,264.3,1.6,0.8,0.3,0.1,0.,0.1,0.2,0.5,2.,2.1,6.7,0.1,0.1,3.4,20.3
13,"Ryan, Matt",ATL,NOR,QB,33.6,22.4,271.9,1.7,1.,0.3,0.1,0.1,0.1,0.1,0.5,2.1,2.1,7.,0.,0.2,4.3,20.2
14,"Roethlisberger, Ben",PIT,@TBB,QB,35.1,23.1,268.5,1.8,0.8,0.3,0.4,0.2,0.1,0.1,1.1,1.7,1.6,2.6,0.,0.2,4.5,20.1
15,"Rivers, Philip",LAC,@LAR,QB,34.9,21.6,272.8,1.9,0.8,0.3,0.3,0.1,0.2,0.3,0.9,1.6,1.,1.,0.,0.2,4.6,20.
16,"Garoppolo, Jimmy",SFO,@KCC,QB,35.7,22.7,276.1,1.1,0.7,0.2,0.,0.,0.1,0.1,0.9,2.,3.7,8.3,0.3,0.1,3.7,19.4
17,"Stafford, Matthew",DET,NEP,QB,33.6,22.,258.8,1.5,0.7,0.1,0.3,0.1,0.1,0.2,0.7,2.6,2.,9.1,0.1,0.3,3.9,19.
18,"Manning, Eli",NYG,@HOU,QB,43.5,26.7,274.6,1.5,0.6,0.5,0.1,0.1,0.1,0.2,0.8,1.4,1.,1.1,0.,0.3,3.3,18.6
19,"Prescott, Dak",DAL,@SEA,QB,27.8,17.9,202.7,1.4,0.5,0.3,0.3,0.1,0.,0.2,0.7,2.,3.9,21.6,0.3,0.2,3.5,18.5
20,"Mariota, Marcus",TEN,@JAC,QB,29.4,18.,212.6,1.2,0.5,0.3,0.2,0.1,0.,0.1,0.8,2.1,4.4,25.4,0.2,0.2,2.9,18.3
21,"Luck, Andrew",IND,@PHI,QB,31.4,19.2,223.4,1.4,0.6,0.2,0.2,0.1,0.1,0.2,1.,4.1,4.4,20.8,0.2,0.4,3.2,18.2
22,"Cousins, Kirk",MIN,BUF,QB,28.5,18.8,214.3,1.5,0.5,0.5,0.2,0.1,0.1,0.1,0.8,2.6,3.5,12.9,0.1,0.3,3.,17.3
23,"Goff, Jared",LAR,LAC,QB,32.8,19.6,230.7,1.5,0.8,0.5,0.,0.,0.,0.2,0.7,2.7,2.2,3.7,0.1,0.3,3.9,17.1
24,"Darnold, Sam",NYJ,@CLE,QB,35.3,21.,232.8,1.2,0.4,0.2,0.3,0.2,0.1,0.1,0.8,2.1,1.8,8.,0.1,0.1,3.3,16.6
25,"Flacco, Joe",BAL,DEN,QB,37.3,24.,227.2,1.2,0.7,0.2,0.1,0.2,0.,0.1,0.8,1.8,1.7,3.8,0.1,0.1,3.2,16.4
26,"Fitzpatrick, Ryan",TBB,PIT,QB,29.,18.1,219.9,1.3,0.6,0.3,0.1,0.2,0.1,0.,0.8,2.3,2.5,10.8,0.,0.5,3.2,15.6
27,"Taylor, Tyrod",CLE,NYJ,QB,26.7,15.8,179.,0.9,0.4,0.2,0.2,0.,0.,0.,0.7,2.9,3.7,19.5,0.2,0.2,2.9,14.6
28,"Keenum, Case",DEN,@BAL,QB,26.1,16.8,184.2,1.1,0.5,0.2,0.2,0.,0.,0.1,0.9,2.6,3.2,13.3,0.1,0.2,2.3,14.4
29,"Tannehill, Ryan",MIA,OAK,QB,27.6,18.2,200.1,1.3,0.5,0.3,0.2,0.,0.1,0.2,1.3,2.4,1.9,6.4,0.,0.2,3.,14.4
30,"Trubisky, Mitchell",CHI,@ARZ,QB,28.3,17.3,191.5,0.7,0.4,0.1,0.1,0.,0.1,0.,0.8,2.6,3.2,17.2,0.1,0.3,3.1,13.5
