Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
71,"Sprinkle, Jeremy",WAS,GBP,TE,0.6,0.1,0.3,3.2,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,1.1,0.,0.,0.4
72,"Manhertz, Chris",CAR,CIN,TE,1.2,0.2,0.4,4.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.4
73,"Hollister, Jacob",NEP,@DET,TE,0.8,0.1,0.4,3.4,0.,0.,0.,0.,0.,0.,0.,0.4,0.,0.,0.,0.,0.1,0.4
74,"Thomas, Logan",BUF,@MIN,TE,0.5,0.,0.4,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4
75,"Toilolo, Levine",DET,NEP,TE,0.6,0.1,0.5,3.7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4
76,"Leggett, Jordan",NYJ,@CLE,TE,0.7,0.,0.4,3.5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4
77,"Sterling, Neal",NYJ,@CLE,TE,0.6,0.,0.4,3.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3
78,"Carrier, Derek",OAK,@MIA,TE,0.5,0.1,0.3,2.9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.2,0.,0.1,0.3
79,"Cross, Alan",TBB,PIT,TE,0.6,0.,0.4,3.7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3
80,"Grimble, Xavier",PIT,@TBB,TE,0.6,0.1,0.3,1.9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.2
81,"Stocker, Luke",TEN,@JAC,TE,0.4,0.,0.2,2.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2
82,"Thomas, Jordan",HOU,NYG,TE,0.6,0.1,0.2,1.9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.2
83,"Braunecker, Ben",CHI,@ARZ,TE,0.3,0.,0.1,1.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1
84,"Ellis, Alex",KCC,SFO,TE,0.2,0.1,0.1,1.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1
85,"Paulsen, Logan",ATL,NOR,TE,0.2,0.,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1
86,"Auclair, Antony",TBB,PIT,TE,0.4,0.,0.2,1.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1
87,"Momah, Ifeanyi",ARZ,CHI,TE,0.4,0.1,0.1,0.8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1
88,"Daniels, Darrell",SEA,DAL,TE,0.6,0.1,0.1,0.7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1
89,"Holmes, Gabe",ARZ,CHI,TE,0.6,0.2,0.1,0.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1
90,"Charles, Orson",CLE,NYJ,TE,0.,0.,0.,0.5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
91,"LaCosse, Matt",DEN,@BAL,TE,0.2,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
92,"Arnold, Dan",NOR,@ATL,TE,0.4,0.1,0.1,0.7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,-0.1
