Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Gurley, Todd",LAR,LAC,RB,19.1,82.8,0.7,0.6,0.,0.,0.,0.,0.1,4.1,41.6,0.2,0.2,0.1,0.1,0.1,0.1,2.4,18.1
2,"Elliott, Ezekiel",DAL,@SEA,RB,20.6,95.5,0.8,0.5,0.2,0.,0.,0.,0.1,2.5,26.2,0.1,0.1,0.1,0.,0.,0.,1.8,17.3
3,"Johnson, David",ARZ,CHI,RB,17.1,71.4,0.7,0.6,0.,0.1,0.,0.,0.,4.3,43.8,0.1,0.2,0.1,0.2,1.1,0.2,2.1,16.4
4,"Cook, Dalvin",MIN,BUF,RB,17.,75.4,0.7,0.6,0.,0.,0.,0.,0.,4.,31.4,0.1,0.1,0.1,0.,1.3,0.1,2.2,15.5
5,"Bell, Le'Veon",PIT,@TBB,RB,16.5,71.3,0.5,0.4,0.1,0.,0.,0.,0.,4.5,36.4,0.2,0.1,0.1,0.,0.,0.1,1.5,14.6
6,"Kamara, Alvin",NOR,@ATL,RB,9.4,47.,0.6,0.4,0.,0.1,0.,0.,0.,4.2,42.,0.2,0.2,0.1,0.,22.9,0.1,1.8,13.5
7,"Fournette, Leonard",JAC,TEN,RB,17.7,68.4,0.7,0.5,0.,0.,0.,0.,0.1,2.7,22.8,0.,0.1,0.,0.,1.4,0.,1.5,13.3
8,"Barkley, Saquon",NYG,@HOU,RB,17.2,75.7,0.4,0.2,0.,0.,0.,0.,0.1,4.6,28.7,0.1,0.1,0.1,0.,1.3,0.1,1.2,12.9
9,"Michel, Sony",NEP,@DET,RB,11.3,46.2,0.7,0.6,0.1,0.,0.,0.,0.,2.8,22.3,0.3,0.1,0.,0.,6.2,0.,2.,12.8
10,"McCaffrey, Christian",CAR,CIN,RB,10.3,39.6,0.3,0.3,0.,0.,0.,0.,0.,5.2,46.7,0.4,0.2,0.1,8.,2.5,0.1,1.3,12.3
11,"Williams, Jamaal",GBP,@WAS,RB,15.1,59.5,0.4,0.4,0.,0.,0.,0.,0.,2.5,23.1,0.2,0.1,0.,0.,0.,0.,1.3,11.9
12,"Freeman, Devonta",ATL,NOR,RB,12.9,53.3,0.5,0.4,0.,0.,0.1,0.,0.,2.8,26.,0.1,0.1,0.1,0.,0.,0.1,1.7,11.9
13,"Lynch, Marshawn",OAK,@MIA,RB,15.1,68.,0.6,0.3,0.,0.2,0.,0.,0.1,2.1,16.2,0.,0.1,0.,0.2,0.,0.1,1.4,11.9
14,"Hunt, Kareem",KCC,SFO,RB,14.4,65.9,0.4,0.3,0.,0.,0.1,0.,0.1,2.7,20.6,0.1,0.1,0.,0.,0.,0.1,1.5,11.7
15,"Gordon, Melvin",LAC,@LAR,RB,14.4,57.2,0.5,0.4,0.1,0.,0.,0.,0.,2.6,24.2,0.1,0.1,0.,0.,0.,0.1,1.6,11.5
16,"Howard, Jordan",CHI,@ARZ,RB,16.4,73.4,0.5,0.3,0.1,0.,0.,0.,0.,1.4,10.9,0.,0.,0.,0.,0.,0.1,1.3,11.4
17,"Mixon, Joe",CIN,@CAR,RB,15.9,59.8,0.4,0.3,0.1,0.,0.,0.,0.,2.9,27.4,0.,0.1,0.1,0.,0.,0.2,1.4,11.
18,"Burkhead, Rex",NEP,@DET,RB,6.7,28.6,0.6,0.6,0.1,0.,0.,0.,0.,2.8,27.5,0.2,0.1,0.1,0.,2.3,0.,1.6,10.7
19,"Murray, Latavius",MIN,BUF,RB,15.4,59.2,0.5,0.5,0.,0.1,0.,0.,0.,1.6,13.,0.,0.1,0.,0.,0.,0.,1.6,10.5
20,"Ajayi, Jay",PHI,IND,RB,17.,73.9,0.1,0.1,0.,0.,0.,0.1,0.,2.3,20.1,0.1,0.1,0.,0.2,0.,0.3,0.9,10.4
21,"Miller, Lamar",HOU,NYG,RB,16.6,63.,0.3,0.3,0.,0.,0.,0.,0.,2.3,17.4,0.1,0.1,0.,0.,0.,0.,0.9,10.4
22,"McCoy, LeSean",BUF,@MIN,RB,11.9,53.6,0.4,0.2,0.,0.1,0.,0.,0.,2.5,19.7,0.1,0.1,0.,0.,0.,0.,1.3,9.8
