Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
84,"Billings, Andrew",CIN,@PIT,DL,1.5,1.,0.1,0.1,0.,0.,0.,0.,2.1
85,"Reed, Brooks",ATL,@TBB,DL,1.4,1.,0.2,0.,0.,0.,0.,0.,2.1
86,"Gotsis, Adam",DEN,LAC,DL,1.4,0.9,0.,0.2,0.,0.,0.,0.,2.1
87,"McLendon, Steve",NYJ,@NEP,DL,1.5,1.,0.1,0.,0.,0.,0.,0.,2.1
88,"Williams, Kyle",BUF,MIA,DL,1.2,1.2,0.2,0.1,0.,0.,0.,0.,2.1
89,"Alualu, Tyson",PIT,CIN,DL,1.5,0.7,0.2,0.1,0.,0.,0.,0.,2.1
90,"Wise, Deatrich",NEP,NYJ,DL,1.3,0.9,0.3,0.,0.,0.,0.,0.,2.1
91,"Carradine, Cornellius",OAK,@KCC,DL,1.5,0.8,0.1,0.,0.,0.,0.,0.,2.
92,"Long, Chris",PHI,@WAS,DL,1.2,0.7,0.3,0.,0.,0.2,0.,0.,2.
93,"Rivers, Derek",NEP,NYJ,DL,1.4,0.7,0.2,0.1,0.,0.,0.,0.,2.
94,"Hunt, Margus",IND,@TEN,DL,1.4,0.9,0.1,0.1,0.,0.,0.,0.,2.
95,"Dareus, Marcell",JAC,@HOU,DL,1.5,0.3,0.2,0.1,0.,0.,0.,0.,2.
96,"McGee, Stacy",WAS,PHI,DL,1.4,1.,0.,0.1,0.,0.,0.,0.,1.9
97,"Phillips, Jordan",MIA,@BUF,DL,1.2,0.7,0.2,0.2,0.,0.,0.,0.,1.9
98,"Golden, Markus",ARZ,@SEA,DL,1.5,0.5,0.1,0.,0.,0.,0.,0.,1.9
99,"Green, Rasheem",SEA,ARZ,DL,1.3,0.7,0.2,0.1,0.,0.,0.,0.,1.9
100,"Robinson, A'Shawn",DET,@GBP,DL,1.2,0.8,0.,0.2,0.,0.,0.,0.,1.9
101,"Branch, Andre",MIA,@BUF,DL,1.1,0.8,0.3,0.,0.,0.,0.,0.,1.9
102,"Hayes, William",MIA,@BUF,DL,1.3,0.5,0.2,0.1,0.,0.,0.,0.,1.8
103,"Smart, Tanzel",LAR,SFO,DL,1.2,0.6,0.,0.2,0.,0.,0.,0.,1.8
104,"Smith, Chris",CLE,@BAL,DL,1.2,0.7,0.1,0.1,0.,0.,0.,0.,1.8
