Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Lee, Andy",ARZ,@SEA,P,5.8,273.7,31.2,1.8,18.4
2,"Hekker, Johnny",LAR,SFO,P,4.9,236.2,10.1,2.5,17.9
3,"Koch, Sam",BAL,CLE,P,5.1,230.8,19.9,2.5,17.4
4,"Edwards, Lachlan",NYJ,@NEP,P,5.5,251.,27.6,1.8,17.3
5,"Daniel, Trevor",HOU,JAC,P,5.,238.9,31.1,1.9,16.8
6,"Huber, Kevin",CIN,@PIT,P,5.4,248.6,24.4,1.7,16.7
7,"Pinion, Bradley",SFO,@LAR,P,5.2,228.6,14.9,1.8,16.
8,"Dickson, Michael",SEA,ARZ,P,5.3,235.3,23.8,1.6,16.
9,"Kern, Brett",TEN,IND,P,4.8,222.4,18.9,1.9,15.9
10,"Haack, Matt",MIA,@BUF,P,5.1,226.3,14.8,1.8,15.9
11,"O'Donnell, Pat",CHI,@MIN,P,5.,230.7,25.3,1.6,15.7
12,"Cooke, Logan",JAC,@HOU,P,4.9,222.3,17.4,1.6,15.1
13,"Dixon, Riley",NYG,DAL,P,5.2,233.2,19.7,1.4,15.
14,"Townsend, Johnny",OAK,@KCC,P,4.5,211.4,18.2,1.7,14.8
15,"Wile, Matt",MIN,CHI,P,4.7,199.4,15.5,1.9,14.7
16,"Palardy, Michael",CAR,@NOR,P,4.6,206.6,14.3,1.6,14.4
17,"Sanchez, Rigoberto",IND,@TEN,P,4.7,213.2,5.6,1.5,14.3
18,"Colquitt, Dustin",KCC,OAK,P,4.3,193.2,10.2,1.9,14.3
19,"Way, Tress",WAS,PHI,P,4.5,203.9,23.4,1.6,14.3
20,"Kaser, Drew",LAC,@DEN,P,4.2,199.9,18.3,1.5,13.9
21,"Bojorquez, Corey",BUF,MIA,P,4.5,198.2,14.6,1.4,13.6
22,"King, Marquette",DEN,LAC,P,4.2,195.3,13.4,1.5,13.5
23,"Anger, Bryan",TBB,ATL,P,4.1,182.5,8.1,1.8,13.4
24,"Jones, Chris",DAL,@NYG,P,4.,177.2,7.2,1.9,13.2
25,"Martin, Sam",DET,@GBP,P,4.2,187.,13.4,1.4,13.
26,"Colquitt, Britton",CLE,@BAL,P,4.1,189.8,20.6,1.2,12.6
27,"Allen, Ryan",NEP,NYJ,P,3.9,169.3,6.1,1.5,12.2
28,"Johnston, Cam",PHI,@WAS,P,3.9,176.8,11.1,1.3,11.9
29,"Berry, Jordan",PIT,CIN,P,3.7,162.1,11.,1.4,11.6
30,"Scott, J.K.",GBP,DET,P,3.9,169.7,10.9,1.1,11.4
31,"Bosher, Matt",ATL,@TBB,P,3.4,151.6,12.,1.4,11.
32,"Morstead, Thomas",NOR,CAR,P,3.,140.9,11.1,1.2,10.
