Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Johnson, David",ARZ,RB,269.4,1113.2,13.7,10.9,1.2,0.7,0.,0.4,0.6,12.5,2.2,0.7,0.3,74.9,797.3,4.1,6.7,1.6,0.,64.8,2.6,52.7,292.7
2,"Bell, Le'Veon",PIT,RB,296.6,1418.9,8.3,8.1,0.2,0.,0.,0.,0.,14.2,5.9,0.9,0.4,60.8,461.4,2.2,1.8,0.9,0.,0.,1.4,42.6,247.7
3,"Howard, Jordan",CHI,RB,256.1,1299.8,7.4,7.4,0.,0.,0.,0.,0.,14.7,2.6,0.9,0.3,30.4,301.9,1.3,1.2,0.6,0.,0.,1.5,30.5,209.4
4,"Freeman, Devonta",ATL,RB,200.8,911.7,8.6,6.4,0.5,0.5,0.6,0.,0.6,11.6,1.8,0.6,0.2,53.,465.,2.,1.9,1.,0.,0.,2.,61.1,197.2
5,"McCoy, LeSean",BUF,RB,201.5,1020.3,7.9,4.9,1.1,0.8,0.,0.4,0.7,12.1,2.,0.7,0.3,41.5,323.6,1.3,1.3,0.6,0.,0.,1.1,47.7,187.2
6,"Gordon, Melvin",LAC,RB,280.3,1049.8,5.9,5.9,0.,0.,0.,0.,0.,5.6,2.1,0.7,0.3,53.9,465.7,1.4,1.9,0.9,0.,0.,4.9,47.4,185.8
7,"Murray, DeMarco",TEN,RB,246.7,1020.1,6.8,4.8,0.7,0.2,0.,0.,1.,11.5,2.,0.7,0.3,43.8,315.9,2.1,1.3,0.6,0.3,17.2,1.3,34.4,184.
8,"Miller, Lamar",HOU,RB,307.4,1150.2,7.,5.6,0.4,0.6,0.4,0.,0.,13.,2.3,0.8,0.3,37.8,228.,0.8,0.9,0.5,0.,0.,1.4,27.1,182.2
9,"Ajayi, Jay",MIA,RB,273.5,1186.9,6.7,4.,1.4,0.8,0.2,0.,0.3,13.7,2.4,0.8,0.3,36.3,243.2,0.,1.,0.5,0.,0.,0.7,22.6,181.6
10,"Hunt, Kareem",KCC,RB,219.1,950.2,5.6,4.5,0.4,0.,0.7,0.,0.,11.4,1.9,0.6,0.2,34.1,339.1,3.5,1.4,0.7,0.,5.1,2.1,57.3,179.2
11,"Gurley, Todd",LAR,RB,276.3,1038.7,7.9,6.1,0.6,0.7,0.,0.,0.5,12.2,2.1,0.7,0.3,36.9,297.8,0.,1.2,0.6,0.,4.4,0.9,44.3,178.9
12,"Lynch, Marshawn",OAK,RB,181.9,819.3,10.2,6.9,0.,2.9,0.,0.,0.4,8.9,1.6,0.5,0.2,37.9,317.8,0.8,1.3,0.6,15.,0.,0.6,34.3,178.2
13,"Elliott, Ezekiel",DAL,RB,211.2,1062.1,8.4,5.7,1.2,0.,0.4,0.,1.1,9.8,7.2,0.7,0.3,23.9,216.5,0.3,0.9,0.4,0.,5.6,1.,29.3,177.9
14,"Anderson, C.J.",DEN,RB,220.8,898.8,7.6,5.4,1.1,0.2,0.6,0.2,0.,11.6,1.8,0.6,0.2,38.,316.,1.9,1.3,0.6,0.,38.1,3.3,32.5,171.8
15,"Ingram, Mark",NOR,RB,181.8,900.,6.3,4.1,1.7,0.,0.,0.,0.5,10.1,1.8,0.6,0.2,44.8,330.,1.9,1.3,0.7,0.,0.,0.9,48.7,170.9
16,"McCaffrey, Christian",CAR,RB,220.4,890.5,8.,6.9,1.1,0.,0.,0.,0.,11.1,1.8,0.6,0.2,37.5,300.2,1.1,0.6,0.3,0.,0.,1.9,56.2,169.8
17,"Hyde, Carlos",SFO,RB,217.8,950.2,5.3,4.5,0.8,0.,0.,0.,0.,11.1,1.9,0.6,0.2,35.8,283.7,3.3,1.1,0.6,0.2,3.1,2.8,40.8,169.7
18,"Blount, LeGarrette",PHI,RB,199.9,791.2,12.,10.,0.5,0.5,0.,1.,0.,7.2,1.6,0.5,0.2,15.7,126.2,0.9,0.5,0.3,29.3,0.,1.4,31.6,166.4
19,"Gillislee, Mike",NEP,RB,182.6,829.3,10.9,9.,0.5,0.,0.,1.4,0.,9.4,1.7,0.6,0.2,14.4,125.7,0.9,0.5,0.3,0.,33.2,0.3,29.1,165.6
20,"Cook, Dalvin",MIN,RB,195.4,819.9,7.1,4.8,0.9,0.,0.,0.7,0.7,10.8,1.6,0.5,0.2,44.7,313.4,2.,1.3,0.6,0.,0.,1.,52.,165.6
21,"Fournette, Leonard",JAC,RB,149.4,600.1,11.7,7.,2.,2.,0.,0.,0.7,2.4,1.2,0.4,0.2,43.9,334.3,0.7,1.3,0.7,0.,0.,2.5,32.9,163.1
22,"Crowell, Isaiah",CLE,RB,221.,971.9,6.,4.5,1.,0.,0.,0.,0.5,3.9,1.9,0.6,0.2,38.8,309.2,0.5,1.2,0.6,0.,0.,2.2,42.9,163.
