Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
61,"Avril, Cliff",SEA,DL,21.8,12.7,8.9,1.8,0.,3.,0.,0.,41.8
62,"Hankins, Jonathan",IND,DL,26.6,20.2,3.6,0.4,0.,0.6,0.4,0.,41.6
63,"Branch, Alan",NEP,DL,22.4,20.,2.4,3.7,0.,0.9,0.8,0.,40.2
64,"Parry, David",FA,DL,30.6,13.9,2.3,0.,0.,0.,0.,0.,39.8
65,"Ngakoue, Yannick",JAC,DL,22.7,5.5,7.6,2.1,0.2,4.,0.,0.,39.5
66,"Reed, Brooks",ATL,DL,28.1,9.3,4.6,0.7,0.,0.8,0.3,0.,39.1
67,"Meder, Jamie",CLE,DL,26.5,21.,1.1,0.3,0.,0.,0.,0.,38.4
68,"Ogbah, Emmanuel",CLE,DL,27.8,15.9,2.2,0.4,0.,0.,0.,0.,38.3
69,"Williams, Kyle",BUF,DL,27.,15.8,3.4,0.,0.,0.,0.,0.,38.3
70,"Westbrooks, Ethan",LAR,DL,29.6,7.7,3.4,0.7,0.,0.,0.,0.2,37.6
71,"Addison, Mario",CAR,DL,21.5,8.6,8.2,1.1,0.,1.6,0.1,0.,36.8
72,"Ingram, Melvin",LAC,DL,23.4,14.9,4.8,0.6,0.,0.,0.,0.,36.4
73,"Robinson, A'Shawn",DET,DL,23.8,8.7,2.9,5.3,0.,0.,0.,0.,36.4
74,"Smith, Jacquies",TBB,DL,24.2,8.9,3.8,0.8,0.,1.5,1.5,0.,36.3
75,"Crick, Jared",DEN,DL,22.3,14.6,1.,4.6,0.,0.6,0.,0.,35.7
76,"Jarrett, Grady",ATL,DL,17.7,25.9,4.7,0.,0.,0.,0.,0.,35.4
77,"Charlton, Taco",DAL,DL,20.8,16.1,3.6,0.7,0.,0.9,0.9,0.,34.9
78,"Wynn, Kerry",NYG,DL,19.,18.6,3.8,1.6,0.,0.5,0.5,0.,34.6
79,"Peppers, Julius",CAR,DL,15.4,8.8,7.3,2.7,0.3,3.,0.8,0.,34.3
80,"Shelton, Danny",CLE,DL,23.,18.7,1.5,0.1,0.,0.,0.,0.,34.
81,"Pierce, Michael",BAL,DL,22.7,18.5,1.3,0.,0.,0.2,0.2,0.,33.7
82,"Liuget, Corey",LAC,DL,26.4,7.3,0.6,2.3,0.3,0.,0.,0.,33.5
83,"McDonald, Clinton",TBB,DL,23.,11.8,3.6,0.,0.,0.6,0.,0.,33.1
84,"Barnett, Derek",PHI,DL,21.6,13.7,2.5,1.4,0.,0.,0.,0.,32.3
85,"Washington, Cornelius",DET,DL,22.5,10.5,1.9,1.1,0.,0.7,0.,0.,31.4
86,"Johnson, Charles",CAR,DL,15.5,9.6,5.4,1.8,0.,3.3,0.5,0.,31.3
87,"Clark, Kenny",GBP,DL,20.9,11.7,0.7,3.3,0.,0.,0.,0.,30.7
88,"Mauro, Josh",ARZ,DL,23.8,11.8,0.,0.7,0.,0.2,0.,0.,30.7
89,"Miller, Roy",KCC,DL,23.2,7.1,2.7,0.8,0.,0.2,0.,0.,30.5
90,"Williams, Dan",FA,DL,22.6,11.8,1.7,0.3,0.,0.,0.,0.,30.5
91,"Autry, Denico",OAK,DL,22.2,7.4,3.,1.1,0.,0.,0.,0.,30.
92,"Long, Chris",PHI,DL,17.8,11.5,2.8,1.9,0.,0.9,0.4,0.,29.6
93,"Lawson, Shaq",BUF,DL,18.5,14.9,2.9,0.,0.,0.5,0.,0.,29.3
94,"Dial, Quinton",GBP,DL,21.,12.6,0.,1.9,0.,0.,0.,0.,29.2
95,"Attaochu, Jeremiah",LAC,DL,22.2,3.8,3.8,0.6,0.,0.6,0.,0.,29.1
96,"Jones, Abry",JAC,DL,26.3,5.1,0.,0.2,0.,0.,0.,0.,29.1
97,"Crawford, Tyrone",DAL,DL,18.1,10.9,5.5,0.,0.,0.,0.,0.,29.
98,"Allen, Beau",PHI,DL,21.3,9.8,1.6,0.,0.,0.5,0.5,0.,28.8
99,"Ridgeway, Hassan",IND,DL,17.,15.7,2.7,1.2,0.,0.,0.,0.,28.7
100,"Collins, Maliek",DAL,DL,18.,10.6,2.7,0.7,0.,1.3,0.7,0.,28.7
101,"Unrein, Mitch",CHI,DL,20.3,14.2,1.2,0.,0.,0.,0.,0.,28.6
102,"Robison, Brian",MIN,DL,15.6,7.8,5.8,0.9,0.,1.9,0.4,0.,28.5
103,"Fowler, Dante",JAC,DL,17.3,8.6,3.5,3.4,0.,0.,0.,0.,28.5
104,"Peko, Domata",DEN,DL,16.5,16.3,0.,3.6,0.,0.,0.,0.,28.3
105,"Ngata, Haloti",DET,DL,16.2,13.8,1.7,3.2,0.,0.,0.,0.,28.
106,"Willis, Jordan",CIN,DL,15.7,15.6,2.3,1.9,0.,0.,0.,0.,27.7
107,"Mebane, Brandon",LAC,DL,20.6,5.7,1.3,1.2,0.8,0.,0.,0.,27.6
108,"Lotulelei, Star",CAR,DL,16.2,15.5,1.6,1.6,0.,0.2,0.,0.,27.3
109,"Ellis, Justin",OAK,DL,21.3,9.3,0.,1.3,0.,0.,0.,0.,27.2
110,"Bailey, Allen",KCC,DL,19.3,9.9,1.,1.2,0.,0.3,0.,0.,26.7
111,"Curry, Vinny",PHI,DL,19.,8.4,2.9,0.,0.,0.5,0.,0.,26.6
112,"Sims, Pat",CIN,DL,14.,20.3,1.4,1.,0.,0.,0.,0.,26.6
113,"Goldman, Eddie",CHI,DL,18.2,9.2,3.8,0.,0.,0.,0.,0.,26.6
114,"Nassib, Carl",CLE,DL,16.1,10.2,2.,3.,0.,0.,0.,0.,26.3
115,"Baker, Chris",TBB,DL,16.7,10.7,2.4,1.4,0.,0.4,0.,0.,26.2
116,"Peters, Corey",ARZ,DL,17.,15.8,0.8,0.3,0.,0.,0.,0.,26.1
117,"Poe, Dontari",ATL,DL,15.4,9.5,1.9,2.7,0.,0.8,0.,0.,25.5
118,"Guy, Lawrence",NEP,DL,14.8,14.9,1.1,0.9,0.,0.6,0.5,0.,25.4
119,"McKinley, Takkarist",ATL,DL,17.9,11.5,1.5,0.2,0.,0.,0.,0.,25.3
120,"McGee, Stacy",WAS,DL,17.,11.7,1.,1.2,0.,0.,0.,0.,25.
121,"McClain, Terrell",WAS,DL,15.6,11.7,1.7,0.3,0.,1.5,0.,0.,24.9
122,"Walker, Tyrunn",LAR,DL,18.3,9.3,1.,0.,0.,0.4,0.4,0.,24.8
123,"Irving, David",DAL,DL,13.1,9.5,2.6,2.3,0.,1.6,0.1,0.,24.6
124,"Longacre, Matt",LAR,DL,17.4,10.7,0.1,1.6,0.,0.,0.,0.,24.5
125,"Jordan, Dion",SEA,DL,15.4,8.5,3.1,0.6,0.,1.1,0.,0.,24.5
126,"Armstead, Arik",SFO,DL,17.8,8.5,2.2,0.,0.,0.3,0.,0.,24.5
127,"Jones, DaQuan",TEN,DL,17.3,12.1,0.9,0.,0.,0.,0.,0.,24.2
128,"Hood, Evander",WAS,DL,13.1,12.4,1.,2.8,0.,0.8,0.,0.,23.9
129,"Moore, Damontre",DAL,DL,13.5,9.4,3.1,1.,0.,0.7,0.7,0.,23.7
130,"Klug, Karl",TEN,DL,14.4,12.5,2.2,0.7,0.,0.,0.,0.,23.6
131,"Logan, Bennie",KCC,DL,15.8,7.,1.5,1.9,0.,0.9,0.,0.,23.6
132,"Fede, Terrence",MIA,DL,14.8,13.8,1.1,0.4,0.,0.,0.,0.,23.2
133,"Mayowa, Benson",DAL,DL,13.7,10.7,3.7,0.,0.,0.2,0.2,0.,23.1
134,"Williams, Mario",FA,DL,17.5,4.2,2.3,0.8,0.,0.3,0.,0.,23.1
135,"Jernigan, Timmy",PHI,DL,12.4,10.2,2.2,1.5,0.5,0.4,0.3,0.,22.9
136,"Johnson, Austin",TEN,DL,15.2,13.2,0.7,0.3,0.,0.,0.,0.,22.8
137,"Okwara, Romeo",NYG,DL,13.7,11.4,1.4,2.,0.,0.,0.,0.,22.8
138,"Covington, Christian",HOU,DL,16.3,11.3,0.2,0.4,0.,0.,0.,0.,22.5
139,"Tomlinson, Dalvin",NYG,DL,15.9,10.6,0.8,0.5,0.,0.,0.,0.,22.5
140,"Johnson, Tom",MIN,DL,14.8,6.4,2.,0.8,0.8,0.,0.,0.,22.3
141,"Grissom, Geneo",FA,DL,11.9,16.8,1.,0.8,0.,0.,0.,0.,22.1
142,"Ealy, Kony",NYJ,DL,11.7,7.4,2.9,1.6,0.5,0.9,0.,0.,21.8
143,"Zettel, Anthony",DET,DL,17.2,5.4,1.2,0.,0.,0.4,0.,0.,21.4
144,"Alualu, Tyson",PIT,DL,16.4,6.2,1.3,0.4,0.,0.1,0.,0.,21.3
145,"Okafor, Alex",NOR,DL,15.,7.1,2.1,0.,0.,0.5,0.,0.,21.2
146,"Harris, Charles",MIA,DL,13.5,11.5,0.9,0.4,0.,0.,0.,0.,20.6
147,"Taylor, Devin",FA,DL,13.7,6.6,1.8,0.9,0.,0.5,0.,0.,20.3
148,"Floyd, Sharrif",MIN,DL,11.9,11.,1.9,0.5,0.,0.,0.,0.,19.8
149,"Rucker, Frostee",ARZ,DL,9.5,14.6,1.3,0.,0.,0.7,0.7,0.,19.5
150,"Reader, D.J.",HOU,DL,10.4,12.1,1.7,1.1,0.,0.,0.,0.,19.3
151,"Davison, Tyeler",NOR,DL,10.2,13.8,0.1,1.8,0.,0.,0.,0.,19.
152,"Sutton, Will",FA,DL,10.4,14.,1.6,0.,0.,0.,0.,0.,19.
153,"Tapp, Darryl",FA,DL,13.,6.7,0.6,1.,0.,0.5,0.5,0.,19.
154,"Pennel, Mike",NYJ,DL,11.,12.6,0.4,0.6,0.,0.,0.,0.,18.3
155,"Jones, Art",FA,DL,11.6,11.3,0.,0.6,0.,0.,0.,0.,17.8
156,"Langford, Kendall",FA,DL,11.2,3.7,1.8,2.9,0.,0.,0.,0.,17.7
157,"Bryant, Desmond",FA,DL,12.5,3.7,2.8,0.,0.,0.2,0.,0.,17.3
158,"Hargrave, Javon",PIT,DL,11.7,8.,1.3,0.2,0.,0.,0.,0.,17.2
159,"Mitchell, Earl",SFO,DL,10.7,10.,1.1,0.,0.,0.,0.,0.,16.8
