Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
60,"Smith, Jaylon",DAL,LB,58.7,34.2,1.9,1.7,0.,0.,0.,0.,79.4
61,"Campbell, De'Vondre",ATL,LB,55.1,22.4,1.4,5.8,0.9,0.8,0.4,0.2,76.5
62,"Ryan, Jake",GBP,LB,57.9,24.,2.3,3.2,0.2,0.,0.,0.,76.
63,"Barr, Anthony",MIN,LB,50.,35.4,2.3,3.5,0.,1.2,0.7,0.,75.3
64,"Hicks, Jordan",PHI,LB,49.1,20.2,0.9,7.,4.,0.,0.,0.2,75.2
65,"Watt, T.J.",PIT,LB,48.5,19.,8.,3.3,0.4,2.5,0.9,0.,73.6
66,"Jones, Chandler",ARZ,LB,45.1,13.1,11.5,3.2,0.,4.4,1.2,0.,72.
67,"Marshall, Brandon",DEN,LB,52.6,21.8,0.4,4.2,0.4,1.,0.5,0.,70.3
68,"Rey, Vincent",CIN,LB,45.2,27.9,0.5,7.6,1.1,0.,0.,0.,69.5
69,"Humber, Ramon",BUF,LB,45.2,28.7,3.3,3.,0.,0.3,0.3,0.,66.5
70,"Alexander, Lorenzo",BUF,LB,40.,13.7,7.7,5.1,1.2,2.1,0.,0.,64.2
71,"Emanuel, Kyle",LAC,LB,47.7,22.8,1.4,1.6,0.,0.9,0.9,0.,63.9
72,"Cushing, Brian",HOU,LB,44.,28.9,4.1,0.9,0.1,0.,0.,0.,63.7
73,"James, Cory",OAK,LB,50.,14.4,2.5,0.9,0.,1.6,0.,0.,62.2
74,"Orakpo, Brian",TEN,LB,41.5,8.9,8.6,6.1,0.,1.3,0.,0.,62.
75,"Golden, Markus",ARZ,LB,37.9,10.9,10.9,1.3,0.,4.3,1.1,0.,61.
76,"Mercilus, Whitney",HOU,LB,38.8,24.3,6.5,1.8,0.,0.,0.,0.,59.2
77,"Lee, Marquel",OAK,LB,43.3,19.4,2.9,0.9,0.,0.9,0.9,0.,58.6
78,"Thomas, Joe",GBP,LB,45.1,14.6,0.,6.1,0.,0.,0.,0.,58.5
79,"Kennard, Devon",NYG,LB,43.4,21.9,0.6,0.8,0.,0.6,0.6,0.,57.
80,"Clowney, Jadeveon",HOU,LB,35.,15.4,5.6,4.6,1.,1.,0.,0.,55.9
81,"Harris, David",NEP,LB,40.3,26.8,0.4,1.7,0.,0.,0.,0.,55.7
82,"Irvin, Bruce",OAK,LB,39.3,9.3,4.8,1.3,0.,4.6,0.,0.,54.6
83,"Minter, Kevin",CIN,LB,39.,19.1,1.8,3.,0.5,0.,0.,0.,54.3
84,"Hull, Mike",MIA,LB,43.9,16.9,0.7,0.9,0.2,0.,0.,0.,54.3
85,"Houston, Justin",KCC,LB,37.3,13.2,6.2,1.5,0.7,0.5,0.5,0.2,54.1
86,"Ellerbe, Dannell",FA,LB,41.,14.5,4.4,1.3,0.,0.,0.,0.,54.
87,"Hodges, Gerald",FA,LB,35.5,21.1,2.1,1.1,1.1,1.6,0.5,0.,53.6
88,"Harold, Eli",SFO,LB,34.7,19.1,6.5,0.3,0.,1.3,1.2,0.,53.6
89,"Robinson, Keenan",NYG,LB,40.,17.2,0.,4.8,0.,0.,0.,0.,53.4
90,"Harrison, James",PIT,LB,39.5,14.9,4.8,0.,0.,0.9,0.,0.,52.6
