Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
1,"Tandy, Keith",TBB,DB,103.,32.5,0.9,16.1,7.4,0.,0.,0.2,0.,0.,150.9
2,"Collins, Landon",NYG,DB,97.,30.4,3.9,12.,2.7,0.5,0.5,0.2,0.,0.,134.4
3,"Jones, Reshad",MIA,DB,92.,31.1,1.5,11.7,5.6,0.8,0.6,0.2,0.,25.5,133.2
4,"King, Akeem",ATL,DB,87.5,19.1,0.8,20.7,5.2,1.8,1.8,0.2,0.,0.,132.5
5,"Goldson, Dashon",FA,DB,80.5,23.2,0.3,15.1,3.3,2.1,2.1,0.2,0.,0.,118.4
6,"Bethea, Antoine",ARZ,DB,93.2,15.4,0.6,6.9,3.,1.1,1.1,0.2,5.8,0.,116.8
7,"Farley, Matthias",IND,DB,79.2,22.,0.4,11.,4.3,3.9,1.3,0.,0.,0.,115.5
8,"Burnett, Morgan",GBP,DB,73.6,20.,2.8,11.3,3.8,0.4,0.4,0.,0.,0.,106.2
9,"Coleman, Kurt",CAR,DB,66.1,32.7,1.1,9.1,5.3,0.6,0.2,0.2,0.9,0.,104.
10,"Cyprien, Johnathan",TEN,DB,77.,19.3,0.6,11.,1.7,0.6,0.6,0.,0.,0.,102.9
11,"Vaccaro, Kenny",NOR,DB,74.,26.9,1.8,5.9,1.9,2.2,1.1,0.,0.,0.,102.2
12,"Church, Barry",JAC,DB,75.,26.6,0.5,8.1,1.9,1.1,0.3,0.2,0.,0.,102.2
13,"Jefferson, Tony",BAL,DB,74.5,26.,1.1,7.8,1.3,1.4,1.,0.,0.,0.,101.2
14,"Reid, Eric",SFO,DB,80.,16.3,1.1,6.,1.6,1.7,0.9,0.,0.,0.,101.
15,"Joseph, Karl",OAK,DB,71.6,17.6,0.,12.4,3.5,0.2,0.2,0.,0.,0.,100.1
16,"Adams, Jamal",NYJ,DB,67.,21.3,0.2,12.4,3.4,1.5,1.1,0.,0.,0.,99.6
17,"Stewart, Darian",DEN,DB,63.1,18.,0.6,12.1,4.8,2.8,1.7,0.,0.,0.,99.
18,"Swearinger, D.J.",WAS,DB,72.8,16.7,2.4,9.,2.3,1.1,0.,0.,0.,6.6,98.4
19,"Berry, Eric",KCC,DB,66.,15.1,0.4,10.7,5.6,1.,0.,0.3,0.,0.,96.8
20,"Smith, Harrison",MIN,DB,77.,21.9,2.,3.8,1.,0.5,0.5,0.2,0.,0.,96.7
21,"Davis, Sean",PIT,DB,67.,22.,4.4,8.3,2.2,0.2,0.2,0.,0.,0.,95.5
22,"Neal, Keanu",ATL,DB,71.2,25.1,0.3,6.6,0.3,2.8,1.1,0.,0.,0.,95.4
23,"Clinton-Dix, Hasean",GBP,DB,67.2,15.2,1.,9.9,3.4,0.7,0.2,0.,0.,0.,93.4
24,"Hyde, Micah",BUF,DB,63.,18.8,0.6,13.,3.6,0.,0.,0.2,60.8,0.,93.2
25,"Adams, Mike",CAR,DB,70.6,19.2,0.6,6.3,1.8,0.9,0.9,0.,0.,0.,92.5
26,"Mathieu, Tyrann",ARZ,DB,73.,7.8,1.6,8.4,2.,1.2,0.3,0.,0.5,0.,92.3
27,"Jenkins, Malcolm",PHI,DB,62.,26.3,0.9,9.4,2.6,0.4,0.4,0.2,0.,0.,91.4
28,"McLeod, Rodney",PHI,DB,69.,15.8,0.5,7.6,1.8,1.3,0.,0.,0.,0.,89.9
29,"Peppers, Jabrill",CLE,DB,56.,22.8,0.,15.8,3.3,0.,0.,0.,0.4,0.,89.6
30,"Jarrett, Kyshoen",WAS,DB,61.6,19.9,0.,12.6,2.5,0.4,0.,0.2,7.5,15.2,89.6
