Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
152,"Harris, Dwayne",NYG,WR,18.9,4.,8.9,85.2,0.4,0.,0.4,0.,0.,0.,0.,0.3,0.2,0.1,0.,0.4,0.,118.1,230.9,0.,2.5,11.1
153,"Matthews, Chris",BAL,WR,14.8,0.5,8.,97.1,0.3,0.3,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,121.4,451.6,0.4,0.3,10.5
154,"Cooper, Pharoh",LAR,WR,21.6,0.1,13.6,103.4,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,6.7,401.7,0.,1.5,10.3
155,"Marshall, Jalin",NYJ,WR,20.7,3.1,8.8,81.8,0.7,0.6,0.1,0.,0.,0.,0.,0.3,0.2,0.1,0.,0.,0.,91.2,222.1,1.2,1.5,9.9
156,"Roberts, Andre",ATL,WR,17.6,3.4,8.4,105.6,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,155.4,435.5,0.6,2.8,9.4
157,"Latimer, Cody",DEN,WR,15.4,1.6,9.2,85.3,0.,0.,0.,0.,0.,0.,0.,0.3,0.2,0.1,0.,0.,0.,10.6,125.3,0.1,1.1,8.7
158,"Turner, Paul",FA,WR,10.4,0.,5.7,84.9,0.,0.,0.,0.,0.,0.,0.,0.3,0.2,0.1,0.,0.,0.,0.,15.2,0.,0.,8.5
159,"Erickson, Alex",CIN,WR,9.3,0.7,6.7,80.9,0.,0.,0.,0.,0.,0.,0.,0.3,0.2,0.1,0.,0.,0.,163.7,777.5,0.,0.9,8.1
160,"Ayers, Demarcus",FA,WR,12.3,2.4,6.4,61.8,0.4,0.,0.4,0.,0.,0.,0.,0.2,0.1,0.,0.,-4.5,0.,0.,0.,0.,2.,8.
161,"Benn, Arrelious",JAC,WR,7.5,1.1,3.3,66.4,0.2,0.,0.,0.,0.,0.,0.2,0.3,0.1,0.,0.,0.,0.,0.,16.9,0.,0.2,7.9
162,"Hollins, Mack",PHI,WR,25.9,5.7,8.7,70.,0.,0.,0.,0.,0.,0.,0.,0.3,0.1,0.,0.,4.3,0.,0.,86.9,0.,3.6,7.4
163,"Bray, Quan",IND,WR,11.6,0.8,5.2,65.1,0.,0.,0.,0.,0.,0.,0.,0.3,0.1,0.,0.,6.7,0.,141.9,530.,0.,1.1,7.1
164,"Westbrook, Dede",JAC,WR,23.6,5.1,7.5,67.6,0.,0.,0.,0.,0.,0.,0.,0.3,0.1,0.,0.,9.1,0.,126.8,8.4,0.3,5.1,7.1
165,"Carroo, Leonte",MIA,WR,11.,3.1,3.4,32.,0.5,0.,0.5,0.,0.,0.,0.,0.1,0.1,0.,0.,0.8,0.,10.9,59.1,0.,2.8,6.3
166,"Harris, Maurice",FA,WR,10.5,0.,5.7,55.9,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,0.,20.8,0.,1.2,5.6
167,"Moore, Chris",BAL,WR,14.9,0.9,5.,35.4,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,18.7,0.,10.7,259.4,0.,1.5,5.4
168,"Golden, Brittan",ARZ,WR,8.9,0.2,5.5,68.4,0.2,0.2,0.,0.,0.,0.,0.,0.3,0.1,0.,0.,0.,0.,27.9,253.4,1.3,0.2,5.3
169,"Taylor, Taywan",TEN,WR,13.7,1.8,4.,45.8,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,-0.1,0.,62.,132.5,0.,1.8,4.6
170,"Wright, James",FA,WR,8.5,0.9,4.8,43.3,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,4.3
171,"Ross, John",CIN,WR,7.6,0.6,5.,38.3,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,2.9,0.,66.,230.4,0.,0.7,4.1
172,"Braverman, Daniel",FA,WR,18.6,3.2,5.4,54.,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,4.4,0.,21.1,310.7,1.,2.4,3.9
173,"Bailey, Stedman",FA,WR,14.9,2.2,3.6,37.7,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,0.,58.8,0.,2.2,3.8
174,"Lewis, Tommylee",NOR,WR,5.7,0.6,3.2,28.3,0.1,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,4.5,0.,91.8,124.1,0.,1.1,3.6
175,"Smelter, DeAndre",FA,WR,3.6,0.,2.2,33.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,3.3
176,"Thomas, Mike",LAR,WR,14.7,1.6,4.8,43.,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,2.2,97.5,0.5,0.9,3.3
177,"Darboh, Amara",SEA,WR,6.9,0.4,2.6,27.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,2.4,0.,20.3,57.,0.,1.1,2.9
178,"Mariani, Marc",FA,WR,1.9,0.,1.2,23.3,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,5.2,0.,203.4,509.6,0.,0.,2.8
179,"Holton, Johnny",OAK,WR,5.8,0.,1.1,8.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,36.2,0.,0.,0.,0.8,0.2,2.8
180,"Smith, Kevin",SEA,WR,5.9,0.,2.7,26.8,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,0.,0.,6.,287.8,0.,0.,2.7
181,"Reynolds, Josh",LAR,WR,17.9,3.1,3.6,25.5,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,0.2,0.,1.4,17.4,0.1,2.5,2.4
