Rank,Player,Team,Position,Yds Allowed,0-99,100-199,200-299,300-349,350-399,400-449,450-499,500-549,550+,Pts Agn,0,1-6,7-13,14-17,18-20,21-27,28-34,35-45,46+,Scks,Int,Fum,DefTD,Safts,Pts
1,"Cardinals, Arizona",ARZ,D,4896.2,0.,1.1,4.3,5.1,3.2,1.1,0.7,0.4,0.1,410.,0.,0.1,2.,2.4,3.3,4.8,2.5,0.9,0.1,62.6,12.2,18.5,2.9,0.,213.7
2,"Broncos, Denver",DEN,D,3821.9,0.,1.1,5.1,6.,2.8,0.7,0.3,0.,0.,222.,0.,0.,3.2,4.,5.6,2.5,0.8,0.,0.,36.8,18.,16.2,1.,0.,197.2
3,"Texans, Houston",HOU,D,3987.2,0.,1.2,5.2,6.2,2.2,0.7,0.3,0.1,0.,297.4,0.,0.1,2.8,3.4,4.6,3.2,1.5,0.4,0.,42.6,27.8,6.3,0.,2.6,194.3
4,"Panthers, Carolina",CAR,D,5489.7,0.,0.9,3.7,4.4,3.5,1.3,0.8,0.5,0.2,365.,0.,0.1,2.3,2.8,3.8,4.,2.,0.6,0.,51.5,20.4,15.7,0.,2.7,194.1
5,"Patriots, New England",NEP,D,4717.3,0.,1.,4.,4.7,2.5,0.8,0.5,0.2,0.,254.1,0.,0.,3.,3.7,5.1,1.6,0.5,0.,0.,39.,20.8,12.4,1.3,0.7,187.3
6,"Chiefs, Kansas City",KCC,D,4650.,0.,0.9,4.2,5.,3.6,1.2,0.7,0.3,0.,244.,0.,0.,3.,3.7,5.2,2.9,1.2,0.,0.,18.3,17.1,14.5,4.1,1.6,185.6
7,"Vikings, Minnesota",MIN,D,4791.4,0.,1.1,4.4,5.2,3.,1.,0.6,0.4,0.1,317.,0.,0.1,2.6,3.2,4.4,3.5,1.7,0.5,0.,47.7,9.5,10.4,3.1,0.,183.9
8,"Eagles, Philadelphia",PHI,D,4960.9,0.,1.,4.,4.8,2.9,1.,0.6,0.4,0.1,325.1,0.,0.1,2.5,3.1,4.2,3.1,1.5,0.4,0.,27.8,21.8,5.6,2.9,0.,172.8
9,"Steelers, Pittsburgh",PIT,D,5123.6,0.,1.,3.8,4.6,2.9,1.,0.6,0.4,0.1,357.1,0.,0.1,2.3,2.8,3.8,3.3,1.6,0.5,0.,44.,13.5,16.1,0.,1.1,172.6
10,"Giants, New York",NYG,D,5051.4,0.,0.8,3.5,4.1,2.2,0.8,0.4,0.3,0.1,325.1,0.,0.1,2.3,2.9,4.,2.,0.9,0.2,0.,46.6,14.7,11.1,1.8,0.,172.
11,"Raiders, Oakland",OAK,D,5601.3,0.,0.9,3.7,4.4,3.8,1.4,0.9,0.6,0.2,377.4,0.,0.1,2.2,2.6,3.6,4.4,2.3,0.8,0.,23.8,19.1,14.7,1.2,0.,168.7
12,"Seahawks, Seattle",SEA,D,3402.,0.,1.,5.1,6.2,2.7,0.7,0.3,0.,0.,235.1,0.,0.,2.8,3.5,5.,3.2,1.3,0.1,0.,46.1,6.9,12.3,0.,1.4,168.4
13,"Jaguars, Jacksonville",JAC,D,4645.6,0.,1.1,4.3,5.1,2.6,0.9,0.5,0.3,0.1,334.,0.,0.1,2.5,3.,4.1,3.2,1.6,0.4,0.,35.4,12.,8.5,3.,0.,168.4
14,"Bengals, Cincinnati",CIN,D,4923.,0.,1.1,4.3,5.1,3.2,1.1,0.7,0.4,0.1,234.5,0.,0.1,3.3,4.1,5.6,2.,0.8,0.1,0.,38.8,16.4,6.,0.,1.,166.1
15,"Ravens, Baltimore",BAL,D,5015.5,0.,1.,4.2,5.,3.2,1.1,0.7,0.4,0.1,307.2,0.,0.1,2.7,3.3,4.5,3.3,1.6,0.4,0.,26.3,20.6,10.5,0.,0.,165.8
16,"Falcons, Atlanta",ATL,D,6028.3,0.,0.7,2.9,3.5,3.,1.2,0.7,0.5,0.2,404.9,0.,0.1,2.,2.4,3.2,3.1,1.5,0.5,0.,39.2,16.2,10.4,2.4,2.4,164.8
17,"Cowboys, Dallas",DAL,D,5307.2,0.,1.,3.9,4.6,3.4,1.2,0.8,0.5,0.2,356.2,0.,0.1,2.3,2.8,3.9,3.8,1.9,0.6,0.,46.4,12.6,10.2,0.,0.,163.8
18,"Titans, Tennessee",TEN,D,5721.5,0.,0.9,3.6,4.3,3.8,1.5,0.9,0.6,0.2,365.1,0.,0.1,2.3,2.7,3.8,4.2,2.2,0.7,0.,39.9,9.4,11.5,1.6,0.,161.5
19,"Chargers, San Diego",LAC,D,5301.5,0.,0.9,3.6,4.3,2.9,1.,0.6,0.4,0.1,440.9,0.,0.1,1.8,2.2,3.,4.,2.1,0.7,0.,38.9,16.9,5.7,2.4,0.,161.3
20,"Packers, Green Bay",GBP,D,5948.6,0.,0.7,3.4,4.,4.4,1.6,1.,0.6,0.2,370.9,0.,0.,2.1,2.6,3.6,4.7,2.4,0.7,0.,29.7,22.,9.7,0.,0.,160.3
21,"Buccaneers, Tampa Bay",TBB,D,5633.7,0.,0.7,2.9,3.5,2.4,0.9,0.5,0.3,0.1,334.,0.,0.1,2.2,2.7,3.7,1.8,0.8,0.1,0.,27.5,22.3,5.4,2.5,0.9,155.4
22,"Rams, Los Angeles",LAR,D,4590.9,0.,1.,4.4,5.2,3.3,1.1,0.6,0.3,0.,409.9,0.,0.,1.7,2.2,3.1,5.4,2.8,0.9,0.,35.,16.3,5.3,0.,0.,149.7
23,"Redskins, Washington",WAS,D,6170.3,0.,0.8,3.3,4.,4.2,1.6,1.,0.7,0.3,376.9,0.,0.1,2.2,2.6,3.6,4.4,2.3,0.7,0.,30.4,19.7,5.,0.,0.,147.5
24,"Bills, Buffalo",BUF,D,4271.3,0.,0.5,3.8,4.6,4.7,1.4,0.7,0.2,0.,300.8,0.,0.,1.7,2.2,3.3,5.7,2.6,0.4,0.,33.2,15.5,7.8,0.,0.,147.3
25,"49ers, San Francisco",SFO,D,5703.3,0.,0.9,3.7,4.3,3.8,1.4,0.9,0.6,0.2,407.6,0.,0.1,2.,2.4,3.3,4.8,2.5,0.8,0.1,39.1,11.7,8.,0.,3.,146.7
26,"Colts, Indianapolis",IND,D,5515.5,0.,0.8,3.3,3.9,2.8,1.,0.6,0.4,0.1,328.9,0.,0.1,2.4,2.9,4.,2.4,1.1,0.2,0.,36.5,10.2,8.9,1.,0.,144.7
27,"Dolphins, Miami",MIA,D,6586.7,0.,0.7,3.1,3.7,4.5,1.7,1.1,0.7,0.3,450.,0.,0.,1.7,2.1,2.9,5.3,2.8,1.,0.1,18.,17.2,10.5,0.8,0.,140.9
28,"Jets, New York",NYJ,D,4918.,0.,1.1,4.3,5.1,3.2,1.1,0.7,0.4,0.1,361.8,0.,0.1,2.3,2.8,3.8,4.1,2.1,0.7,0.,25.6,6.1,7.4,1.6,0.,137.1
29,"Saints, New Orleans",NOR,D,5557.,0.,0.9,3.8,4.5,3.7,1.4,0.9,0.5,0.2,416.8,0.,0.1,1.9,2.4,3.3,4.9,2.5,0.9,0.1,35.8,10.9,5.1,0.,2.8,136.6
30,"Bears, Chicago",CHI,D,5584.2,0.,0.9,3.8,4.5,3.7,1.4,0.9,0.6,0.2,437.2,0.,0.,1.8,2.2,3.1,5.1,2.7,0.9,0.1,37.1,7.7,5.,0.9,1.7,135.9
