Rank,Player,Team,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Tucker, Justin",BAL,K,26.9,26.9,35.1,38.7,0.,6.3,9.7,11.4,7.8,3.6,148.5
2,"Gostkowski, Stephen",NEP,K,44.7,48.3,30.7,34.3,0.8,7.6,9.6,11.3,1.4,3.6,140.1
3,"Bryant, Matt",ATL,K,53.9,55.4,26.5,30.,0.5,9.3,6.4,6.4,4.,3.5,137.5
4,"Vinatieri, Adam",IND,K,41.4,42.7,26.6,29.9,0.,5.2,7.4,9.,5.,3.3,130.1
5,"Bailey, Dan",DAL,K,39.3,39.3,27.7,31.7,0.,7.7,9.3,6.4,4.4,4.,125.7
6,"Prater, Matt",DET,K,29.1,30.5,27.1,31.2,0.,6.3,5.6,7.7,7.5,4.,121.1
7,"McManus, Brandon",DEN,K,31.4,32.3,30.6,35.6,0.,10.2,10.9,5.8,3.6,5.,121.
8,"Sturgis, Caleb",PHI,K,33.5,34.6,29.6,34.8,0.,8.8,10.7,7.,3.2,5.1,120.3
9,"Boswell, Chris",PIT,K,28.,29.5,28.2,31.,0.4,5.5,11.,10.5,0.8,2.8,116.2
10,"Walsh, Blair",SEA,K,31.5,36.2,28.3,32.7,0.6,7.2,10.8,6.9,2.8,4.4,115.6
11,"Lutz, Wil",NOR,K,46.7,47.8,24.9,30.7,1.1,5.7,9.1,6.8,2.1,5.8,115.
12,"Crosby, Mason",GBP,K,44.,45.7,23.4,27.1,0.7,6.3,8.8,4.1,3.5,3.7,114.5
13,"Novak, Nick",FA,K,22.4,24.5,30.7,36.,1.,8.9,9.7,7.6,3.4,5.3,112.9
14,"Forbath, Kai",MIN,K,30.,34.7,26.5,29.4,0.2,7.5,9.2,7.1,2.4,2.9,112.6
15,"Hopkins, Dustin",WAS,K,37.6,41.,28.,35.4,0.,10.7,8.8,6.2,2.3,7.4,110.5
16,"Myers, Jason",JAC,K,29.3,34.1,25.9,31.8,0.,7.6,4.9,8.3,5.2,5.9,108.2
17,"Bullock, Randy",CIN,K,33.8,37.9,27.6,33.4,0.,12.2,7.8,7.1,0.6,5.8,107.8
18,"Fairbairn, Ka'imi",HOU,K,25.8,28.9,28.5,34.2,1.2,9.,9.2,7.,2.1,5.7,105.7
19,"Hauschka, Steven",BUF,K,29.2,35.3,25.7,29.6,0.3,8.7,9.8,6.,0.9,3.9,102.5
20,"Lambo, Josh",FA,K,40.8,43.9,24.1,29.4,0.,7.4,12.1,4.6,0.,5.3,101.9
21,"Catanzaro, Chandler",NYJ,K,32.5,35.1,24.2,30.1,0.6,7.7,8.,5.2,2.8,5.9,98.1
22,"Koo, Younghoe",LAC,K,34.9,38.6,23.7,30.,0.,5.5,9.5,6.9,1.8,6.2,98.
23,"Rosas, Aldrick",NYG,K,34.,36.9,20.,21.2,0.4,5.5,6.7,7.3,0.,1.2,97.7
24,"Gano, Graham",CAR,K,32.7,34.8,23.5,30.6,0.,5.5,5.8,10.3,1.8,7.2,95.7
25,"Succop, Ryan",TEN,K,32.4,34.3,18.4,19.8,0.7,3.,5.2,7.2,2.3,1.5,94.7
26,"Santos, Cairo",KCC,K,29.8,32.1,23.,27.8,0.,5.5,10.7,5.4,1.4,4.8,92.3
27,"Folk, Nick",TBB,K,27.4,29.1,25.6,31.7,0.,9.4,11.8,3.1,1.3,6.1,91.6
28,"Janikowski, Sebastian",OAK,K,31.,32.8,21.3,26.9,0.5,6.8,4.7,6.9,2.4,5.6,89.8
29,"Gould, Robbie",SFO,K,30.3,32.7,17.9,19.7,0.,4.9,5.5,6.5,0.9,1.8,87.
30,"Dawson, Phil",ARZ,K,36.9,38.8,18.2,23.7,0.3,4.1,5.2,6.8,1.8,5.5,85.5
31,"Franks, Andrew",FA,K,38.5,39.6,16.1,18.4,0.,7.5,7.3,1.,0.2,2.3,81.3
32,"Parkey, Cody",MIA,K,32.,33.3,19.9,25.3,0.3,7.4,6.7,4.6,0.7,5.5,81.3
33,"Gonzalez, Zane",CLE,K,21.6,22.8,21.8,26.5,0.,8.,7.5,6.,0.4,4.7,79.7
34,"Barth, Connor",CHI,K,30.4,31.5,18.7,24.3,0.,7.5,6.7,2.7,1.8,5.6,76.1
35,"Nugent, Mike",FA,K,23.6,30.9,19.4,24.8,0.,6.6,9.3,2.1,1.4,5.3,70.7
36,"Zuerlein, Greg",LAR,K,24.3,25.2,17.6,23.,0.4,2.7,8.9,3.6,1.9,5.4,68.5
37,"Aguayo, Roberto",FA,K,25.4,26.7,16.1,23.7,0.,4.1,9.6,2.5,0.,7.6,53.5
