Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Burfict, Vontaze",CIN,@CLE,LB,7.2,3.,0.2,0.8,0.2,0.1,0.,0.,10.1
2,"Alexander, Kwon",TBB,NYG,LB,7.,2.7,0.2,0.6,0.,0.1,0.1,0.,9.4
3,"Jones, Deion",ATL,BUF,LB,5.7,2.5,0.,0.9,0.2,0.2,0.,0.,8.5
4,"Wagner, Bobby",SEA,IND,LB,5.4,4.7,0.2,0.3,0.,0.1,0.1,0.,8.4
5,"Collins, Jamie",CLE,CIN,LB,6.3,2.7,0.2,0.2,0.1,0.1,0.,0.,8.3
6,"Kuechly, Luke",CAR,@NEP,LB,5.4,2.8,0.1,0.6,0.2,0.1,0.1,0.,8.2
7,"David, Lavonte",TBB,NYG,LB,5.6,2.,0.4,0.4,0.1,0.2,0.2,0.,8.1
8,"Ogletree, Alec",LAR,@DAL,LB,5.7,2.8,0.1,0.5,0.1,0.,0.,0.,8.
9,"Brown, Jatavis",LAC,PHI,LB,6.2,1.5,0.3,0.4,0.,0.2,0.1,0.,7.9
10,"Freeman, Jerrell",CHI,@GBP,LB,6.5,1.6,0.1,0.4,0.,0.,0.,0.,7.9
11,"Brown, Zach",WAS,@KCC,LB,5.8,2.5,0.2,0.4,0.1,0.,0.,0.,7.9
12,"Davis, Jarrad",DET,@MIN,LB,6.2,2.2,0.,0.3,0.,0.,0.,0.,7.8
13,"Mosley, C.J.",BAL,PIT,LB,4.9,3.2,0.1,0.5,0.2,0.,0.,0.,7.5
14,"Smith, Telvin",JAC,@NYJ,LB,5.8,1.3,0.1,0.5,0.1,0.,0.,0.,7.4
15,"Kirksey, Christian",CLE,CIN,LB,5.5,2.8,0.2,0.1,0.,0.,0.,0.,7.3
16,"Lee, Sean",DAL,LAR,LB,5.5,3.1,0.,0.1,0.,0.,0.,0.,7.1
17,"Williams, Vince",PIT,@BAL,LB,4.9,2.4,0.6,0.1,0.1,0.2,0.,0.,7.1
18,"Foster, Mason",WAS,@KCC,LB,5.4,2.3,0.1,0.3,0.,0.1,0.,0.,7.1
19,"Alonso, Kiko",MIA,NOR,LB,4.8,3.3,0.,0.2,0.1,0.1,0.1,0.,7.1
20,"Dansby, Karlos",ARZ,SFO,LB,4.7,2.4,0.5,0.4,0.,0.1,0.1,0.,6.9
21,"Lee, Darron",NYJ,JAC,LB,5.2,2.7,0.2,0.2,0.,0.,0.,0.,6.9
22,"Williamson, Avery",TEN,@HOU,LB,5.1,2.5,0.2,0.1,0.1,0.1,0.,0.,6.7
23,"Bucannon, Deone",ARZ,SFO,LB,5.2,2.,0.,0.3,0.,0.1,0.1,0.,6.7
24,"Barron, Mark",LAR,@DAL,LB,5.,1.7,0.1,0.4,0.1,0.,0.,0.,6.5
25,"McKinney, Benardrick",HOU,TEN,LB,4.5,3.,0.3,0.2,0.,0.,0.,0.,6.5
26,"Davis, Thomas",CAR,@NEP,LB,4.4,2.1,0.2,0.3,0.2,0.1,0.1,0.,6.5
27,"Goodson, B.J.",NYG,@TBB,LB,4.8,1.9,0.1,0.2,0.,0.2,0.,0.,6.4
28,"Morrison, Antonio",IND,@SEA,LB,4.7,2.2,0.2,0.3,0.,0.,0.,0.,6.4
29,"Jack, Myles",JAC,@NYJ,LB,4.9,2.1,0.1,0.3,0.,0.,0.,0.,6.4
30,"Miller, Von",DEN,OAK,LB,4.3,1.,0.8,0.3,0.1,0.3,0.,0.,6.3
31,"Brown, Preston",BUF,@ATL,LB,4.3,3.3,0.,0.1,0.1,0.,0.,0.,6.3
32,"Wright, K.J.",SEA,IND,LB,4.2,3.1,0.2,0.2,0.,0.1,0.1,0.,6.3
33,"Timmons, Lawrence",MIA,NOR,LB,4.4,2.5,0.1,0.2,0.1,0.,0.,0.,6.3
34,"Mack, Khalil",OAK,@DEN,LB,4.8,1.,0.6,0.1,0.,0.2,0.,0.,6.2
35,"Toomer, Korey",LAC,PHI,LB,4.6,1.5,0.2,0.3,0.,0.2,0.1,0.,6.2
36,"Bowman, Navorro",SFO,@ARZ,LB,4.8,1.5,0.1,0.2,0.1,0.1,0.,0.,6.1
37,"Kendricks, Eric",MIN,DET,LB,4.3,2.1,0.1,0.4,0.1,0.1,0.1,0.,6.1
38,"Vigil, Nick",CIN,@CLE,LB,4.3,2.6,0.,0.3,0.,0.,0.,0.,6.1
39,"Klein, A.J.",NOR,@MIA,LB,4.3,2.,0.2,0.1,0.,0.1,0.1,0.,6.
40,"Martinez, Blake",GBP,CHI,LB,4.5,1.5,0.3,0.3,0.1,0.,0.,0.,6.
41,"Shazier, Ryan",PIT,@BAL,LB,3.7,1.9,0.2,0.5,0.2,0.1,0.,0.,6.
42,"Johnson, Derrick",KCC,WAS,LB,4.7,1.4,0.1,0.3,0.1,0.,0.,0.,5.9
43,"Correa, Kamalei",BAL,PIT,LB,3.7,1.9,0.5,0.3,0.1,0.2,0.,0.,5.8
