"Rank","Player","Team","Opp","Position","Yds Allowed","Pts Agn","Scks","Int","Fum","DefTD","Safts","Pts"
1,"Ravens, Baltimore","BAL","@MIA","D",220.8,13.6,2.7,1.,0.6,0.4,0.,15.7
2,"Bears, Chicago","CHI","GBP","D",289.9,15.4,2.9,1.6,0.2,0.2,0.1,14.6
3,"Lions, Detroit","DET","@ARZ","D",255.1,15.4,3.3,0.6,0.5,0.1,0.,12.8
4,"Broncos, Denver","DEN","@OAK","D",301.8,18.1,3.,1.2,0.8,0.1,0.,12.8
5,"Chiefs, Kansas City","KCC","@JAC","D",351.,21.,2.5,1.2,0.9,0.3,0.,11.5
6,"Saints, New Orleans","NOS","HOU","D",341.3,20.6,2.9,1.,0.8,0.,0.,11.4
7,"Patriots, New England","NEP","PIT","D",335.8,18.1,2.2,1.,0.6,0.1,0.,11.3
8,"Colts, Indianapolis","IND","@LAC","D",331.8,18.3,2.6,1.,0.7,0.1,0.,11.3
9,"Chargers, Los Angeles","LAC","IND","D",326.,21.,2.1,0.8,0.7,0.2,0.,10.1
10,"Rams, Los Angeles","LAR","@CAR","D",377.7,25.2,2.4,1.,0.5,0.2,0.1,9.7
11,"Eagles, Philadelphia","PHI","WAS","D",340.5,19.7,2.7,0.7,0.3,0.,0.,9.6
12,"Texans, Houston","HOU","@NOS","D",398.4,21.7,2.,0.8,0.7,0.2,0.,9.
13,"Seahawks, Seattle","SEA","CIN","D",379.5,22.9,2.4,0.6,0.8,0.2,0.,9.
14,"Bills, Buffalo","BUF","@NYJ","D",323.1,25.4,1.6,1.,0.5,0.,0.1,8.7
15,"Browns, Cleveland","CLE","TEN","D",380.,23.6,2.3,0.9,0.7,0.,0.1,8.5
16,"Raiders, Oakland","OAK","DEN","D",328.5,24.9,0.8,1.1,0.1,0.1,0.,8.2
17,"Dolphins, Miami","MIA","BAL","D",410.5,29.7,2.1,1.1,0.5,0.3,0.,8.1
18,"Buccaneers, Tampa Bay","TBB","SFO","D",357.,26.3,2.4,0.6,0.6,0.1,0.,8.
19,"Jaguars, Jacksonville","JAC","KCC","D",385.7,23.6,1.8,0.4,0.3,0.2,0.1,7.3
20,"Vikings, Minnesota","MIN","ATL","D",377.7,25.8,2.2,0.5,0.2,0.1,0.,7.1
21,"Redskins, Washington","WAS","@PHI","D",418.5,26.9,2.3,0.7,0.6,0.,0.,7.1
22,"Steelers, Pittsburgh","PIT","@NEP","D",381.2,26.,2.4,0.4,0.2,0.1,0.1,7.1
23,"Cowboys, Dallas","DAL","NYG","D",365.,22.,1.7,0.4,0.5,0.1,0.,7.
24,"Titans, Tennessee","TEN","@CLE","D",429.7,24.1,1.7,0.6,0.3,0.2,0.,6.4
25,"Jets, New York","NYJ","BUF","D",459.,33.5,2.2,0.5,0.4,0.2,0.,6.4
26,"Falcons, Atlanta","ATL","@MIN","D",432.6,28.3,2.2,0.9,0.3,0.1,0.,6.3
27,"Panthers, Carolina","CAR","LAR","D",413.1,26.5,1.7,0.6,0.6,0.,0.,6.1
28,"Bengals, Cincinnati","CIN","@SEA","D",463.2,31.7,1.7,0.6,0.3,0.3,0.,6.1
29,"Giants, New York","NYG","@DAL","D",430.,29.2,1.7,0.9,0.3,0.2,0.,5.9
30,"49ers, San Francisco","SFO","@TBB","D",392.8,30.9,2.1,0.,0.3,0.1,0.,5.4
31,"Cardinals, Arizona","ARZ","DET","D",434.4,32.8,2.2,0.3,0.4,0.1,0.,5.2
32,"Packers, Green Bay","GBP","@CHI","D",426.1,29.6,2.1,0.3,0.4,0.1,0.,5.
"","","","","","","","","","","","",""
