"Rank","Player","Team","Opp","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"McVay, Sean","LAR","@CAR","HC",1.,0.,35.,22.,28.1
2,"Carroll, Pete","SEA","CIN","HC",1.,0.,33.,18.,25.9
3,"Reid, Andy","KCC","@JAC","HC",1.,0.,31.,13.,23.4
4,"Harbaugh, John","BAL","@MIA","HC",1.,0.,30.,13.,22.9
5,"Shanahan, Kyle","SFO","@TBB","HC",1.,0.,27.,10.,20.5
6,"Belichick, Bill","NEP","PIT","HC",1.,0.,25.,8.,18.9
7,"Lynn, Anthony","LAC","IND","HC",1.,0.,25.,8.,18.9
8,"Garrett, Jason","DAL","NYG","HC",1.,0.,26.,5.,18.5
9,"McDermott, Sean","BUF","@NYJ","HC",1.,0.,24.,6.,17.8
10,"Tomlin, Mike","PIT","@NEP","HC",1.,0.,27.,1.,17.8
11,"Payton, Sean","NOS","HOU","HC",1.,0.,25.,2.,17.1
12,"Pederson, Doug","PHI","WAS","HC",1.,0.,24.,2.,16.6
13,"O'Brien, Bill","HOU","@NOS","HC",1.,0.,21.,5.,16.
14,"Rivera, Ron","CAR","LAR","HC",0.,1.,23.,-1.,11.2
15,"Quinn, Dan","ATL","@MIN","HC",0.,1.,22.,-3.,10.1
16,"Koetter, Dirk","ATL","@MIN","HC",0.,1.,22.,-5.,9.5
17,"Gruden, Jon","OAK","DEN","HC",0.,1.,19.,-1.,9.2
18,"Patricia, Matt","DET","@ARZ","HC",0.,1.,18.,-1.,8.7
19,"Zimmer, Mike","MIN","ATL","HC",0.,1.,18.,-3.,8.1
20,"Reich, Frank","IND","@LAC","HC",0.,1.,18.,-3.,8.1
21,"Nagy, Matt","CHI","GBP","HC",0.,1.,17.,-3.,7.6
22,"Shurmur, Pat","NYG","@DAL","HC",0.,1.,20.,-8.,7.6
23,"Marrone, Doug","JAC","KCC","HC",0.,1.,15.,-8.,5.1
24,"Gruden, Jay","WAS","@PHI","HC",0.,1.,16.,-12.,4.4
25,"Vrabel, Mike","TEN","@CLE","HC",0.,1.,14.,-11.,3.7
26,"Gase, Adam","NYJ","BUF","HC",0.,1.,15.,-16.,2.7
"","","","","","","","","",""
