Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Hekker, Johnny",LAR,NOR,P,6.2,297.1,13.5,2.9,22.
2,"Pinion, Bradley",SFO,SEA,P,6.3,274.9,18.7,1.9,18.8
3,"King, Marquette",OAK,DEN,P,5.4,253.1,20.2,2.3,18.2
4,"Wing, Brad",NYG,@WAS,P,5.8,262.4,21.5,1.8,18.
5,"Lechler, Shane",HOU,@BAL,P,5.2,245.4,31.3,1.8,17.
6,"Dixon, Riley",DEN,@OAK,P,5.5,247.6,17.7,1.7,16.8
7,"Kern, Brett",TEN,@IND,P,5.1,230.6,25.4,2.1,16.8
8,"Haack, Matt",MIA,@NEP,P,5.2,236.8,22.3,1.9,16.7
9,"Koch, Sam",BAL,HOU,P,4.7,218.3,16.6,2.1,16.1
10,"Colquitt, Dustin",KCC,BUF,P,4.5,196.8,9.4,2.2,15.2
11,"Allen, Ryan",NEP,MIA,P,4.7,208.8,15.,1.8,14.7
12,"Nortman, Brad",JAC,@ARZ,P,4.5,210.3,19.5,1.6,14.7
13,"Colquitt, Britton",CLE,@CIN,P,4.9,215.9,21.7,1.3,14.4
14,"Palardy, Michael",CAR,@NYJ,P,4.6,201.,17.3,1.7,14.4
15,"Anger, Bryan",TBB,@ATL,P,4.1,185.9,7.2,2.1,14.4
16,"Huber, Kevin",CIN,CLE,P,4.5,209.6,18.1,1.4,14.2
17,"Jones, Donnie",PHI,CHI,P,4.4,205.9,12.3,1.5,14.
18,"Edwards, Lachlan",NYJ,CAR,P,4.7,206.,21.8,1.5,14.
19,"Martin, Sam",DET,MIN,P,4.3,206.1,14.9,1.4,14.
20,"Schmidt, Colton",BUF,@KCC,P,4.8,205.3,19.,1.2,13.5
21,"O'Donnell, Pat",CHI,@PHI,P,4.3,188.5,14.5,1.6,13.4
22,"Quigley, Ryan",MIN,@DET,P,4.3,182.4,13.7,1.7,13.2
23,"Ryan, Jon",SEA,@SFO,P,4.,177.6,15.3,1.4,12.4
24,"Jones, Chris",DAL,LAC,P,3.7,170.4,8.9,1.6,12.1
25,"Morstead, Thomas",NOR,@LAR,P,3.6,170.6,14.1,1.4,12.
26,"Berry, Jordan",PIT,GBP,P,3.9,172.5,14.,1.4,12.
27,"Kaser, Drew",LAC,@DAL,P,3.9,182.7,21.9,1.1,12.
28,"Way, Tress",WAS,NYG,P,3.7,171.7,14.5,1.2,11.8
29,"Vogel, Justin",GBP,@PIT,P,3.9,167.8,8.7,1.2,11.5
30,"Bosher, Matt",ATL,TBB,P,3.2,145.6,13.3,1.5,11.
31,"Wile, Matt",ARZ,JAC,P,3.8,164.7,16.9,1.,10.5
