Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Brown, Antonio",PIT,GBP,WR,13.8,2.5,8.5,115.5,0.8,0.3,0.1,0.3,0.1,0.,0.2,1.6,0.,10.4,2.6,0.,2.5,16.8
2,"Nelson, Jordy",GBP,@PIT,WR,9.4,2.1,5.5,68.6,0.7,0.4,0.1,0.1,0.1,0.,0.,2.5,0.1,0.,0.9,0.,1.9,11.8
3,"Evans, Mike",TBB,@ATL,WR,11.3,2.2,5.6,82.1,0.5,0.2,0.1,0.1,0.1,0.1,0.,0.,0.,0.,0.,0.,2.2,11.4
4,"Green, A.J.",CIN,CLE,WR,9.5,1.9,5.8,83.8,0.5,0.2,0.1,0.1,0.,0.,0.1,0.5,0.,0.,0.,0.,1.9,11.4
5,"Thomas, Michael",NOR,@LAR,WR,7.5,1.2,5.4,72.9,0.6,0.3,0.1,0.1,0.,0.,0.1,0.5,0.,0.1,0.,0.,1.1,11.1
6,"Pryor, Terrelle",WAS,NYG,WR,10.,1.,5.8,86.,0.4,0.1,0.1,0.,0.,0.,0.1,0.2,0.,1.4,0.,0.,0.9,11.
7,"Cooks, Brandin",NEP,MIA,WR,8.2,0.9,5.2,75.6,0.5,0.1,0.1,0.,0.,0.,0.2,2.6,0.,3.6,0.3,0.1,1.,10.7
8,"Jones, Julio",ATL,TBB,WR,8.4,1.4,5.3,82.9,0.4,0.2,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,1.5,10.5
9,"Allen, Keenan",LAC,@DAL,WR,7.4,1.7,5.1,68.8,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.,0.,0.5,0.7,0.,1.9,9.9
10,"Bryant, Martavis",PIT,GBP,WR,8.8,2.5,4.9,62.7,0.5,0.1,0.2,0.,0.1,0.,0.,3.2,0.,1.4,0.6,0.,2.3,9.6
11,"Baldwin, Doug",SEA,@SFO,WR,7.,1.3,5.,62.2,0.5,0.2,0.2,0.1,0.1,0.,0.,0.4,0.,0.,0.,0.,1.2,9.5
12,"Watkins, Sammy",LAR,NOR,WR,8.,0.7,4.6,61.,0.4,0.2,0.1,0.1,0.1,0.1,0.,3.9,0.1,4.4,4.,0.,0.8,9.5
13,"Bryant, Dez",DAL,LAC,WR,7.8,1.8,3.8,58.1,0.6,0.2,0.2,0.1,0.,0.1,0.,0.,0.,0.3,0.,0.1,2.,9.3
14,"Hopkins, DeAndre",HOU,@BAL,WR,10.8,1.7,5.5,72.2,0.3,0.1,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,1.6,9.3
15,"Hilton, T.Y.",IND,TEN,WR,8.5,1.5,4.6,73.8,0.3,0.1,0.,0.,0.1,0.,0.,0.,0.,0.4,0.1,0.,1.6,9.2
16,"Adams, Davante",GBP,@PIT,WR,6.1,1.2,4.1,54.9,0.6,0.3,0.1,0.2,0.,0.,0.1,0.4,0.,1.3,0.,0.,0.9,9.1
17,"Beckham, Odell",NYG,@WAS,WR,7.9,1.8,4.3,59.7,0.5,0.2,0.1,0.,0.1,0.,0.1,0.3,0.,2.4,1.8,0.,1.6,8.8
18,"Decker, Eric",TEN,@IND,WR,6.6,1.,3.7,59.1,0.5,0.3,0.1,0.1,0.1,0.,0.,0.3,0.,0.,0.2,0.1,1.,8.8
19,"Jeffery, Alshon",PHI,CHI,WR,9.1,1.1,5.1,71.9,0.3,0.1,0.1,0.,0.,0.1,0.,0.3,0.,0.,2.1,0.,0.9,8.7
20,"Benjamin, Kelvin",CAR,@NYJ,WR,7.3,1.1,3.9,58.8,0.5,0.2,0.1,0.1,0.,0.1,0.,0.6,0.,1.6,0.,0.1,1.,8.6
21,"Tate, Golden",DET,MIN,WR,8.8,1.3,5.6,63.,0.4,0.2,0.,0.1,0.,0.,0.1,1.,0.,1.1,0.,0.,0.7,8.6
22,"Crabtree, Michael",OAK,DEN,WR,9.7,2.4,5.3,59.1,0.4,0.2,0.1,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,2.3,8.6
23,"Hill, Tyreek",KCC,BUF,WR,6.7,1.,4.4,47.4,0.3,0.,0.1,0.,0.2,0.,0.,11.4,0.1,27.4,19.3,0.1,1.,8.4
24,"Hogan, Chris",NEP,MIA,WR,6.1,1.2,3.7,63.4,0.3,0.,0.1,0.,0.1,0.,0.1,0.7,0.,0.6,2.8,0.,1.2,8.3
25,"Snead, Willie",NOR,@LAR,WR,8.1,1.2,5.3,68.,0.2,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.2,8.3
26,"Robinson, Allen",JAC,@ARZ,WR,8.1,1.6,3.8,56.1,0.4,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.5,8.2
27,"Ginn Jr., Ted",NOR,@LAR,WR,7.6,0.4,4.5,61.8,0.3,0.1,0.,0.,0.1,0.,0.1,4.4,0.,9.4,16.,0.,0.6,8.2
28,"Landry, Jarvis",MIA,@NEP,WR,8.5,1.3,5.7,64.4,0.2,0.1,0.1,0.,0.,0.,0.1,2.6,0.,12.4,7.8,0.1,1.4,8.1
29,"Anderson, Robby",NYJ,CAR,WR,7.,0.8,3.8,57.2,0.4,0.1,0.,0.1,0.,0.1,0.,1.7,0.,0.,0.,0.,0.8,8.1
30,"Jackson, DeSean",TBB,@ATL,WR,7.4,0.8,4.1,63.2,0.3,0.,0.1,0.,0.,0.,0.,0.5,0.,1.6,0.5,0.,0.7,8.
