Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Hekker, Johnny",LAR,IND,P,6.2,297.1,13.5,2.9,22.
2,"Pinion, Bradley",SFO,CAR,P,6.3,273.8,18.7,1.9,18.8
3,"King, Marquette",OAK,@TEN,P,5.3,251.1,20.,2.3,18.1
4,"Wing, Brad",NYG,@DAL,P,5.8,262.5,20.8,1.9,18.
5,"Lechler, Shane",HOU,JAC,P,5.2,243.3,31.,1.8,16.8
6,"Dixon, Riley",DEN,LAC,P,5.5,246.8,17.2,1.7,16.8
7,"Kern, Brett",TEN,OAK,P,5.1,231.5,26.,2.1,16.8
8,"Haack, Matt",MIA,Bye,P,5.2,235.8,22.1,1.9,16.7
9,"Koch, Sam",BAL,@CIN,P,4.7,217.4,16.5,2.1,16.1
10,"Colquitt, Dustin",KCC,@NEP,P,4.5,196.7,9.5,2.3,15.2
11,"Nortman, Brad",JAC,@HOU,P,4.5,210.8,20.,1.6,14.7
12,"Allen, Ryan",NEP,KCC,P,4.7,207.8,15.1,1.7,14.6
13,"Huber, Kevin",CIN,BAL,P,4.6,213.3,19.,1.4,14.5
14,"Palardy, Michael",CAR,@SFO,P,4.6,200.,17.,1.7,14.4
15,"Anger, Bryan",TBB,Bye,P,4.1,186.4,7.2,2.1,14.4
16,"Colquitt, Britton",CLE,PIT,P,4.8,214.8,21.3,1.3,14.4
17,"Jones, Donnie",PHI,@WAS,P,4.4,206.5,11.8,1.5,14.1
18,"Edwards, Lachlan",NYJ,@BUF,P,4.7,204.6,21.7,1.5,13.9
19,"Schmidt, Colton",BUF,NYJ,P,4.8,205.3,18.9,1.2,13.5
20,"O'Donnell, Pat",CHI,ATL,P,4.3,188.7,14.6,1.6,13.4
21,"Quigley, Ryan",MIN,NOR,P,4.4,182.9,14.1,1.7,13.1
22,"Ryan, Jon",SEA,@GBP,P,4.,177.9,15.1,1.4,12.4
23,"Kaser, Drew",LAC,@DEN,P,4.,185.8,21.8,1.1,12.3
24,"Jones, Chris",DAL,NYG,P,3.8,172.,9.1,1.6,12.2
25,"Berry, Jordan",PIT,@CLE,P,3.9,173.8,14.2,1.4,12.1
26,"Morstead, Thomas",NOR,@MIN,P,3.6,170.5,14.1,1.4,12.
27,"Way, Tress",WAS,PHI,P,3.7,171.6,14.2,1.2,11.7
28,"Vogel, Justin",GBP,SEA,P,3.9,167.1,8.7,1.2,11.5
29,"Bosher, Matt",ATL,@CHI,P,3.2,146.9,13.4,1.5,11.1
30,"Wile, Matt",ARZ,@DET,P,3.8,164.7,16.9,1.,10.5
