Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Gostkowski, Stephen",NEP,KCC,K,3.3,3.6,2.3,2.5,0.1,0.6,0.7,0.8,0.1,0.2,10.8
2,"Gano, Graham",CAR,@SFO,K,3.,3.2,2.2,2.5,0.,0.5,0.5,1.,0.2,0.3,9.8
3,"Tucker, Justin",BAL,@CIN,K,1.7,1.7,2.2,2.5,0.,0.4,0.6,0.7,0.5,0.2,9.5
4,"Bryant, Matt",ATL,@CHI,K,3.6,3.7,1.8,2.,0.,0.6,0.4,0.4,0.3,0.2,9.4
5,"Vinatieri, Adam",IND,@LAR,K,3.,3.1,1.8,2.,0.,0.3,0.5,0.6,0.4,0.2,9.2
6,"McManus, Brandon",DEN,LAC,K,2.2,2.3,2.2,2.4,0.,0.7,0.8,0.4,0.2,0.3,8.8
7,"Boswell, Chris",PIT,@CLE,K,2.,2.1,2.,2.2,0.,0.4,0.8,0.7,0.1,0.2,8.2
8,"Sturgis, Caleb",PHI,@WAS,K,2.2,2.3,2.,2.3,0.,0.6,0.7,0.5,0.2,0.3,8.1
9,"Walsh, Blair",SEA,@GBP,K,2.1,2.4,1.9,2.2,0.,0.5,0.7,0.5,0.2,0.2,7.9
10,"Bailey, Dan",DAL,NYG,K,2.4,2.4,1.7,2.,0.,0.5,0.6,0.4,0.3,0.3,7.9
11,"Prater, Matt",DET,ARZ,K,1.9,2.,1.7,2.,0.,0.4,0.4,0.5,0.5,0.2,7.8
12,"Forbath, Kai",MIN,NOR,K,2.,2.3,1.8,1.9,0.,0.5,0.6,0.5,0.2,0.2,7.6
13,"Catanzaro, Chandler",NYJ,@BUF,K,2.4,2.6,1.8,2.1,0.,0.6,0.6,0.4,0.2,0.3,7.6
14,"Crosby, Mason",GBP,SEA,K,2.8,3.,1.5,1.7,0.,0.4,0.6,0.3,0.2,0.2,7.4
15,"Lutz, Wil",NOR,@MIN,K,3.,3.,1.6,1.9,0.1,0.4,0.6,0.4,0.1,0.4,7.4
16,"Hopkins, Dustin",WAS,PHI,K,2.5,2.7,1.8,2.3,0.,0.7,0.6,0.4,0.2,0.4,7.4
17,"Santos, Cairo",KCC,@NEP,K,2.2,2.4,1.7,2.,0.,0.4,0.8,0.4,0.1,0.3,7.3
18,"Myers, Jason",JAC,@HOU,K,1.9,2.2,1.7,2.,0.,0.5,0.3,0.5,0.3,0.3,7.3
19,"Bullock, Randy",CIN,BAL,K,2.2,2.5,1.8,2.1,0.,0.8,0.5,0.4,0.,0.3,7.3
20,"Rosas, Aldrick",NYG,@DAL,K,2.3,2.5,1.4,1.4,0.,0.3,0.5,0.5,0.,0.1,6.8
21,"Hauschka, Steven",BUF,NYJ,K,1.8,2.2,1.6,1.8,0.,0.5,0.6,0.4,0.1,0.2,6.4
22,"Succop, Ryan",TEN,OAK,K,2.2,2.3,1.2,1.3,0.,0.2,0.3,0.5,0.2,0.1,6.4
23,"Fairbairn, Ka'imi",HOU,JAC,K,1.6,1.8,1.7,2.1,0.1,0.5,0.5,0.4,0.2,0.4,6.3
24,"Dawson, Phil",ARZ,@DET,K,2.5,2.6,1.2,1.5,0.,0.3,0.4,0.5,0.1,0.3,6.
25,"Gonzalez, Zane",CLE,PIT,K,1.4,1.5,1.4,1.7,0.,0.5,0.5,0.4,0.,0.3,5.3
26,"Koo, Younghoe",LAC,@DEN,K,1.9,2.1,1.3,1.8,0.,0.3,0.5,0.4,0.1,0.4,5.1
27,"Gould, Robbie",SFO,CAR,K,1.8,1.9,1.,1.2,0.,0.3,0.3,0.4,0.1,0.1,5.
28,"Barth, Connor",CHI,ATL,K,1.9,2.,1.2,1.5,0.,0.5,0.4,0.2,0.1,0.3,4.9
29,"Janikowski, Sebastian",OAK,@TEN,K,1.8,1.9,1.2,1.6,0.,0.4,0.3,0.4,0.1,0.4,4.9
30,"Zuerlein, Greg",LAR,IND,K,1.5,1.6,1.1,1.4,0.,0.2,0.6,0.2,0.1,0.3,4.3
