Player,Team,Rec,Rec Yds,Rec TDs,Rush Att,Rush Yds,Rush TDs,Fum Lost,FPoints
N'Keal Harry,NE,43.0,595.0,3.0,0.0,0.0,0.0,,77.5
Calvin Ridley,ATL,77.0,"1,015.0",7.0,0.0,31.0,0.0,,146.6
Darius Slayton,NYG,44.0,645.0,5.0,0.0,0.0,0.0,,94.5
James Washington,PIT,26.0,355.0,3.0,0.0,0.0,0.0,,53.5
KeeSean Johnson,ARI,16.0,202.0,1.0,0.0,0.0,0.0,,26.2
Dede Westbrook,JAC,36.0,384.0,1.0,0.0,0.0,0.0,,44.4
D.K. Metcalf,SEA,63.0,957.0,7.0,0.0,0.0,0.0,,137.7
Alshon Jeffery,PHI,27.0,344.0,3.0,0.0,0.0,0.0,,52.4
Josh Reynolds,LAR,24.0,335.0,2.0,0.0,0.0,0.0,,45.5
Phillip Dorsett II,SEA,26.0,329.0,2.0,0.0,0.0,0.0,,44.9
Scotty Miller,TB,21.0,255.0,1.0,0.0,0.0,0.0,,31.5
Zach Pascal,IND,18.0,246.0,2.0,0.0,0.0,0.0,,36.6
Dontrelle Inman,WAS,25.0,288.0,2.0,0.0,0.0,0.0,,40.8
John Brown,BUF,50.0,746.0,5.0,0.0,0.0,0.0,,104.6
DeVante Parker,MIA,78.0,"1,134.0",6.0,0.0,0.0,0.0,,149.4
Michael Gallup,DAL,61.0,955.0,6.0,0.0,0.0,0.0,,131.5
Will Fuller V,HOU,53.0,754.0,5.0,0.0,0.0,0.0,,105.4
Damiere Byrd,NE,21.0,256.0,2.0,0.0,0.0,0.0,,37.6
Tyler Lockett,SEA,73.0,"1,007.0",7.0,4.0,30.0,0.0,,145.7
Sterling Shepard,NYG,66.0,751.0,5.0,6.0,42.0,0.0,,109.3
John Ross,CIN,26.0,385.0,3.0,4.0,26.0,0.0,,59.1
Jamison Crowder,NYJ,75.0,835.0,5.0,0.0,0.0,0.0,,113.5
Willie Snead IV,BAL,28.0,355.0,2.0,0.0,0.0,0.0,,47.5
Cooper Kupp,LAR,78.0,"1,066.0",7.0,0.0,0.0,0.0,,148.6
Marquez Valdes-Scantling,GB,28.0,377.0,2.0,0.0,0.0,0.0,,49.7
Danny Amendola,DET,61.0,645.0,3.0,0.0,0.0,0.0,,82.5
Breshad Perriman,NYJ,42.0,583.0,4.0,0.0,0.0,0.0,,82.3
Miles Boykin,BAL,25.0,365.0,2.0,0.0,0.0,0.0,,48.5
Michael Thomas,NO,130.0,"1,558.0",8.0,0.0,0.0,0.0,,203.8
Courtland Sutton,DEN,73.0,"1,066.0",6.0,0.0,0.0,0.0,,142.6
Michael Pittman Jr.,IND,53.0,691.0,4.0,0.0,0.0,0.0,,93.1
Justin Jefferson,MIN,45.0,555.0,3.0,0.0,0.0,0.0,,73.5
Cody Core,NYG,9.0,123.0,1.0,0.0,0.0,0.0,0.0,18.3
KJ Hamler,DEN,11.0,142.0,1.0,0.0,0.0,0.0,,20.2
Greg Ward,PHI,17.0,215.0,1.0,0.0,0.0,0.0,,27.5
Kendrick Bourne,SF,34.0,406.0,3.0,0.0,0.0,0.0,,58.6
Adam Humphries,TEN,39.0,401.0,2.0,0.0,0.0,0.0,,52.1
Deonte Harris,NO,12.0,131.0,1.0,0.0,0.0,0.0,,19.1
Chris Conley,JAC,37.0,506.0,3.0,0.0,0.0,0.0,,68.6
Keelan Cole Sr.,JAC,21.0,313.0,2.0,0.0,0.0,0.0,,43.3
Terry McLaurin,WAS,67.0,955.0,6.0,0.0,0.0,0.0,,131.5
Preston Williams,MIA,52.0,675.0,4.0,0.0,0.0,0.0,,91.5
Justin Watson,TB,6.0,75.0,0.0,0.0,0.0,0.0,,7.5
Rashard Higgins,CLE,20.0,245.0,2.0,0.0,0.0,0.0,,36.5
Trent Taylor,SF,19.0,220.0,1.0,0.0,0.0,0.0,,28.0
Pharoh Cooper,CAR,14.0,184.0,1.0,0.0,0.0,0.0,,24.4
Steven Sims,WAS,37.0,466.0,3.0,5.0,35.0,0.0,,68.1
Jalen Reagor,PHI,45.0,582.0,4.0,0.0,0.0,0.0,,82.2
A.J. Brown,TEN,70.0,"1,099.0",6.0,7.0,51.0,0.0,,151.0
Andy Isabella,ARI,18.0,241.0,2.0,0.0,0.0,0.0,,36.1
Jerry Jeudy,DEN,50.0,627.0,4.0,0.0,0.0,0.0,,86.7
D.J. Chark Jr.,JAC,72.0,959.0,6.0,0.0,0.0,0.0,,131.9
JJ Arcega-Whiteside,PHI,21.0,249.0,2.0,0.0,0.0,0.0,0.0,36.9
Tyler Johnson,TB,6.0,86.0,0.0,0.0,0.0,0.0,0.0,8.6
Tim Patrick,DEN,30.0,313.0,2.0,0.0,0.0,0.0,,43.3
Corey Davis,TEN,50.0,651.0,5.0,0.0,0.0,0.0,,95.1
Laviska Shenault Jr.,JAC,29.0,345.0,2.0,14.0,82.0,1.0,,60.7
Kenny Golladay,DET,77.0,"1,134.0",8.0,0.0,0.0,0.0,,161.4
