"Rank","Player","Team","Opp","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"Shanahan, Kyle","SFO","ATL","HC",1.,0.,29.,7.,20.6
2,"Rivera, Ron","CAR","SEA","HC",1.,0.,27.,7.,19.6
3,"Shurmur, Pat","NYG","MIA","HC",1.,0.,28.,1.,18.3
4,"Belichick, Bill","NEP","@CIN","HC",1.,0.,27.,2.,18.1
5,"Zimmer, Mike","MIN","@LAC","HC",1.,0.,26.,1.,17.3
6,"Tomlin, Mike","PIT","BUF","HC",0.,1.,27.,-3.,12.6
7,"Pederson, Doug","PHI","@WAS","HC",0.,1.,25.,-2.,11.9
8,"Patricia, Matt","DET","TBB","HC",0.,1.,24.,-2.,11.4
9,"Carroll, Pete","SEA","@CAR","HC",0.,1.,23.,-3.,10.6
10,"Reid, Andy","KCC","DEN","HC",0.,1.,26.,-9.,10.3
11,"Gruden, Jon","OAK","JAC","HC",0.,1.,23.,-4.,10.3
12,"Marrone, Doug","JAC","@OAK","HC",0.,1.,20.,-1.,9.7
13,"Vrabel, Mike","TEN","HOU","HC",0.,1.,20.,-1.,9.7
14,"Quinn, Dan","ATL","@SFO","HC",0.,1.,22.,-5.,9.5
15,"Lynn, Anthony","LAC","MIN","HC",0.,1.,21.,-5.,9.
16,"Garrett, Jason","DAL","LAR","HC",0.,1.,21.,-6.,8.7
17,"Reich, Frank","IND","@NOS","HC",0.,1.,21.,-7.,8.4
18,"Gruden, Jay","WAS","PHI","HC",0.,1.,22.,-9.,8.3
19,"McDermott, Sean","BUF","@PIT","HC",0.,1.,19.,-5.,8.
20,"Koetter, Dirk","ATL","@SFO","HC",0.,1.,19.,-10.,6.5
21,"Gase, Adam","NYJ","@BAL","HC",0.,1.,21.,-14.,6.3
22,"Payton, Sean","NOS","IND","HC",0.,1.,18.,-11.,5.7
23,"Nagy, Matt","CHI","@GBP","HC",0.,1.,18.,-12.,5.4
24,"McVay, Sean","LAR","@DAL","HC",0.,1.,18.,-12.,5.4
25,"Harbaugh, John","BAL","NYJ","HC",0.,1.,19.,-15.,5.
26,"O'Brien, Bill","HOU","@TEN","HC",0.,1.,18.,-16.,4.2
"","","","","","","","","",""
