"Rank","Player","Team","Opp","Position","Att","Comp","Pass Yds","Pass TDs","0-9 PassTDs","10-19 PassTDs","20-29 PassTDs","30-39 PassTDs","40-49 PassTDs","50+ PassTDs","Int","Sacked","Rush","Rush Yds","Rush TDs","Fum Lost","Scoring Opps","Pts"
1,"Ryan, Matt","ATL","@SFO","QB",37.,24.9,295.,2.1,0.8,0.6,0.1,0.3,0.3,0.1,0.5,2.6,2.1,8.,0.2,0.3,4.7,23.7
2,"Mahomes, Patrick","KCC","DEN","QB",31.1,20.,262.,2.2,0.8,0.7,0.3,0.1,0.,0.3,0.6,2.2,4.1,18.,0.1,0.1,4.8,23.5
3,"Watson, Deshaun","HOU","@TEN","QB",30.4,20.,237.,1.6,0.7,0.5,0.2,0.1,0.1,0.1,0.7,3.7,6.3,38.,0.3,0.2,4.2,22.8
4,"Wilson, Russell","SEA","@CAR","QB",28.6,18.3,219.,2.,0.8,0.5,0.4,0.2,0.,0.1,0.5,2.9,5.3,31.,0.1,0.1,4.2,22.4
5,"Wentz, Carson","PHI","@WAS","QB",32.8,22.,247.,2.,0.9,0.6,0.2,0.2,0.,0.1,0.7,2.2,3.5,12.,0.,0.4,4.2,20.7
6,"Brady, Tom","NEP","@CIN","QB",36.9,24.6,282.,1.7,0.8,0.5,0.2,0.1,0.,0.1,0.6,1.3,1.6,1.,0.1,0.1,4.2,20.7
7,"Winston, Jameis","TBB","@DET","QB",33.5,21.4,266.,1.6,0.6,0.6,0.1,0.2,0.1,0.1,1.1,2.6,4.1,21.,0.1,0.4,3.7,20.4
8,"Rodgers, Aaron","GBP","CHI","QB",33.9,21.3,243.,1.5,0.6,0.4,0.2,0.1,0.1,0.1,0.4,3.3,3.3,20.,0.1,0.2,3.5,20.3
9,"Roethlisberger, Ben","PIT","BUF","QB",33.6,22.4,258.,1.8,0.8,0.4,0.2,0.1,0.1,0.2,1.,1.7,2.2,6.,0.1,0.1,4.1,20.1
10,"Jackson, Lamar","BAL","NYJ","QB",32.2,19.2,212.,1.1,0.6,0.2,0.,0.2,0.,0.1,0.4,2.,8.8,41.,0.3,0.3,3.8,20.
11,"Prescott, Dak","DAL","LAR","QB",29.9,19.9,220.,1.3,0.4,0.4,0.2,0.1,0.1,0.2,0.6,2.8,4.4,20.,0.5,0.3,3.6,20.
12,"Cousins, Kirk","MIN","@LAC","QB",34.8,23.5,244.,1.8,0.7,0.4,0.2,0.2,0.2,0.,0.7,2.5,2.9,8.,0.1,0.3,3.6,19.6
13,"Brees, Drew","NOS","IND","QB",30.8,20.8,249.,1.7,0.9,0.3,0.2,0.2,0.,0.1,0.6,1.4,2.3,1.,0.1,0.1,3.9,19.6
14,"Brissett, Jacoby","IND","@NOS","QB",34.5,21.6,242.,1.5,0.5,0.5,0.2,0.,0.1,0.2,0.6,2.3,4.,15.,0.2,0.2,3.4,19.5
15,"Goff, Jared","LAR","@DAL","QB",33.1,20.4,253.,1.6,0.8,0.4,0.1,0.1,0.1,0.1,0.7,2.,2.5,6.,0.1,0.3,4.1,19.1
16,"Mayfield, Baker","CLE","@ARZ","QB",31.8,19.7,235.,1.6,0.6,0.5,0.2,0.1,0.1,0.1,1.2,1.9,3.3,14.,0.1,0.2,3.3,18.5
17,"Allen, Josh","BUF","@PIT","QB",25.4,14.1,166.,0.8,0.3,0.2,0.2,0.1,0.1,0.1,0.9,2.4,8.1,49.,0.5,0.2,2.7,18.2
18,"Trubisky, Mitchell","CHI","@GBP","QB",32.8,21.1,225.,1.2,0.5,0.3,0.2,0.1,0.1,0.,0.7,2.,3.9,21.,0.2,0.2,3.6,18.2
19,"Stafford, Matthew","DET","TBB","QB",35.2,23.3,257.,1.5,0.6,0.3,0.3,0.1,0.1,0.1,0.6,2.6,1.6,5.,0.,0.3,3.6,18.
20,"Manning, Eli","NYG","MIA","QB",37.6,24.,260.,1.4,0.7,0.4,0.1,0.,0.,0.1,0.7,2.4,0.8,1.,0.1,0.3,3.6,17.9
21,"Rivers, Philip","LAC","MIN","QB",29.1,18.6,231.,1.5,0.7,0.2,0.2,0.,0.2,0.2,0.8,1.9,1.4,1.,0.,0.1,3.8,17.4
22,"Newton, Cam","CAR","SEA","QB",25.5,16.4,180.,1.2,0.5,0.3,0.2,0.1,0.,0.1,1.3,2.7,6.4,33.,0.2,0.,3.2,17.2
23,"Fitzpatrick, Ryan","MIA","@NYG","QB",29.8,18.9,216.,1.4,0.6,0.3,0.2,0.1,0.,0.2,1.,2.6,2.6,11.,0.1,0.1,3.1,16.8
24,"Flacco, Joe","DEN","@KCC","QB",37.7,23.2,237.,1.2,0.6,0.3,0.2,0.1,0.,0.,0.9,2.,2.1,7.,0.1,0.2,3.5,16.5
25,"Mariota, Marcus","TEN","HOU","QB",27.,17.7,197.,0.9,0.3,0.3,0.2,0.,0.1,0.2,0.7,2.5,3.8,21.,0.2,0.1,2.6,16.
26,"Keenum, Case","WAS","PHI","QB",34.4,21.4,223.,1.1,0.5,0.2,0.2,0.,0.1,0.1,0.9,2.1,2.6,11.,0.1,0.1,3.2,16.
27,"Carr, Derek","OAK","JAC","QB",32.7,21.6,231.,1.2,0.7,0.1,0.3,0.1,0.1,0.1,0.6,2.5,1.5,4.,0.,0.4,3.5,15.8
28,"Dalton, Andy","CIN","NEP","QB",29.5,17.7,194.,1.5,0.8,0.3,0.1,0.1,0.,0.1,0.7,2.3,2.4,10.,0.,0.1,3.1,15.8
29,"Darnold, Sam","NYJ","@BAL","QB",29.5,17.4,197.,1.1,0.3,0.2,0.2,0.2,0.,0.1,1.1,2.7,3.2,13.,0.1,0.2,2.9,14.5
30,"Garoppolo, Jimmy","SFO","ATL","QB",26.8,16.7,212.,1.,0.5,0.2,0.1,0.1,0.1,0.1,1.2,3.,2.1,4.,0.1,0.1,3.,14.5
31,"Foles, Nick","JAC","@OAK","QB",28.1,17.4,178.,1.,0.5,0.3,0.,0.1,0.,0.1,0.8,2.4,3.6,20.,0.1,0.2,2.8,14.3
32,"Murray, Kyler","ARZ","CLE","QB",31.,17.3,186.,1.,0.3,0.4,0.2,0.,0.,0.1,0.9,2.9,1.8,8.,0.,0.3,2.6,12.6
33,"Gabbert, Blaine","TBB","@DET","QB",7.1,4.1,50.,0.2,0.2,0.,0.,0.,0.,0.,0.4,0.6,0.8,1.,0.1,0.,0.7,3.5
34,"Mullens, Nick","SFO","ATL","QB",5.7,3.8,48.,0.3,0.1,0.1,0.,0.,0.1,0.,0.2,0.4,0.5,-0.3,0.,0.,0.8,3.4
35,"Bortles, Blake","LAR","@DAL","QB",6.5,4.,44.,0.2,0.,0.1,0.,0.,0.,0.,0.2,0.6,1.5,7.,0.,0.,0.6,3.4
36,"Hundley, Brett","ARZ","CLE","QB",7.4,4.8,50.,0.2,0.,0.1,0.,0.,0.,0.,0.3,1.,0.8,5.,0.,0.1,0.5,3.3
37,"Tannehill, Ryan","TEN","HOU","QB",6.1,4.,44.,0.3,0.1,0.1,0.1,0.,0.,0.1,0.2,0.9,1.,3.,0.,0.,0.5,3.3
38,"Sudfeld, Nate","PHI","@WAS","QB",3.9,2.7,28.,0.3,0.1,0.,0.2,0.,0.,0.,0.1,0.5,1.1,2.,0.,0.,0.4,2.5
39,"Rosen, Josh","MIA","@NYG","QB",7.2,3.9,39.,0.2,0.1,0.1,0.,0.,0.,0.,0.3,0.8,0.5,3.,0.,0.1,0.3,2.4
40,"Griffin III, Robert","BAL","NYJ","QB",1.3,0.7,8.,0.1,0.,0.,0.1,0.,0.,0.,0.,0.,1.4,6.,0.1,0.,0.4,2.
41,"Beathard, C.J.","SFO","ATL","QB",2.6,1.6,21.,0.1,0.,0.,0.,0.,0.,0.1,0.1,0.2,0.4,1.,0.,0.,0.3,1.7
42,"Taylor, Tyrod","LAC","MIN","QB",3.,1.6,17.,0.1,0.,0.,0.,0.,0.,0.,0.1,0.5,1.2,5.,0.,0.,0.2,1.6
43,"Finley, Ryan","CIN","NEP","QB",3.1,2.,23.,0.1,0.1,0.,0.,0.,0.,0.,0.2,0.5,0.3,2.,0.,0.,0.3,1.5
44,"Luck, Andrew","Ret","Bye","QB",2.2,1.5,16.,0.1,0.1,0.1,0.,0.,0.,0.,0.1,0.1,0.2,1.,0.,0.,0.3,1.4
45,"Moore, Matt","KCC","DEN","QB",2.1,1.3,19.,0.2,0.1,0.,0.1,0.,0.,0.,0.1,0.1,0.2,0.,0.,0.1,0.5,1.4
46,"Hill, Taysom","NOS","IND","QB",0.4,0.2,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.6,5.,0.1,0.,0.5,1.1
47,"Barkley, Matt","BUF","@PIT","QB",2.2,1.2,14.,0.1,0.,0.1,0.,0.,0.,0.,0.2,0.1,0.4,2.,0.,0.,0.3,1.1
48,"Stanton, Drew","CLE","@ARZ","QB",4.6,1.7,16.,0.,0.,0.,0.,0.,0.,0.,0.1,0.8,0.6,3.,0.,0.,0.3,1.1
49,"Driskel, Jeff","CIN","NEP","QB",1.5,1.,10.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,0.2,1.,0.,0.,0.1,0.9
50,"Bridgewater, Teddy","NOS","IND","QB",1.6,0.9,7.,0.1,0.1,0.,0.,0.,0.,0.,0.1,0.2,1.7,4.,0.,0.,0.4,0.9
51,"Smith, Alex","WAS","PHI","QB",1.6,1.,11.,0.1,0.,0.,0.,0.,0.,0.,0.,0.1,0.2,1.,0.,0.,0.2,0.9
52,"Allen, Kyle","CAR","SEA","QB",1.3,0.9,11.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,0.,0.,0.,0.1,0.7
53,"Siemian, Trevor","NYJ","@BAL","QB",2.9,1.4,14.,0.,0.,0.,0.,0.,0.,0.,0.2,0.4,0.3,2.,0.,0.1,0.1,0.7
54,"Glennon, Mike","OAK","JAC","QB",1.1,0.7,7.,0.1,0.1,0.,0.,0.,0.,0.,0.,0.1,0.3,-0.2,0.,0.,0.1,0.5
55,"Haskins, Dwayne","WAS","PHI","QB",2.5,1.2,9.,0.,0.,0.,0.,0.,0.,0.,0.3,0.8,0.1,0.,0.,0.,0.,0.2
56,"Lock, Drew","DEN","@KCC","QB",1.,0.6,8.,0.,0.,0.,0.,0.,0.,0.,0.1,0.2,0.1,-0.1,0.,0.,0.2,0.2
57,"McCarron, AJ","HOU","@TEN","QB",0.6,0.3,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.2,-0.2,0.,0.,0.,0.1
58,"Anderson, Derek","Ret","Bye","QB",0.2,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,1.,0.,0.,0.,0.1
59,"McCown, Josh","PHI","@WAS","QB",0.2,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.1
60,"Minshew, Gardner","JAC","@OAK","QB",0.6,0.3,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.5,-0.4,0.,0.,0.,0.
61,"Jones, Daniel","NYG","MIA","QB",0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,-0.1,0.,0.,0.,0.
62,"Rudolph, Mason","PIT","BUF","QB",0.8,0.3,1.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.7,0.,0.,0.,0.,0.
63,"Peterman, Nathan","OAK","JAC","QB",0.7,0.2,2.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.1,0.,0.,0.,0.1,0.
64,"Dobbs, Joshua","PIT","BUF","QB",0.2,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.
65,"Mannion, Sean","MIN","@LAC","QB",0.4,0.3,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.1,-1.4,0.,0.,0.,0.
66,"Gilbert, Garrett","CLE","@ARZ","QB",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
67,"Manuel, E.J.","Ret","Bye","QB",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
68,"McCoy, Colt","WAS","PHI","QB",0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
69,"Schaub, Matt","ATL","@SFO","QB",0.2,0.2,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
70,"Blough, David","DET","TBB","QB",1.,0.4,3.,0.,0.,0.,0.,0.,0.,0.,0.2,0.,0.1,-0.1,0.,0.,0.,-0.1
71,"Stidham, Jarrett","NEP","@CIN","QB",0.3,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.1,-1.,0.,0.,0.,-0.1
72,"Boyle, Tim","GBP","CHI","QB",1.1,0.7,8.,0.,0.,0.,0.,0.,0.,0.,0.2,0.3,0.1,-0.1,0.,0.2,0.1,-0.1
73,"Kelly, Chad","IND","@NOS","QB",0.3,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6,-0.7,0.,0.,0.,-0.1
74,"Daniel, Chase","CHI","@GBP","QB",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.1,-1.,0.,0.,0.,-0.1
"","","","","","","","","","","","","","","","","","","","","","",""
