"Rank","Player","Team","Opp","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"McVay, Sean","LAR","NOS","HC",1.,0.,35.,22.,28.1
2,"Carroll, Pete","SEA","@PIT","HC",1.,0.,35.,21.,27.8
3,"Reid, Andy","KCC","@OAK","HC",1.,0.,35.,20.,27.5
4,"Shanahan, Kyle","SFO","@CIN","HC",1.,0.,32.,16.,24.8
5,"McDermott, Sean","BUF","@NYG","HC",1.,0.,31.,16.,24.3
6,"Harbaugh, John","BAL","ARZ","HC",1.,0.,31.,14.,23.7
7,"Belichick, Bill","NEP","@MIA","HC",1.,0.,28.,12.,21.6
8,"Payton, Sean","NOS","@LAR","HC",1.,0.,29.,8.,20.9
9,"Garrett, Jason","DAL","@WAS","HC",1.,0.,28.,8.,20.4
10,"Lynn, Anthony","LAC","@DET","HC",1.,0.,26.,9.,19.7
11,"Tomlin, Mike","PIT","SEA","HC",1.,0.,28.,4.,19.2
12,"O'Brien, Bill","HOU","JAC","HC",1.,0.,23.,8.,17.9
13,"Rivera, Ron","CAR","TBB","HC",1.,0.,25.,3.,17.4
14,"Koetter, Dirk","ATL","PHI","HC",1.,0.,25.,2.,17.1
15,"Pederson, Doug","PHI","@ATL","HC",1.,0.,24.,2.,16.6
16,"Zimmer, Mike","MIN","@GBP","HC",1.,0.,22.,5.,16.5
17,"Quinn, Dan","ATL","PHI","HC",1.,0.,24.,1.,16.3
18,"Gruden, Jon","OAK","KCC","HC",1.,0.,21.,3.,15.4
19,"Patricia, Matt","DET","LAC","HC",1.,0.,20.,3.,14.9
20,"Reich, Frank","IND","@TEN","HC",1.,0.,20.,1.,14.3
21,"Nagy, Matt","CHI","@DEN","HC",1.,0.,19.,1.,13.8
22,"Shurmur, Pat","NYG","BUF","HC",0.,1.,22.,-4.,9.8
23,"Gase, Adam","NYJ","CLE","HC",0.,1.,19.,-5.,8.
24,"Gruden, Jay","WAS","DAL","HC",0.,1.,19.,-6.,7.7
25,"Marrone, Doug","JAC","@HOU","HC",0.,1.,17.,-4.,7.3
26,"Vrabel, Mike","TEN","IND","HC",0.,1.,17.,-5.,7.
"","","","","","","","","",""
