"Rank","Player","Team","Opp","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
1,"Watt, J.J.","HOU","JAC","DL",3.1,0.8,1.,0.4,0.,0.4,0.,0.,6.4
2,"Peters, Corey","ARZ","@BAL","DL",3.8,1.2,0.7,0.2,0.,0.1,0.,0.,6.2
3,"Campbell, Calais","JAC","@HOU","DL",3.5,1.3,0.7,0.1,0.,0.1,0.1,0.,5.9
4,"Houston, Justin","IND","@TEN","DL",2.5,0.9,0.8,0.1,0.,0.3,0.2,0.,5.2
5,"Clark, Frank","KCC","@OAK","DL",2.3,0.6,0.9,0.2,0.1,0.3,0.2,0.,5.
6,"Clowney, Jadeveon","SEA","@PIT","DL",2.7,0.7,0.8,0.,0.,0.2,0.1,0.,5.
7,"Donald, Aaron","LAR","NOS","DL",2.3,1.,0.9,0.1,0.,0.2,0.1,0.,4.9
8,"Jordan, Cameron","NOS","@LAR","DL",2.4,0.8,0.7,0.5,0.,0.,0.,0.,4.9
9,"Oliver, Ed","BUF","@NYG","DL",2.4,1.,0.6,0.4,0.,0.2,0.,0.,4.8
10,"Buckner, DeForest","SFO","@CIN","DL",2.8,1.2,0.5,0.3,0.,0.,0.,0.,4.8
11,"Suh, Ndamukong","TBB","@CAR","DL",2.9,1.1,0.6,0.2,0.,0.,0.,0.,4.8
12,"Bosa, Joey","LAC","@DET","DL",2.6,0.8,0.7,0.1,0.,0.1,0.1,0.,4.7
13,"Barnett, Derek","PHI","@ATL","DL",2.2,0.7,0.9,0.,0.,0.3,0.,0.,4.6
14,"Clark, Kenny","GBP","MIN","DL",2.5,1.8,0.4,0.3,0.,0.,0.,0.,4.6
15,"Ford, Dee","SFO","@CIN","DL",2.6,0.9,0.6,0.1,0.,0.2,0.1,0.,4.6
16,"Heyward, Cameron","PIT","SEA","DL",2.1,1.4,0.7,0.2,0.,0.1,0.1,0.,4.5
17,"Bennett, Michael","NEP","@MIA","DL",2.3,1.3,0.7,0.1,0.,0.2,0.,0.,4.5
18,"Garrett, Myles","CLE","@NYJ","DL",2.1,0.8,0.8,0.1,0.,0.1,0.1,0.,4.4
19,"Flowers, Trey","DET","LAC","DL",2.4,1.5,0.5,0.1,0.,0.1,0.,0.,4.4
20,"Hunter, Danielle","MIN","@GBP","DL",2.5,1.1,0.7,0.,0.,0.,0.,0.,4.4
21,"Jones, Chris","KCC","@OAK","DL",1.9,1.1,0.7,0.3,0.,0.1,0.,0.,4.2
22,"Ferrell, Clelin","OAK","KCC","DL",2.4,1.4,0.4,0.2,0.,0.1,0.,0.,4.1
23,"Vernon, Olivier","CLE","@NYJ","DL",2.1,1.3,0.6,0.1,0.,0.,0.,0.,4.1
24,"Dunlap, Carlos","CIN","SFO","DL",2.,1.,0.4,0.5,0.,0.1,0.1,0.,4.
25,"Winovich, Chase","NEP","@MIA","DL",2.1,1.5,0.5,0.1,0.,0.1,0.,0.,3.9
26,"Hicks, Akiem","CHI","@DEN","DL",2.3,0.8,0.4,0.2,0.,0.1,0.1,0.,3.9
27,"Graham, Brandon","PHI","@ATL","DL",2.2,0.7,0.5,0.2,0.,0.2,0.1,0.,3.9
28,"Hill, B.J.","NYG","BUF","DL",2.2,1.1,0.4,0.2,0.,0.,0.,0.,3.8
29,"Ingram, Melvin","LAC","@DET","DL",2.1,0.8,0.5,0.2,0.,0.1,0.1,0.,3.8
30,"Allen, Zach","ARZ","@BAL","DL",2.3,0.9,0.4,0.1,0.,0.1,0.,0.,3.7
31,"Allen, Jonathan","WAS","DAL","DL",2.,1.5,0.4,0.,0.,0.,0.,0.,3.7
32,"Ngakoue, Yannick","JAC","@HOU","DL",1.8,0.3,0.7,0.2,0.,0.1,0.,0.,3.7
33,"Gunter, Rodney","ARZ","@BAL","DL",2.4,0.9,0.3,0.1,0.,0.1,0.,0.,3.7
