PlayerID,Name,Team,Pos,Sack,Int,FR,FF,TD
1,Jaguars,Jac,DEF,44.2,16.6,9,13.8,3.
2,Eagles,Phi,DEF,38.4,15,9,13.9,2.9000000000000004
3,Vikings,Min,DEF,45.9,13.2,7.2,11.1,2.3
4,Ravens,Bal,DEF,36.8,14.6,8.9,13.7,2.8
5,Patriots,NE,DEF,42.9,14.9,5.9,9.1,2.3
6,Titans,Ten,DEF,41.1,14.6,7.3,11.2,2.5
7,Rams,LA,DEF,39.2,13.7,8.8,13.5,2.5
8,Texans,Hou,DEF,44.4,11.5,8.2,12.6,2.5
9,Broncos,Den,DEF,39.7,12.5,8,12.4,2.5
10,Cardinals,Ari,DEF,38.7,9.5,11.6,17.8,2.6
11,Chargers,SD,DEF,39.2,12.5,7.7,11.9,2.5
12,Panthers,Car,DEF,42.5,13,10,15.4,2.8
13,Bears,Chi,DEF,42,9.3,7.1,11,2
14,Lions,Det,DEF,40.3,14.4,7.8,12,2.6
15,Steelers,Pit,DEF,38.3,9.9,7,10.7,1.9
16,Redskins,Wsh,DEF,39.3,13.4,8.1,12.4,2.5
17,Cowboys,Dal,DEF,37.3,11.8,9.8,15,2.5999999999999996
18,Packers,GB,DEF,46.6,11.9,6.5,9.9,2.1
19,Bills,Buf,DEF,30,16.5,7.3,11.3,2.7
20,Dolphins,Mia,DEF,36,12.7,8.2,12.7,2.5
21,Saints,NO,DEF,34.3,14.8,7.7,11.8,2.5
22,Buccaneers,TB,DEF,27.9,14.3,9.5,14.6,2.7
23,Falcons,Atl,DEF,33.9,11.3,9.6,14.7,2.5
24,Chiefs,KC,DEF,34.4,11.7,8,12.3,2.2
25,Bengals,Cin,DEF,37,13.2,6,9.2,2.2
26,Browns,Cle,DEF,32.2,12.5,8.2,12.7,2.4000000000000004
27,Giants,NYG,DEF,26.6,13.6,8.2,12.6,2.5
28,Seahawks,Sea,DEF,34,11,7,10.8,2.1
29,Colts,Ind,DEF,30,12,7,10.8,2.2
30,Raiders,Oak,DEF,25.1,12,8.5,13,2.5
31,Jets,NYJ,DEF,27,10.3,8,12.3,2.1
32,49ers,SF,DEF,26.4,11.8,7.3,11.2,2.2
