Player,Team,Rec,Rec Yard,Rec TD
Rob Gronkowski,NE,74,1078,9
Travis Kelce,KC,84,1075,6
Greg Olsen,CAR,81,1045,5
Jimmy Graham,SEA,67,875,7
Jordan Reed,WAS,79,835,7
Tyler Eifert,CIN,56,705,7
Martellus Bennett,GB,58,685,7
Hunter Henry,LAC,54,685,7
Zach Ertz,PHI,73,785,5
Kyle Rudolph,MIN,75,766,5
Delanie Walker,TEN,63,755,5
Coby Fleener,NO,51,625,5
Jason Witten,DAL,71,685,4
Eric Ebron,DET,59,684,4
Jack Doyle,IND,58,613,5
Austin Hooper,ATL,47,546,5
Charles Clay,BUF,52,545,5
Julius Thomas,MIA,46,525,5
David Njoku,CLE,55,570,4
Antonio Gates,LAC,48,485,5
Cameron Brate,TB,47,545,4
Erik Swoope,IND,39,456,5
C.J. Fiedorowicz,HOU,48,512,4
Jared Cook,OAK,44,505,4
Jermaine Gresham,ARI,42,466,4
Evan Engram,NYG,46,503,3
Dwayne Allen,NE,30,352,5
Zach Miller,CHI,42,440,3
O.J. Howard,TB,29,346,3
Vernon Davis,WAS,28,333,3
Austin Seferian-Jenkins,NYJ,33,385,2
Trey Burton,PHI,30,314,3
Tyler Higbee,LAR,35,365,2
Virgil Green,DEN,31,345,2
Gerald Everett,LAR,28,333,2
Mychal Rivera,JAC,30,316,2
Ben Watson,BAL,30,315,2
Jesse James,PIT,31,299,2
Garrett Celek,SF,28,288,2
Vance McDonald,PIT,25,256,2
George Kittle,SF,21,236,2
Jonnu Smith,TEN,20,233,2
Jordan Leggett,NYJ,21,215,2
Xavier Grimble,PIT,19,200,2
Seth Devalve,CLE,20,200,2
Ryan Griffin,HOU,25,256,1
Marcedes Lewis,JAC,25,246,1
Stephen Anderson,HOU,22,223,1
Maxx Williams,BAL,21,219,1
Josh Hill,NO,21,216,1
Richard Rodgers,GB,19,192,1
Levine Toilolo,ATL,18,188,1
Michael Roberts,DET,17,185,1
Clive Walford,OAK,17,185,1
Nick Vannett,SEA,16,182,1
Dion Sims,CHI,18,175,1
Nick O'Leary,BUF,14,165,1
Troy Niklas,ARI,15,152,1
Rhett Ellison,NYG,12,142,1
Ross Travis,KC,12,140,1
MarQueis Gray,MIA,13,136,1
Adam Shaheen,CHI,12,134,1
Will Tye,NYG,12,121,1
Jeff Heuerman,DEN,12,119,1
Ed Dickson,CAR,9,115,1
A.J. Derby,DEN,14,155,0
Lance Kendricks,GB,7,77,1
Tyler Kroft,CIN,12,135,0
Luke Willson,SEA,11,114,0
Brent Celek,PHI,10,111,0
Larry Donnell,BAL,9,89,0
James O'Shaughnessy,NE,8,82,0
Jace Amaro,TEN,8,82,0
C.J. Uzomah,CIN,7,77,0
Bucky Hodges,MIN,6,72,0
James Hanna,DAL,6,64,0
Eric Saubert,ATL,3,36,0
