Player,Team,Tackle,Assist,Sack,PD,INT,FF,FR
Pernell McPhee,CHI,25,10,5.5,3,0,1,0
Nick Kwiatkoski,CHI,38,14,1.5,3,0,1,0
B.J. Goodson,NYG,40,20,1.,3,0,0,0
Joe Thomas,GB,40,12,0.,5,1,0,0
Mychal Kendricks,PHI,34,11,2.5,2,0,1,0
Charles Harris,MIA,23,8,5.5,3,0,0,1
Kyle Van Noy,NE,33,21,1.,1,0,1,0
Jarvis Jones,ARI,23,13,2.,2,1,1,1
Koa Misi,MIA,38,12,1.,1,0,0,0
Ramik Wilson,KC,40,11,0.,2,0,0,0
Paul Worrilow,DET,35,15,0.5,2,0,0,0
Corey Nelson,DEN,33,18,0.,4,0,0,0
Za'Darius Smith,BAL,23,10,3.,1,0,1,0
Zach Cunningham,HOU,29,11,1.5,2,0,0,0
Denzel Perryman,LAC,33,8,1.,1,0,0,0
Ben Heeney,OAK,30,9,1.5,1,0,0,0
Nick Vigil,CIN,28,9,0.,3,0,1,1
Stephone Anthony,NO,28,14,0.,2,0,1,0
Jeremiah Attaochu,LAC,22,8,2.5,1,0,1,0
Shilique Calhoun,OAK,20,15,1.5,3,0,1,0
Michael Wilhoite,SEA,33,9,0.,1,0,0,0
Tyler Matakevich,PIT,28,9,1.,1,0,0,0
Anthony Hitchens,DAL,20,16,1.,1,0,1,0
Damien Wilson,DAL,29,8,0.5,1,0,0,0
Barkevious Mingo,IND,18,7,1.,2,0,1,1
Emmanuel Lamur,MIN,20,9,0.5,2,0,0,0
