Player,Team,Rush Att,Rush Yard,Rush TD,Rec,Rec Yard,Rec TD
David Johnson,ARI,265,1165,13,69,725,4
Le'Veon Bell,PIT,284,1365,10,60,496,2
LeSean McCoy,BUF,227,1065,10,40,326,2
Devonta Freeman,ATL,232,1045,8,55,449,2
Jordan Howard,CHI,266,1225,7,41,306,2
Melvin Gordon,LAC,264,1055,8,49,378,2
Jay Ajayi,MIA,260,1195,8,36,246,1
DeMarco Murray,TEN,241,1062,7,44,315,2
Lamar Miller,HOU,260,1120,7,32,235,1
Todd Gurley,LAR,267,1066,7,35,286,1
Leonard Fournette,JAC,252,1085,7,27,183,1
Dalvin Cook,MIN,206,885,7,38,305,2
Ty Montgomery,GB,182,835,5,45,385,2
Ezekiel Elliott,DAL,194,932,7,24,224,1
Mark Ingram,NO,184,865,5,44,333,2
Carlos Hyde,SF,224,986,6,26,204,1
Kareem Hunt,KC,194,855,6,37,317,1
Bilal Powell,NYJ,173,815,4,54,416,2
Marshawn Lynch,OAK,193,831,8,28,215,1
Joe Mixon,CIN,194,835,6,28,217,1
Isaiah Crowell,CLE,194,855,6,28,245,0
Paul Perkins,NYG,203,872,5,29,225,1
Frank Gore,IND,201,805,5,29,221,2
C.J. Anderson,DEN,190,835,5,22,166,1
Christian McCaffrey,CAR,127,546,4,47,405,2
Jonathan Stewart,CAR,194,775,6,10,72,1
Tevin Coleman,ATL,106,477,5,41,366,2
Eddie Lacy,SEA,155,682,5,21,164,1
Doug Martin,TB,164,720,4,22,176,1
Ameer Abdullah,DET,145,625,3,32,266,2
Derrick Henry,TEN,153,675,5,18,145,1
Theo Riddick,DET,87,349,1,75,582,3
Rob Kelley,WAS,183,786,5,10,72,0
Mike Gillislee,NE,141,665,6,13,103,0
Terrance West,BAL,154,616,4,30,207,1
Rex Burkhead,NE,132,582,5,19,142,1
LeGarrette Blount,PHI,163,685,6,4,34,0
Adrian Peterson,NO,151,636,5,18,116,0
Matt Forte,NYJ,139,556,3,25,195,2
Duke Johnson,CLE,77,345,1,61,522,2
Darren Sproles,PHI,89,392,2,48,385,2
Danny Woodhead,BAL,77,316,2,52,385,2
James White,NE,58,244,1,62,452,3
Darren McFadden,DAL,103,476,5,16,136,0
Shane Vereen,NYG,75,345,2,39,326,2
Chris Thompson,WAS,57,287,2,50,365,2
Giovani Bernard,CIN,85,356,1,35,316,2
DeAndre Washington,OAK,95,485,3,22,166,0
Thomas Rawls,SEA,119,486,4,13,102,0
Jeremy Hill,CIN,119,452,4,9,60,0
Dion Lewis,NE,58,266,1,39,305,2
Jonathan Williams,BUF,99,416,4,13,83,0
Charles Sims,TB,69,284,1,29,244,2
Samaje Perine,WAS,104,456,3,9,66,0
Jamaal Williams,GB,94,415,4,6,46,0
Jacquizz Rodgers,TB,103,455,2,17,121,0
Jalen Richard,OAK,67,316,1,33,245,1
D'Onta Foreman,HOU,91,355,4,13,72,0
Jamaal Charles,DEN,83,365,2,24,177,0
Marlon Mack,IND,85,355,2,17,116,1
Robert Turbin,IND,86,336,2,19,126,1
C.J. Prosise,SEA,39,184,1,37,326,1
Joe Williams,SF,79,325,2,17,114,1
Zach Zenner,DET,72,265,3,19,166,0
Latavius Murray,MIN,84,337,3,11,85,0
Jeremy Langford,CHI,73,301,2,13,105,1
Wendell Smallwood,PHI,87,375,2,12,89,0
T.J. Yeldon,JAC,57,216,1,34,245,1
Charcandrick West,KC,93,345,2,17,116,0
Jerick McKinnon,MIN,67,266,1,25,192,1
Tim Hightower,SF,72,286,2,12,96,0
Alvin Kamara,NO,57,246,1,23,186,0
Devontae Booker,DEN,63,245,1,16,122,1
Andre Ellington,ARI,36,145,1,29,215,1
Chris Ivory,JAC,62,240,2,17,106,0
Damien Williams,MIA,59,217,2,14,116,0
Chris Johnson,ARI,73,301,2,2,22,0
Elijah McGuire,NYJ,47,189,1,19,145,0
Lance Dunbar,LAR,31,137,1,14,116,1
Kerwynn Williams,ARI,30,129,2,14,115,0
Branden Oliver,LAC,59,235,1,9,64,0
Fitzgerald Toussaint,PIT,52,215,1,11,82,0
Alfred Blue,HOU,51,205,1,10,65,0
Javorius Allen,BAL,70,272,0,8,58,0
Kyle Juszczyk,SF,4,17,0,32,240,1
C.J. Spiller,KC,40,167,1,11,82,0
Alfred Morris,DAL,57,226,1,3,17,0
Donnel Pumphrey,PHI,54,216,0,11,85,0
Malcolm Brown,LAR,43,167,1,9,67,0
James Conner,PIT,44,186,1,5,36,0
Christopher Carson,SEA,41,176,1,7,46,0
Orleans Darkwa,NYG,47,186,1,5,35,0
Ka'Deem Carey,CHI,43,165,1,4,32,0
Brian Hill,ATL,40,166,1,3,22,0
Travaris Cadet,NO,6,25,0,29,215,0
Matt Breida,SF,35,145,1,4,27,0
Dwayne Washington,DET,31,115,1,6,37,0
John Kuhn,NO,8,26,2,12,63,0
Wayne Gallman,NYG,29,114,1,4,26,0
Kenjon Barner,LAC,29,114,1,2,11,0
Benny Cunningham,CHI,14,68,0,15,113,0
Kenyan Drake,MIA,24,113,0,10,65,0
Tarik Cohen,CHI,20,86,0,10,85,0
Terron Ward,ATL,30,135,0,3,26,0
Fozzy Whittaker,CAR,19,82,0,10,76,0
Mike Tolbert,BUF,13,45,1,6,44,0
Aaron Ripkowski,GB,29,120,0,4,29,0
Jamize Olawale,OAK,15,52,0,8,62,0
Khalfani Muhammad,TEN,4,17,0,11,88,0
Aaron Jones,GB,22,88,0,2,13,0
Jalston Fowler,TEN,22,82,0,2,13,0
Cameron Artis-Payne,CAR,19,75,0,2,16,0
Juwan Thompson,DEN,19,85,0,0,3,0
De'Angelo Henderson,DEN,16,66,0,1,11,0
Patrick DiMarco,BUF,1,6,0,9,65,0
Knile Davis,PIT,17,65,0,0,0,0
Andy Janovich,DEN,5,22,0,5,36,0
Darrel Young,CAR,3,14,0,4,35,0
Matt Jones,WAS,10,45,0,1,4,0
Tyler Ervin,HOU,4,17,0,3,20,0
Jeremy McNichols,TB,7,29,0,0,3,0
Alex Collins,SEA,6,26,0,0,2,0
T.J. Logan,ARI,4,15,0,0,3,0
