Player,Team,Tackle,Assist,Sack,PD,INT,FF,FR
Kevin King,GB,36,5,1.,11,1,1,0
Darius Butler,IND,39,9,0.,5,1,2,1
Patrick Robinson,PHI,44,7,0.,6,1,1,0
Derrick Kindred,CLE,42,17,0.,8,0,1,0
Gareon Conley,OAK,36,15,1.,9,1,0,0
Josh Jones,GB,34,16,1.5,5,1,1,0
Lardarius Webb,BAL,45,10,0.,6,1,0,0
Marcus Gilchrist,HOU,44,14,0.,5,1,0,0
Tashaun Gipson,JAC,39,9,0.,2,3,0,0
Nickell Robey,LAR,36,8,1.,8,1,1,0
Bobby McCain,MIA,35,10,1.5,7,1,0,1
George Iloka,CIN,38,20,0.,6,1,0,0
Sean Smith,OAK,36,4,0.,11,2,0,0
Eli Apple,NYG,40,12,0.,8,1,0,0
Budda Baker,ARI,40,10,1.,6,0,1,0
Jordan Poyer,BUF,38,15,0.,5,1,0,1
Andre Hal,HOU,31,14,0.,8,2,0,0
Juston Burris,NYJ,33,6,0.,10,2,0,0
Tramon Williams,ARI,40,8,0.,7,1,0,0
Justin Bethel,ARI,40,3,0.,6,1,1,0
Trae Waynes,MIN,38,6,0.,9,1,0,0
Quinten Rollins,GB,38,5,0.,7,1,0,1
Will Blackmon,WAS,30,11,1.,3,1,1,1
Kyle Fuller,CHI,32,5,1.,6,1,0,1
Shawn Williams,CIN,33,12,1.,3,1,0,0
Jeff Heath,DAL,38,11,0.,2,1,0,0
Eric Rowe,NE,28,11,0.,12,1,0,0
Jimmy Smith,BAL,33,5,0.,8,1,0,0
DeShawn Shead,SEA,33,8,0.,6,1,0,0
Calvin Pryor,NYJ,30,12,0.,4,1,1,0
LeShaun Sims,TEN,30,8,0.,7,1,0,1
Xavier Woods,DAL,29,11,1.,4,1,0,0
Rashard Robinson,SF,30,5,0.,10,1,0,0
Miles Killebrew,DET,33,9,0.,5,1,0,0
William Jackson III,CIN,33,6,0.,6,1,0,0
