Player,Team,Rec,Rec Yard,Rec TD,Rush Att,Rush Yard,Rush TD
Antonio Brown,PIT,108,1388,11,1,11,0
Odell Beckham Jr.,NYG,97,1382,11,0,0,0
Julio Jones,ATL,100,1487,9,0,0,0
Mike Evans,TB,92,1302,10,0,0,0
Jordy Nelson,GB,86,1225,11,0,0,0
Michael Thomas,NO,97,1265,8,0,0,0
A.J. Green,CIN,80,1188,8,0,0,0
T.Y. Hilton,IND,80,1225,6,0,0,0
Doug Baldwin,SEA,87,1102,8,0,0,0
Brandin Cooks,NE,74,1018,7,7,52,1
Dez Bryant,DAL,73,1067,8,0,0,0
Amari Cooper,OAK,78,1122,7,0,0,0
Demaryius Thomas,DEN,87,1115,7,0,0,0
Allen Robinson,JAC,79,1086,7,0,0,0
Tyreek Hill,KC,69,775,6,26,220,2
Michael Crabtree,OAK,83,985,8,0,0,0
DeAndre Hopkins,HOU,80,1075,6,0,0,0
Larry Fitzgerald,ARI,91,992,7,0,0,0
Kelvin Benjamin,CAR,74,985,7,0,0,0
Pierre Garcon,SF,86,1080,5,0,0,0
Golden Tate,DET,92,1045,5,3,22,0
Stefon Diggs,MIN,87,1045,5,0,0,0
Keenan Allen,LAC,83,976,6,0,0,0
Emmanuel Sanders,DEN,73,966,6,0,0,0
Willie Snead,NO,69,936,6,0,0,0
Jamison Crowder,WAS,81,993,5,0,0,0
Sammy Watkins,LAR,60,932,6,0,0,0
Alshon Jeffery,PHI,71,979,5,0,0,0
Jarvis Landry,MIA,79,921,5,6,36,0
Tyrell Williams,LAC,61,886,6,0,0,0
Davante Adams,GB,65,884,6,0,0,0
DeVante Parker,MIA,60,864,6,0,0,0
Kenny Britt,CLE,62,856,6,0,0,0
Mike Wallace,BAL,63,875,5,5,36,0
Martavis Bryant,PIT,54,844,6,0,0,0
Adam Thielen,MIN,64,837,6,0,0,0
Rishard Matthews,TEN,61,836,6,0,0,0
Terrelle Pryor,WAS,66,875,5,0,0,0
Randall Cobb,GB,75,785,6,3,25,0
DeSean Jackson,TB,54,825,5,0,0,0
Brandon Marshall,NYG,59,755,6,0,0,0
Jeremy Maclin,BAL,62,784,5,0,0,0
Kenny Stills,MIA,51,780,5,0,0,0
Jordan Matthews,BUF,63,777,5,0,0,0
Chris Hogan,NE,56,775,5,0,0,0
Robby Anderson,NYJ,56,746,5,0,0,0
Marvin Jones,DET,53,735,5,0,0,0
Kevin White,CHI,55,735,5,0,0,0
Cole Beasley,DAL,71,776,4,0,0,0
Eric Decker,TEN,55,714,5,0,0,0
Donte Moncrief,IND,60,705,5,0,0,0
John Brown,ARI,50,682,5,0,0,0
Ted Ginn Jr.,NO,44,675,5,0,0,0
Tyler Lockett,SEA,46,633,4,6,43,0
