"Rank","Player","Team","Opp","Position","XP","XPA","FG","Att","10-19","20-29","30-39","40-49","50+","Miss","Pts"
1,"Gould, Robbie","SFO","@ARZ","K",1.7,1.8,2.2,2.3,0.,0.5,0.8,0.7,0.2,0.1,9.1
2,"Butker, Harrison","KCC","MIN","K",3.3,3.4,1.8,2.,0.,0.5,0.7,0.4,0.2,0.2,8.7
3,"Myers, Jason","SEA","TBB","K",2.4,2.6,1.7,1.9,0.,0.2,0.6,0.5,0.3,0.2,8.
4,"Tucker, Justin","BAL","NEP","K",2.1,2.1,1.9,2.2,0.,0.5,0.6,0.5,0.3,0.3,7.8
5,"Gostkowski, Stephen","NEP","@BAL","K",2.9,3.,1.7,2.,0.,0.6,0.6,0.4,0.1,0.3,7.6
6,"Fairbairn, Ka'imi","HOU","@JAC","K",2.1,2.3,1.7,1.9,0.,0.4,0.5,0.5,0.2,0.3,7.2
7,"Elliott, Jake","PHI","CHI","K",2.1,2.3,1.5,1.7,0.,0.4,0.4,0.6,0.2,0.2,6.9
8,"Rosas, Aldrick","NYG","DAL","K",1.8,1.9,1.6,1.8,0.,0.6,0.5,0.3,0.2,0.2,6.9
9,"Prater, Matt","DET","@OAK","K",1.9,2.,1.6,1.9,0.1,0.4,0.6,0.4,0.2,0.3,6.9
10,"Slye, Joey","CAR","TEN","K",2.1,2.3,1.3,1.4,0.,0.4,0.5,0.3,0.2,0.1,6.5
11,"Sanders, Jason","MIA","NYJ","K",2.4,2.5,1.3,1.4,0.,0.5,0.3,0.5,0.1,0.1,6.5
12,"Badgley, Mike","LAC","GBP","K",2.1,2.2,1.4,1.7,0.,0.4,0.4,0.4,0.1,0.3,6.2
13,"Hauschka, Steven","BUF","WAS","K",1.7,1.7,1.5,1.9,0.,0.3,0.6,0.4,0.3,0.4,6.2
14,"Vinatieri, Adam","IND","@PIT","K",2.2,2.3,1.3,1.6,0.,0.5,0.3,0.3,0.2,0.3,6.2
15,"Succop, Ryan","TEN","@CAR","K",1.7,1.9,1.5,1.8,0.,0.3,0.6,0.5,0.1,0.3,6.1
16,"Lambo, Josh","JAC","HOU","K",1.6,1.7,1.4,1.6,0.,0.2,0.6,0.3,0.2,0.2,5.9
17,"McManus, Brandon","DEN","CLE","K",2.1,2.1,1.4,1.7,0.,0.4,0.5,0.4,0.1,0.3,5.9
18,"Boswell, Chris","PIT","IND","K",2.3,2.5,1.3,1.7,0.,0.3,0.5,0.4,0.1,0.4,5.9
19,"Gay, Matt","TBB","@SEA","K",2.2,2.4,1.4,1.8,0.,0.4,0.7,0.3,0.1,0.4,5.6
20,"Crosby, Mason","GBP","@LAC","K",1.9,2.,1.3,1.5,0.,0.3,0.4,0.4,0.2,0.3,5.6
21,"Carlson, Daniel","OAK","DET","K",1.6,1.6,1.2,1.4,0.,0.2,0.2,0.6,0.2,0.2,5.5
22,"Catanzaro, Chandler","Ret","Bye","K",1.6,1.9,1.3,1.5,0.,0.3,0.5,0.2,0.3,0.2,5.5
23,"Hopkins, Dustin","WAS","@BUF","K",1.4,1.5,1.3,1.6,0.,0.4,0.3,0.5,0.1,0.3,5.4
24,"Janikowski, Sebastian","Ret","Bye","K",2.3,2.4,1.1,1.4,0.,0.2,0.3,0.4,0.2,0.3,5.4
25,"Maher, Brett","DAL","@NYG","K",1.8,1.9,1.2,1.8,0.,0.5,0.3,0.3,0.2,0.6,4.5
26,"Bailey, Dan","MIN","@KCC","K",1.9,2.,1.2,1.8,0.,0.3,0.6,0.2,0.1,0.6,4.2
27,"Gonzalez, Zane","ARZ","SFO","K",1.2,1.4,1.1,1.5,0.,0.2,0.4,0.3,0.2,0.4,4.1
28,"Seibert, Austin","CLE","@DEN","K",1.7,1.9,0.9,1.2,0.,0.2,0.4,0.3,0.1,0.3,4.
29,"Pineiro, Eddy","CHI","@PHI","K",1.5,1.6,0.9,1.2,0.,0.3,0.3,0.4,0.,0.3,3.9
"","","","","","","","","","","","","","","",""
