"Rank","Player","Team","Opp","Position","PUNTS","PUNT_YDS","PUNT_RETURN_YD","PUNT_INSIDE20","Pts"
1,"Lee, Andy","ARZ","SFO","P",5.8,280.,23.,2.3,19.7
2,"Cooke, Logan","JAC","HOU","P",5.5,251.,14.,2.2,17.9
3,"Way, Tress","WAS","@BUF","P",5.1,234.,24.,2.3,17.4
4,"Edwards, Lachlan","NYJ","@MIA","P",5.5,252.,25.,1.7,17.1
5,"Haack, Matt","MIA","NYJ","P",5.4,242.,21.,2.,17.
6,"Daniel, Trevor","HOU","@JAC","P",5.,224.,20.,2.3,16.7
7,"Kern, Brett","TEN","@CAR","P",4.7,227.,18.,2.3,16.7
8,"Dickson, Michael","SEA","TBB","P",5.1,245.,26.,1.6,16.1
9,"Wadman, Colby","DEN","CLE","P",5.1,230.,21.,1.7,15.8
10,"Martin, Sam","DET","@OAK","P",4.9,217.,18.,2.,15.8
11,"Bojorquez, Corey","BUF","WAS","P",5.,219.,16.,1.9,15.5
12,"Koch, Sam","BAL","NEP","P",4.4,201.,21.,1.9,14.6
13,"Wile, Matt","MIN","@KCC","P",4.6,208.,13.,1.7,14.5
14,"Sanchez, Rigoberto","IND","@PIT","P",4.4,199.,5.,1.7,14.
15,"O'Donnell, Pat","CHI","@PHI","P",4.2,185.,9.,2.1,14.
16,"Dixon, Riley","NYG","DAL","P",4.6,208.,11.,1.3,13.8
17,"Scott, J.K.","GBP","@LAC","P",4.6,203.,14.,1.1,13.3
18,"Wishnowsky, Mitch","SFO","@ARZ","P",4.3,189.,10.,1.6,13.2
19,"Cole, A.J.","OAK","DET","P",4.3,191.,14.,1.4,13.1
20,"Johnston, Cam","PHI","CHI","P",3.9,186.,11.,1.6,13.1
21,"Palardy, Michael","CAR","TEN","P",4.1,185.,12.,1.4,12.9
22,"Berry, Jordan","PIT","IND","P",3.8,165.,16.,1.8,12.5
23,"Long, Ty","LAC","GBP","P",3.9,177.,16.,1.3,12.3
24,"Jones, Chris","DAL","@NYG","P",3.9,172.,12.,1.3,12.
25,"Bailey, Jake","NEP","@BAL","P",3.7,162.,11.,1.3,11.5
26,"Pinion, Bradley","TBB","@SEA","P",3.9,174.,13.,1.1,11.3
27,"Colquitt, Dustin","KCC","MIN","P",3.3,146.,9.,1.4,10.6
"","","","","","","","","",""
