"Rank","Player","Team","Opp","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
1,"Martinez, Blake","GBP","@LAC","LB",6.7,3.6,0.2,0.4,0.,0.,0.,0.,9.2
2,"Bush, Devin","PIT","IND","LB",6.,1.9,0.9,0.4,0.1,0.3,0.,0.,8.9
3,"Wagner, Bobby","SEA","TBB","LB",6.1,3.3,0.1,0.5,0.1,0.1,0.1,0.,8.6
4,"David, Lavonte","TBB","@SEA","LB",6.9,2.,0.2,0.2,0.,0.1,0.1,0.,8.6
5,"Kuechly, Luke","CAR","TEN","LB",5.9,3.1,0.1,0.4,0.1,0.1,0.1,0.,8.4
6,"Hicks, Jordan","ARZ","SFO","LB",6.1,2.4,0.3,0.5,0.,0.,0.,0.,8.2
7,"Whitehead, Tahir","OAK","DET","LB",6.2,2.7,0.,0.3,0.1,0.1,0.1,0.,8.2
8,"Edmunds, Tremaine","BUF","WAS","LB",5.5,2.8,0.1,0.6,0.1,0.1,0.,0.,8.
9,"Smith, Roquan","CHI","@PHI","LB",5.7,2.,0.5,0.4,0.2,0.1,0.,0.,8.
10,"Mack, Khalil","CHI","@PHI","LB",5.,1.5,1.,0.4,0.1,0.3,0.1,0.,7.8
11,"Young, Kenny","BAL","NEP","LB",5.1,2.1,0.4,0.3,0.1,0.2,0.1,0.,7.3
12,"Trevathan, Danny","CHI","@PHI","LB",5.6,1.8,0.1,0.3,0.1,0.1,0.1,0.,7.2
13,"Jack, Myles","JAC","HOU","LB",5.4,1.9,0.1,0.2,0.1,0.1,0.1,0.,7.1
14,"Mosley, C.J.","NYJ","@MIA","LB",4.9,2.6,0.1,0.4,0.1,0.,0.,0.,7.1
15,"Schobert, Joe","CLE","@DEN","LB",4.8,3.2,0.2,0.2,0.1,0.1,0.1,0.,7.
16,"Ogletree, Alec","NYG","DAL","LB",4.4,2.5,0.2,0.6,0.3,0.,0.,0.,7.
17,"Brown, Jayon","TEN","@CAR","LB",4.5,2.5,0.4,0.4,0.1,0.1,0.1,0.,6.9
18,"Woodyard, Wesley","TEN","@CAR","LB",4.7,3.,0.3,0.2,0.,0.1,0.,0.,6.8
19,"Baker, Jerome","MIA","NYJ","LB",4.9,1.9,0.2,0.3,0.1,0.1,0.,0.,6.7
20,"Davis, Jarrad","DET","@OAK","LB",4.8,2.2,0.3,0.3,0.,0.1,0.1,0.,6.7
21,"Smith, Jaylon","DAL","@NYG","LB",4.9,2.2,0.2,0.2,0.,0.1,0.1,0.,6.6
22,"Kendricks, Eric","MIN","@KCC","LB",4.4,2.8,0.1,0.4,0.1,0.,0.,0.,6.6
23,"Leonard, Darius","IND","@PIT","LB",4.3,2.3,0.2,0.3,0.1,0.2,0.1,0.,6.5
24,"Vander Esch, Leighton","DAL","@NYG","LB",4.8,2.2,0.,0.3,0.1,0.,0.,0.,6.4
25,"Cunningham, Zach","HOU","@JAC","LB",4.5,2.3,0.,0.5,0.1,0.,0.,0.,6.4
26,"Wright, K.J.","SEA","TBB","LB",4.3,2.2,0.,0.5,0.1,0.,0.,0.,6.3
27,"Hitchens, Anthony","KCC","MIN","LB",4.7,3.,0.,0.,0.,0.,0.,0.,6.2
28,"Williams, Vince","PIT","IND","LB",4.4,1.8,0.3,0.2,0.1,0.,0.,0.,6.1
29,"McKinney, Benardrick","HOU","@JAC","LB",4.1,2.4,0.1,0.5,0.1,0.,0.,0.,6.
30,"Kirksey, Christian","CLE","@DEN","LB",4.,2.2,0.1,0.4,0.1,0.1,0.,0.,5.9
31,"Reddick, Haason","ARZ","SFO","LB",4.2,1.8,0.3,0.3,0.,0.1,0.,0.,5.7
32,"Alexander, Kwon","SFO","@ARZ","LB",4.5,1.6,0.1,0.2,0.,0.1,0.1,0.,5.7
33,"White, Devin","TBB","@SEA","LB",4.,2.1,0.1,0.3,0.1,0.1,0.,0.,5.6
34,"Milano, Matt","BUF","WAS","LB",3.8,2.,0.,0.4,0.1,0.,0.,0.,5.5
35,"Brown, Jatavis","LAC","GBP","LB",4.,1.9,0.1,0.3,0.,0.1,0.,0.,5.5
36,"Bostic, Jon","WAS","@BUF","LB",3.9,1.8,0.3,0.2,0.,0.1,0.,0.,5.4
37,"Bradham, Nigel","PHI","CHI","LB",4.1,1.7,0.1,0.4,0.,0.,0.,0.,5.4
38,"Brown, Zach","PHI","CHI","LB",4.1,1.7,0.1,0.2,0.,0.1,0.,0.,5.4
39,"Van Noy, Kyle","NEP","@BAL","LB",3.6,1.7,0.4,0.2,0.,0.1,0.1,0.,5.3
40,"Hamilton, Shaun Dion","WAS","@BUF","LB",3.6,2.,0.3,0.2,0.1,0.1,0.,0.,5.2
41,"Watt, T.J.","PIT","IND","LB",3.2,1.1,0.7,0.4,0.,0.3,0.,0.,5.2
42,"Thompson, Shaq","CAR","TEN","LB",3.6,2.1,0.2,0.1,0.,0.1,0.,0.,5.
43,"Perryman, Denzel","LAC","GBP","LB",3.4,2.1,0.1,0.2,0.1,0.1,0.,0.,4.9
44,"Collins, Jamie","NEP","@BAL","LB",3.5,1.7,0.2,0.2,0.1,0.,0.,0.,4.9
45,"Walker, Anthony","IND","@PIT","LB",3.5,2.1,0.,0.2,0.,0.,0.,0.,4.8
46,"Onwuasor, Patrick","BAL","NEP","LB",3.3,1.2,0.4,0.2,0.,0.2,0.,0.,4.8
47,"Burfict, Vontaze","OAK","DET","LB",3.2,2.3,0.1,0.3,0.,0.1,0.,0.,4.8
48,"Alexander, Lorenzo","BUF","WAS","LB",3.4,0.9,0.3,0.3,0.1,0.1,0.,0.,4.8
49,"Eguavoen, Sam","MIA","NYJ","LB",3.6,1.8,0.,0.1,0.1,0.,0.,0.,4.7
50,"Warner, Fred","SFO","@ARZ","LB",3.5,2.,0.,0.3,0.,0.,0.,0.,4.7
51,"Chubb, Bradley","DEN","CLE","LB",3.3,1.1,0.6,0.1,0.,0.1,0.,0.,4.7
52,"Davis, Todd","DEN","CLE","LB",3.6,1.4,0.,0.2,0.,0.,0.,0.,4.6
53,"Lee, Sean","DAL","@NYG","LB",3.3,2.,0.1,0.1,0.,0.1,0.,0.,4.6
54,"Davis, Thomas","LAC","GBP","LB",3.2,1.9,0.1,0.3,0.,0.,0.,0.,4.6
55,"Williams, Quincy","JAC","HOU","LB",3.4,1.6,0.1,0.1,0.,0.,0.,0.,4.5
56,"Goodson, B.J.","NYG","DAL","LB",3.3,1.2,0.1,0.2,0.1,0.1,0.1,0.,4.5
57,"Ragland, Reggie","KCC","MIN","LB",3.1,1.7,0.2,0.,0.,0.2,0.,0.,4.4
58,"Smith, Za'Darius","GBP","@LAC","LB",2.9,1.2,0.6,0.1,0.,0.1,0.,0.,4.2
59,"Hewitt, Neville","NYJ","@MIA","LB",2.7,1.9,0.3,0.1,0.,0.,0.,0.,4.1
60,"Barr, Anthony","MIN","@KCC","LB",2.9,1.2,0.2,0.2,0.,0.,0.,0.,4.
61,"Miller, Von","DEN","CLE","LB",2.3,0.8,0.7,0.2,0.,0.1,0.1,0.,3.9
62,"Judon, Matt","BAL","NEP","LB",2.8,0.7,0.4,0.2,0.,0.1,0.,0.,3.8
63,"Floyd, Leonard","CHI","@PHI","LB",2.5,1.,0.4,0.3,0.1,0.,0.,0.,3.8
64,"Jones, Christian","DET","@OAK","LB",2.8,1.1,0.1,0.2,0.,0.1,0.,0.,3.7
65,"Morrow, Nicholas","OAK","DET","LB",2.6,1.1,0.1,0.2,0.,0.1,0.,0.,3.6
66,"Avery, Genard","CLE","@DEN","LB",2.4,1.,0.2,0.2,0.,0.1,0.1,0.,3.5
