"Rank","Player","Team","Opp","Position","Att","Comp","Pass Yds","Pass TDs","0-9 PassTDs","10-19 PassTDs","20-29 PassTDs","30-39 PassTDs","40-49 PassTDs","50+ PassTDs","Int","Sacked","Rush","Rush Yds","Rush TDs","Fum Lost","Scoring Opps","Pts"
1,"Wilson, Russell","SEA","TBB","QB",30.2,19.3,232.,2.2,0.9,0.5,0.4,0.2,0.,0.2,0.5,2.8,5.1,29.,0.1,0.1,4.5,23.5
2,"Watson, Deshaun","HOU","@JAC","QB",31.1,20.4,241.,1.7,0.7,0.5,0.2,0.1,0.1,0.1,0.7,3.6,6.1,37.,0.3,0.2,4.3,23.
3,"Mahomes, Patrick","KCC","MIN","QB",29.9,19.3,253.,2.1,0.7,0.7,0.3,0.1,0.,0.3,0.6,2.3,4.2,19.,0.1,0.1,4.6,22.9
4,"Roethlisberger, Ben","PIT","IND","QB",37.9,25.2,291.,2.,0.9,0.4,0.3,0.1,0.1,0.2,0.9,1.6,2.,6.,0.1,0.1,4.7,22.8
5,"Rivers, Philip","LAC","GBP","QB",35.9,22.9,285.,1.9,0.9,0.3,0.3,0.,0.2,0.2,0.7,1.6,1.1,1.,0.,0.1,4.7,21.8
6,"Rodgers, Aaron","GBP","@LAC","QB",36.3,22.8,260.,1.6,0.6,0.4,0.2,0.2,0.1,0.1,0.4,3.1,3.1,19.,0.1,0.2,3.7,21.6
7,"Prescott, Dak","DAL","@NYG","QB",31.9,21.2,236.,1.4,0.4,0.4,0.2,0.1,0.1,0.2,0.5,2.6,4.2,19.,0.5,0.2,3.9,21.3
8,"Wentz, Carson","PHI","CHI","QB",32.5,21.7,244.,2.,0.9,0.7,0.2,0.2,0.,0.1,0.7,2.2,3.5,11.,0.,0.4,4.2,20.4
9,"Winston, Jameis","TBB","@SEA","QB",33.6,21.5,267.,1.6,0.6,0.6,0.1,0.2,0.1,0.1,1.1,2.6,4.1,21.,0.1,0.4,3.7,20.4
10,"Cousins, Kirk","MIN","@KCC","QB",34.4,23.2,242.,1.7,0.7,0.4,0.2,0.2,0.2,0.,0.7,2.6,2.9,8.,0.1,0.3,3.6,19.4
11,"Fitzpatrick, Ryan","MIA","NYJ","QB",33.6,21.4,242.,1.6,0.7,0.3,0.2,0.1,0.,0.2,0.8,2.2,2.3,10.,0.1,0.1,3.4,18.9
12,"Brady, Tom","NEP","@BAL","QB",33.4,22.2,255.,1.6,0.7,0.4,0.2,0.1,0.,0.1,0.7,1.4,1.7,1.,0.1,0.1,3.8,18.6
13,"Allen, Josh","BUF","WAS","QB",25.8,14.3,168.,0.8,0.3,0.2,0.2,0.1,0.1,0.1,0.9,2.4,8.,48.,0.5,0.2,2.7,18.3
14,"Brissett, Jacoby","IND","@PIT","QB",31.4,19.7,221.,1.3,0.5,0.4,0.1,0.,0.1,0.2,0.7,2.5,4.3,17.,0.1,0.2,3.1,17.9
15,"Jackson, Lamar","BAL","NEP","QB",26.8,16.,177.,1.,0.5,0.2,0.,0.2,0.,0.1,0.5,2.5,10.7,49.,0.3,0.4,3.2,17.8
16,"Trubisky, Mitchell","CHI","@PHI","QB",31.5,20.2,216.,1.1,0.5,0.3,0.2,0.1,0.1,0.,0.8,2.1,4.1,22.,0.2,0.2,3.5,17.6
17,"Stafford, Matthew","DET","@OAK","QB",33.8,22.3,246.,1.4,0.6,0.3,0.3,0.1,0.1,0.1,0.6,2.8,1.7,5.,0.,0.3,3.5,17.2
18,"Flacco, Joe","DEN","CLE","QB",39.2,24.1,244.,1.2,0.6,0.3,0.2,0.1,0.,0.,0.8,1.8,2.1,6.,0.1,0.2,3.6,17.1
19,"Darnold, Sam","NYJ","@MIA","QB",33.8,20.,227.,1.2,0.4,0.3,0.3,0.2,0.,0.1,1.,2.3,2.8,11.,0.1,0.2,3.3,16.7
20,"Newton, Cam","CAR","TEN","QB",24.4,15.6,172.,1.1,0.5,0.3,0.2,0.1,0.,0.1,1.3,2.9,6.6,34.,0.2,0.,3.,16.5
21,"Mayfield, Baker","CLE","@DEN","QB",28.2,17.5,208.,1.4,0.5,0.5,0.2,0.1,0.1,0.1,1.3,2.1,3.7,16.,0.1,0.2,2.9,16.3
22,"Manning, Eli","NYG","DAL","QB",34.6,22.2,238.,1.2,0.7,0.3,0.1,0.,0.,0.,0.8,2.6,0.9,2.,0.1,0.3,3.2,16.2
23,"Carr, Derek","OAK","DET","QB",33.3,22.,235.,1.2,0.7,0.1,0.3,0.1,0.1,0.1,0.6,2.5,1.5,4.,0.,0.4,3.6,16.1
24,"Mariota, Marcus","TEN","@CAR","QB",25.4,16.6,185.,0.9,0.2,0.3,0.2,0.,0.,0.2,0.8,2.7,4.1,23.,0.2,0.1,2.4,15.
25,"Foles, Nick","JAC","HOU","QB",29.5,18.3,188.,1.1,0.5,0.4,0.,0.1,0.,0.1,0.7,2.3,3.4,19.,0.1,0.2,3.1,15.
26,"Keenum, Case","WAS","@BUF","QB",29.6,18.5,193.,0.9,0.4,0.2,0.2,0.,0.1,0.1,1.,2.4,3.,13.,0.1,0.1,2.8,14.
27,"Garoppolo, Jimmy","SFO","@ARZ","QB",26.2,16.1,203.,1.,0.5,0.2,0.1,0.1,0.1,0.1,1.3,3.2,2.2,4.,0.1,0.1,2.9,13.7
28,"Murray, Kyler","ARZ","SFO","QB",31.4,17.6,191.,1.,0.3,0.4,0.2,0.,0.,0.1,0.9,2.9,1.9,8.,0.,0.3,2.7,13.
29,"Gabbert, Blaine","TBB","@SEA","QB",7.1,4.2,51.,0.2,0.2,0.,0.,0.,0.,0.,0.4,0.6,0.8,1.,0.1,0.,0.7,3.5
30,"Mullens, Nick","SFO","@ARZ","QB",5.5,3.6,45.,0.3,0.1,0.1,0.,0.,0.1,0.,0.3,0.4,0.5,-0.3,0.,0.,0.7,3.2
31,"Hundley, Brett","ARZ","SFO","QB",7.2,4.7,49.,0.2,0.,0.1,0.,0.,0.,0.,0.3,1.1,0.8,4.,0.,0.1,0.5,3.2
32,"Tannehill, Ryan","TEN","@CAR","QB",5.7,3.8,41.,0.3,0.1,0.1,0.1,0.,0.,0.1,0.2,1.,1.,4.,0.,0.1,0.4,3.1
33,"Rosen, Josh","MIA","NYJ","QB",8.1,4.4,44.,0.2,0.1,0.1,0.,0.,0.,0.,0.2,0.7,0.4,2.,0.,0.1,0.4,2.7
34,"Sudfeld, Nate","PHI","CHI","QB",3.3,2.3,23.,0.2,0.1,0.,0.2,0.,0.,0.,0.,0.5,1.1,2.,0.,0.1,0.3,2.
35,"Griffin III, Robert","BAL","NEP","QB",1.1,0.6,7.,0.1,0.,0.,0.1,0.,0.,0.,0.,0.,1.6,8.,0.1,0.,0.3,1.9
36,"Taylor, Tyrod","LAC","GBP","QB",3.8,2.,21.,0.1,0.,0.,0.,0.,0.,0.,0.1,0.4,1.,4.,0.,0.,0.2,1.8
37,"Beathard, C.J.","SFO","@ARZ","QB",2.8,1.7,22.,0.1,0.,0.,0.,0.,0.,0.1,0.1,0.2,0.4,1.,0.,0.,0.3,1.7
38,"Moore, Matt","KCC","MIN","QB",2.1,1.3,19.,0.2,0.1,0.,0.1,0.,0.,0.,0.1,0.1,0.2,0.,0.,0.,0.5,1.5
39,"Luck, Andrew","Ret","Bye","QB",2.,1.3,15.,0.1,0.1,0.1,0.,0.,0.,0.,0.1,0.1,0.2,1.,0.,0.,0.3,1.3
40,"Barkley, Matt","BUF","WAS","QB",2.3,1.2,14.,0.1,0.,0.1,0.,0.,0.,0.,0.2,0.1,0.4,2.,0.,0.,0.3,1.1
41,"Stanton, Drew","CLE","@DEN","QB",4.1,1.5,15.,0.,0.,0.,0.,0.,0.,0.,0.1,0.9,0.6,3.,0.,0.,0.2,1.
42,"Siemian, Trevor","NYJ","@MIA","QB",3.5,1.8,18.,0.1,0.,0.,0.,0.,0.,0.,0.2,0.4,0.3,2.,0.,0.1,0.1,0.9
43,"Allen, Kyle","CAR","TEN","QB",1.2,0.8,11.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,0.,0.,0.,0.1,0.7
44,"Smith, Alex","WAS","@BUF","QB",1.4,0.9,9.,0.1,0.,0.,0.,0.,0.,0.,0.,0.1,0.2,1.,0.,0.,0.1,0.7
45,"Glennon, Mike","OAK","DET","QB",1.1,0.7,7.,0.1,0.1,0.,0.,0.,0.,0.,0.,0.1,0.3,-0.2,0.,0.,0.1,0.6
46,"Lock, Drew","DEN","CLE","QB",1.,0.6,8.,0.,0.,0.,0.,0.,0.,0.,0.1,0.2,0.1,-0.1,0.,0.,0.2,0.3
47,"Minshew, Gardner","JAC","HOU","QB",1.,0.5,5.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.8,1.,0.,0.1,0.,0.1
48,"Dobbs, Joshua","PIT","IND","QB",0.3,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.1
49,"McCarron, AJ","HOU","@JAC","QB",0.6,0.3,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.2,-0.2,0.,0.,0.,0.1
50,"Anderson, Derek","Ret","Bye","QB",0.2,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,1.,0.,0.,0.,0.1
51,"McCown, Josh","PHI","CHI","QB",0.2,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.1
52,"Jones, Daniel","NYG","DAL","QB",0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,-0.1,0.,0.,0.,0.
53,"Haskins, Dwayne","WAS","@BUF","QB",2.1,0.9,6.,0.,0.,0.,0.,0.,0.,0.,0.4,0.9,0.1,0.,0.,0.,0.,0.
54,"Rudolph, Mason","PIT","IND","QB",0.9,0.4,2.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.7,0.,0.,0.,0.,0.
55,"Peterman, Nathan","OAK","DET","QB",0.7,0.2,2.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.1,0.,0.,0.,0.1,0.
56,"Mannion, Sean","MIN","@KCC","QB",0.4,0.3,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.1,-1.5,0.,0.,0.,0.
57,"Gilbert, Garrett","CLE","@DEN","QB",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
58,"McCoy, Colt","WAS","@BUF","QB",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.
59,"Blough, David","DET","@OAK","QB",0.9,0.4,3.,0.,0.,0.,0.,0.,0.,0.,0.2,0.,0.1,-0.1,0.,0.,0.,-0.1
60,"Stidham, Jarrett","NEP","@BAL","QB",0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.2,-1.1,0.,0.,0.,-0.1
61,"Boyle, Tim","GBP","@LAC","QB",1.,0.6,7.,0.,0.,0.,0.,0.,0.,0.,0.1,0.3,0.1,-0.1,0.,0.1,0.1,-0.1
62,"Kelly, Chad","IND","@PIT","QB",0.3,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.7,-0.7,0.,0.,0.,-0.1
63,"Daniel, Chase","CHI","@PHI","QB",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.1,-1.,0.,0.,0.,-0.1
"","","","","","","","","","","","","","","","","","","","","","",""
