"Rank","Player","Team","Opp","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"Belichick, Bill","NEP","@BAL","HC",1.,0.,31.,7.,21.6
2,"Reid, Andy","KCC","MIN","HC",1.,0.,27.,4.,18.7
3,"McVay, Sean","LAR","Bye","HC",1.,0.,28.,2.,18.6
4,"Koetter, Dirk","ATL","Bye","HC",1.,0.,25.,7.,18.6
5,"Payton, Sean","NOS","Bye","HC",1.,0.,24.,6.,17.8
6,"Quinn, Dan","ATL","Bye","HC",1.,0.,24.,5.,17.5
7,"Rivera, Ron","CAR","TEN","HC",1.,0.,23.,6.,17.3
8,"Gruden, Jon","OAK","DET","HC",1.,0.,24.,4.,17.2
9,"Lynn, Anthony","LAC","GBP","HC",1.,0.,21.,4.,15.7
10,"Carroll, Pete","SEA","TBB","HC",0.,1.,25.,-1.,12.2
11,"Gase, Adam","NYJ","@MIA","HC",0.,1.,25.,-4.,11.3
12,"Shanahan, Kyle","SFO","@ARZ","HC",0.,1.,23.,-3.,10.6
13,"Patricia, Matt","DET","@OAK","HC",0.,1.,19.,-2.,8.9
14,"Marrone, Doug","JAC","HOU","HC",0.,1.,19.,-2.,8.9
15,"Reich, Frank","IND","@PIT","HC",0.,1.,20.,-4.,8.8
16,"McDermott, Sean","BUF","WAS","HC",0.,1.,20.,-5.,8.5
17,"Zimmer, Mike","MIN","@KCC","HC",0.,1.,19.,-5.,8.
18,"Tomlin, Mike","PIT","IND","HC",0.,1.,23.,-12.,7.9
19,"O'Brien, Bill","HOU","@JAC","HC",0.,1.,18.,-6.,7.2
20,"Vrabel, Mike","TEN","@CAR","HC",0.,1.,17.,-5.,7.
21,"Harbaugh, John","BAL","NEP","HC",0.,1.,21.,-14.,6.3
22,"Nagy, Matt","CHI","@PHI","HC",0.,1.,16.,-9.,5.3
23,"Pederson, Doug","PHI","CHI","HC",0.,1.,19.,-16.,4.7
24,"Shurmur, Pat","NYG","DAL","HC",0.,1.,17.,-18.,3.1
25,"Garrett, Jason","DAL","@NYG","HC",0.,1.,17.,-18.,3.1
26,"Gruden, Jay","WAS","@BUF","HC",0.,1.,14.,-21.,0.7
"","","","","","","","","",""
