Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Koetter, Dirk",TBB,CLE,HC,1.,0.,35.,25.,29.
2,"Marrone, Doug",JAC,HOU,HC,1.,0.,35.,21.,27.8
3,"Quinn, Dan",ATL,NYG,HC,1.,0.,33.,16.,25.3
4,"Reid, Andy",KCC,CIN,HC,1.,0.,31.,16.,24.3
5,"Lynn, Anthony",LAC,TEN,HC,1.,0.,33.,11.,23.8
6,"Zimmer, Mike",MIN,@NYJ,HC,1.,0.,31.,12.,23.1
7,"Patricia, Matt",DET,@MIA,HC,1.,0.,29.,11.,21.8
8,"Pederson, Doug",PHI,CAR,HC,1.,0.,28.,6.,19.8
9,"Shanahan, Kyle",SFO,LAR,HC,1.,0.,25.,2.,17.1
10,"Belichick, Bill",NEP,@CHI,HC,1.,0.,25.,2.,17.1
11,"Wilks, Steve",ARZ,DEN,HC,1.,0.,22.,5.,16.5
12,"Joseph, Vance",DEN,@ARZ,HC,1.,0.,23.,2.,16.1
13,"Reich, Frank",IND,BUF,HC,1.,0.,21.,3.,15.4
14,"Payton, Sean",NOR,@BAL,HC,0.,1.,26.,-3.,12.1
15,"Harbaugh, John",BAL,NOR,HC,0.,1.,26.,-5.,11.5
16,"Garrett, Jason",DAL,@WAS,HC,0.,1.,23.,-1.,11.2
17,"McVay, Sean",LAR,@SFO,HC,0.,1.,23.,-2.,10.9
18,"McDermott, Sean",BUF,@IND,HC,0.,1.,18.,-3.,8.1
19,"Campbell, Dan",MIA,DET,HC,0.,1.,21.,-8.,8.1
20,"Gruden, Jay",WAS,DAL,HC,0.,1.,19.,-8.,7.1
21,"Lewis, Marvin",CIN,@KCC,HC,0.,1.,20.,-11.,6.7
22,"Nagy, Matt",CHI,NEP,HC,0.,1.,16.,-9.,5.3
23,"Rivera, Ron",CAR,@PHI,HC,0.,1.,17.,-11.,5.2
24,"Bowles, Todd",NYJ,MIN,HC,0.,1.,18.,-13.,5.1
25,"Jackson, Hue",CLE,@TBB,HC,0.,1.,18.,-16.,4.2
26,"Shurmer, Pat",NYG,@ATL,HC,0.,1.,17.,-16.,3.7
27,"O'Brien, Bill",HOU,@JAC,HC,0.,1.,17.,-18.,3.1
28,"Vrabel, Mike",TEN,@LAC,HC,0.,1.,15.,-18.,2.1
