Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Elliott, Ezekiel",DAL,@WAS,RB,22.2,102.8,0.8,0.5,0.2,0.,0.,0.,0.1,2.6,27.6,0.1,0.1,0.1,0.,0.,0.,1.9,18.7
2,"Johnson, David",ARZ,DEN,RB,17.7,73.8,0.8,0.6,0.,0.1,0.,0.,0.,4.4,45.2,0.1,0.2,0.1,0.2,1.1,0.2,2.2,17.
3,"Gurley, Todd",LAR,@SFO,RB,17.3,74.3,0.7,0.6,0.,0.,0.,0.,0.,3.7,37.,0.2,0.1,0.1,0.1,0.,0.1,2.2,16.2
4,"Kamara, Alvin",NOR,@BAL,RB,10.4,52.5,0.6,0.4,0.,0.1,0.,0.,0.,4.7,46.7,0.3,0.2,0.1,0.,25.5,0.1,2.,15.1
5,"Fournette, Leonard",JAC,HOU,RB,19.5,76.,0.7,0.6,0.,0.,0.,0.,0.1,2.9,24.1,0.1,0.1,0.,0.,1.9,0.,1.7,14.6
6,"Hunt, Kareem",KCC,CIN,RB,17.5,80.,0.5,0.4,0.,0.,0.1,0.,0.1,3.3,25.,0.1,0.1,0.,0.,0.,0.1,1.8,14.3
7,"Cook, Dalvin",MIN,@NYJ,RB,14.8,65.8,0.6,0.5,0.,0.,0.,0.,0.,3.5,27.4,0.1,0.1,0.1,0.,1.1,0.1,1.9,13.5
8,"Freeman, Devonta",ATL,NYG,RB,13.2,54.5,0.6,0.5,0.,0.,0.1,0.,0.,2.9,26.7,0.2,0.1,0.1,0.,0.,0.1,1.8,12.3
9,"Ingram, Mark",NOR,@BAL,RB,12.9,58.3,0.6,0.4,0.,0.1,0.,0.,0.,3.4,26.,0.1,0.1,0.1,0.,4.,0.1,1.5,12.2
10,"Barkley, Saquon",NYG,@ATL,RB,15.9,70.,0.3,0.2,0.,0.,0.,0.,0.1,4.3,26.6,0.1,0.1,0.1,0.,1.2,0.1,1.1,11.9
11,"Howard, Jordan",CHI,NEP,RB,16.7,74.9,0.5,0.3,0.1,0.,0.,0.,0.,1.4,11.1,0.,0.,0.,0.,0.,0.1,1.3,11.6
12,"Johnson, Kerryon",DET,@MIA,RB,10.4,38.,0.5,0.4,0.1,0.,0.,0.,0.,3.9,31.9,0.2,0.1,0.1,0.,2.6,0.,1.2,11.2
13,"Gordon, Melvin",LAC,TEN,RB,14.,55.8,0.4,0.4,0.1,0.,0.,0.,0.,2.6,23.5,0.1,0.1,0.,0.,0.,0.1,1.6,11.2
