Rank,Player,Team,Opp,Position,Yds Allowed,Pts Agn,Scks,Int,Fum,DefTD,Safts,Pts
1,"Broncos, Denver",DEN,@ARZ,D,177.3,13.4,2.2,1.,0.9,0.4,0.,18.3
2,"Jaguars, Jacksonville",JAC,HOU,D,212.1,13.4,3.8,1.3,0.7,0.5,0.,18.3
3,"Vikings, Minnesota",MIN,@NYJ,D,187.4,12.1,2.3,1.3,0.2,0.1,0.2,16.2
4,"Buccaneers, Tampa Bay",TBB,CLE,D,222.8,15.,2.4,1.1,0.8,0.4,0.,14.8
5,"Redskins, Washington",WAS,DAL,D,290.7,18.1,3.3,1.1,0.6,0.1,0.,14.
6,"Cardinals, Arizona",ARZ,DEN,D,253.4,17.6,2.2,1.,0.8,0.2,0.,13.3
7,"Chargers, Los Angeles",LAC,TEN,D,310.8,14.6,2.3,1.4,0.7,0.3,0.,13.2
8,"Bills, Buffalo",BUF,@IND,D,258.9,15.3,2.5,1.2,0.,0.2,0.,12.7
9,"Falcons, Atlanta",ATL,NYG,D,291.2,13.4,2.2,0.7,0.8,0.,0.,12.6
10,"Chiefs, Kansas City",KCC,CIN,D,330.6,18.5,1.8,1.3,0.9,0.2,0.,12.3
11,"Patriots, New England",NEP,@CHI,D,290.8,16.4,4.6,0.4,0.,0.,0.1,11.9
12,"Cowboys, Dallas",DAL,@WAS,D,290.7,17.6,1.5,0.8,0.6,0.1,0.,11.6
13,"Lions, Detroit",DET,@MIA,D,373.8,23.,2.4,1.4,0.9,0.1,0.,10.8
14,"Browns, Cleveland",CLE,@TBB,D,281.7,20.6,2.8,0.3,0.3,0.,0.,10.6
15,"Dolphins, Miami",MIA,DET,D,348.2,26.,1.9,0.7,0.2,0.3,0.2,9.2
16,"Rams, Los Angeles",LAR,@SFO,D,366.9,26.1,2.7,0.7,0.3,0.2,0.1,9.1
17,"Eagles, Philadelphia",PHI,CAR,D,455.1,19.9,1.1,0.6,0.9,0.3,0.,8.9
18,"Colts, Indianapolis",IND,BUF,D,303.9,18.1,1.2,0.8,0.3,0.,0.2,8.3
19,"Texans, Houston",HOU,@JAC,D,349.,26.2,2.,0.5,0.5,0.,0.,8.
20,"Ravens, Baltimore",BAL,NOR,D,424.4,25.8,1.7,0.8,0.7,0.2,0.,7.8
21,"Panthers, Carolina",CAR,@PHI,D,442.1,29.4,2.1,0.7,0.7,0.3,0.,7.7
22,"49ers, San Francisco",SFO,LAR,D,376.6,25.6,1.3,0.5,0.5,0.1,0.,7.2
23,"Saints, New Orleans",NOR,@BAL,D,433.9,27.5,1.9,1.2,0.2,0.1,0.,7.2
24,"Bears, Chicago",CHI,NEP,D,411.4,21.9,1.5,0.4,0.6,0.2,0.,6.9
25,"Bengals, Cincinnati",CIN,@KCC,D,404.3,27.1,1.9,0.6,0.2,0.2,0.,6.6
26,"Giants, New York",NYG,@ATL,D,453.3,26.6,1.4,1.,0.2,0.1,0.,6.5
27,"Titans, Tennessee",TEN,@LAC,D,441.1,26.6,2.9,0.2,0.1,0.1,0.,5.8
28,"Jets, New York",NYJ,MIN,D,370.9,26.8,1.7,0.1,0.3,0.,0.,5.7
