Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Tucker, Justin",BAL,NOR,K,2.4,2.4,2.3,2.5,0.,0.3,0.8,0.8,0.4,0.1,10.8
2,"Butker, Harrison",KCC,CIN,K,2.3,2.3,2.2,2.6,0.,0.5,1.,0.5,0.2,0.4,8.8
3,"Prater, Matt",DET,@MIA,K,2.3,2.3,2.,2.3,0.1,0.5,0.5,0.5,0.5,0.3,8.8
4,"Lutz, Wil",NOR,@BAL,K,3.1,3.3,1.8,2.1,0.,0.5,0.4,0.6,0.3,0.3,8.7
5,"Lambo, Josh",JAC,HOU,K,2.7,2.9,1.8,2.,0.,0.2,0.7,0.6,0.2,0.2,8.5
6,"Vinatieri, Adam",IND,BUF,K,2.2,2.2,2.,2.2,0.,0.5,0.5,0.5,0.4,0.3,8.5
7,"Elliott, Jake",PHI,CAR,K,2.3,2.6,1.8,2.1,0.,0.5,0.4,0.7,0.3,0.2,8.3
8,"Gould, Robbie",SFO,LAR,K,1.8,1.9,1.9,2.,0.,0.4,0.6,0.8,0.2,0.1,8.1
9,"Bryant, Matt",ATL,NYG,K,2.2,2.2,1.7,1.9,0.,0.4,0.5,0.4,0.4,0.2,7.8
10,"Gostkowski, Stephen",NEP,@CHI,K,2.5,2.7,1.7,2.,0.,0.6,0.4,0.5,0.1,0.2,7.6
11,"Maher, Brett",DAL,@WAS,K,2.8,2.8,1.7,2.,0.1,0.5,0.5,0.5,0.2,0.4,7.5
12,"Zuerlein, Greg",LAR,@SFO,K,2.1,2.2,1.6,1.7,0.,0.4,0.6,0.4,0.2,0.1,7.3
13,"Gano, Graham",CAR,@PHI,K,1.9,2.,1.7,1.9,0.,0.4,0.5,0.6,0.1,0.2,7.1
14,"Hauschka, Steven",BUF,@IND,K,1.7,1.8,1.8,2.,0.,0.5,0.7,0.4,0.2,0.2,7.1
15,"Myers, Jason",NYJ,MIN,K,1.8,1.9,1.8,2.3,0.,0.5,0.4,0.7,0.2,0.5,6.6
16,"Dawson, Phil",ARZ,DEN,K,1.6,1.8,1.8,2.2,0.1,0.3,0.6,0.5,0.2,0.4,6.6
17,"Carlson, Daniel",MIN,@NYJ,K,2.,2.3,1.6,1.9,0.,0.4,0.6,0.3,0.2,0.3,6.6
18,"Succop, Ryan",TEN,@LAC,K,1.9,2.1,1.5,1.8,0.,0.4,0.4,0.6,0.1,0.3,6.5
19,"Catanzaro, Chandler",TBB,CLE,K,1.8,1.9,1.6,1.9,0.,0.4,0.4,0.6,0.1,0.3,6.4
20,"McManus, Brandon",DEN,@ARZ,K,1.7,1.8,1.5,1.9,0.,0.4,0.7,0.3,0.2,0.4,5.9
21,"Sanders, Jason",MIA,DET,K,2.1,2.3,1.2,1.3,0.,0.5,0.4,0.3,0.,0.2,5.5
22,"Hopkins, Dustin",WAS,DAL,K,1.9,2.1,1.5,2.,0.,0.7,0.4,0.3,0.1,0.5,5.4
23,"Bullock, Randy",CIN,@KCC,K,1.9,2.1,1.2,1.3,0.,0.4,0.4,0.2,0.,0.2,5.1
24,"Parkey, Cody",CHI,NEP,K,1.7,1.9,1.1,1.3,0.,0.3,0.3,0.4,0.1,0.2,5.1
25,"Gonzalez, Zane",CLE,@TBB,K,1.6,1.7,1.,1.3,0.,0.3,0.3,0.3,0.1,0.2,4.5
26,"Sturgis, Caleb",LAC,TEN,K,1.6,1.9,1.1,1.5,0.,0.5,0.3,0.2,0.1,0.4,4.2
27,"Rosas, Aldrick",NYG,@ATL,K,1.3,1.5,1.1,1.4,0.,0.5,0.2,0.3,0.1,0.4,3.9
28,"Fairbairn, Ka'imi",HOU,@JAC,K,1.3,1.4,1.,1.5,0.,0.2,0.4,0.3,0.2,0.4,3.7
