fantasyPointsRank,playerName,Team,Pos,PlayerName,Team,Pos
98,Eric Kendricks,MIN,lb,Thompson Jalen,ARI,dt
99,Danny Shelton,DET,dt,Maye Marcus,NYJ,dt
100,Aaron Rodgers,GB,qb,Slay Darius,PHI,dt
101,Demarcus Lawrence,DAL,de,Henderson CJ,JAC,dt
102,Isaiah Simmons,ARZ,lb,Jackson J.C.,NEP,dt
103,Germaine Pratt,CIN,lb,Wallace Levi,BUF,dt
104,Devine Ozigbo,JAX,rb,Davis Michael,LAC,dt
105,Diontae Johnson,PIT,wr,Callahan Bryce,DEN,dt
106,Shaq Thompson,CAR,lb,Harris Chris,LAC,dt
107,Amari Cooper,DAL,wr,Sherman Richard,SFO,dt
108,Demario Davis,NO,lb,Ward Charvarius,KCC,dt
109,Robert Woods,LA,wr,Maddox Avonte,PHI,dt
110,Carlos Dunlap,CIN,de,Jackson Donte,CAR,dt
111,Drew Brees,NO,qb,Davis Carlton,TBB,dt
112,Leighton Vander Esch,DAL,lb,Poole Brian,NYJ,dt
113,Javon Hargrave,PHI,dt,Kirkpatrick Dre,ARI,dt
114,Matt Ryan,ATL,qb,Peterson Patrick,ARI,dt
115,Tracy Walker,DET,s,Howard Xavien,MIA,dt
116,Julian Edelman,NE,wr,Arnette Damon,LVR,dt
117,Carson Wentz,PHI,qb,Wiltz Jomal,MIA,dt
118,J.K. Dobbins,BLT,rb,Moreland Jimmy,WAS,dt
119,Alexander Johnson,DEN,lb,Brown Anthony,DAL,dt
120,Roquan Smith,CHI,lb,Desir Pierre,NYJ,dt
121,Mark Ingram II,BLT,rb,Herndon Tre,JAC,dt
122,Marvin Jones Jr.,DET,wr,Johnson Taron,BUF,dt
123,Malcolm Jenkins,NO,s,Murray Eric,HOU,dt
124,DeVante Parker,MIA,wr,Bouye A.J.,DEN,dt
125,T.J. Watt,PIT,lb,Meadors Nate,MIN,dt
126,T.Y. Hilton,IND,wr,Moseley Emmanuel,SFO,dt
127,Chris Herndon,NYJ,te,Maulet Art,NYJ,dt
128,Devin White,TB,lb,King Desmond,LAC,dt
129,Evan Engram,NYG,te,Wilson Tavon,IND,dt
130,Jayon Brown,TEN,lb,Fulton Kristian,TEN,dt
131,John Johnson III,LA,s,Hooker Malik,IND,dt
132,Rob Gronkowski,TB,te,Lawson Nevin,LVR,dt
133,Tremaine Edmunds,BUF,lb,Joyner Lamarcus,LVR,dt
134,A.J. Green,CIN,wr,Rhodes Xavier,IND,dt
135,Jordan Poyer,BUF,s,Hayward Casey,LAC,dt
136,Devin Bush,PIT,lb,Ballentine Corey,NYG,dt
137,Keenan Allen,LAC,wr,Elder Corn,CAR,dt
138,D.J. Chark Jr.,JAX,wr,Hargreaves Vernon,HOU,dt
139,Ndamukong Suh,TB,dt,Williams K'Waun,SFO,dt
140,Joe Schobert,JAX,lb,Edwards Mike,TBB,dt
141,Jared Cook,NO,te,Hill Troy,LAR,dt
142,Elandon Roberts,MIA,lb,Trufant Desmond,DET,dt
143,Allen Robinson II,CHI,wr,Smith Jimmy,BAL,dt
144,Austin Hooper,CLV,te,Joseph Johnathan,TEN,dt
145,Vonn Bell,CIN,s,Jones Byron,MIA,dt
146,Jason Pierre-Paul,TB,de,Robey Nickell,PHI,dt
147,Matt Ioannidis,WAS,dt,Igbinoghene Noah,MIA,dt
148,Karl Joseph,CLV,s,LeBlanc Cre'von,PHI,dt
149,Arik Armstead,SF,de,Jackson William,CIN,dt
150,Maurice Hurst,LV,dt,Hayden D.J.,JAC,dt
151,Kerryon Johnson,DET,rb,Terrell A.J.,ATL,dt
152,T.J. Hockenson,DET,te,Marshall Trey,DEN,dt
153,Zack Moss,BUF,rb,Austin Blessuan,NYJ,dt
154,Geno Atkins,CIN,dt,Young Tavon,BAL,dt
155,Will Fuller V,HST,wr,Alexander Mackensie,CIN,dt
156,Sony Michel,NE,rb,Long David,LAR,dt
157,Noah Fant,DEN,te,Skrine Buster,CHI,dt
158,Cameron Jordan,NO,de,Johnson Jaylon,CHI,dt
159,Tarik Cohen,CHI,rb,Dean Jamel,TBB,dt
160,T.J. Edwards,PHI,lb,Stroman Greg,WAS,dt
161,Leonard Fournette,TB,rb,Redmond Will,GBP,dt
162,Ed Oliver,BUF,dt,Dunbar Quinton,SEA,dt
163,Nasir Adderley,LAC,s,Heath Jeff,LVR,dt
164,Lawrence Guy,NE,dt,Carrie Travis,IND,dt
165,Steven Sims,WAS,wr,Sendejo Andrew,CLE,dt
166,Jerome Baker,MIA,lb,Diggs Trevon,DAL,dt
167,Mike Gesicki,MIA,te,Harris Will,DET,dt
168,Danny Trevathan,CHI,lb,Yiadom Isaac,NYG,dt
169,Christian Kirk,ARZ,wr,Dugger Kyle,NEP,dt
170,Phillip Lindsay,DEN,rb,Jackson Josh,GBP,dt
171,Fred Warner,SF,lb,Christian Marqui,CHI,dt
172,Maxx Crosby,LV,de,Mitchell Terrance,CLE,dt
173,Dede Westbrook,JAX,wr,Sullivan Chandon,GBP,dt
174,Latavius Murray,NO,rb,Neal Siran,BUF,dt
175,DeSean Jackson,PHI,wr,Facyson Brandon,LAC,dt
176,Ronald Jones,TB,rb,Dennard Darqueze,ATL,dt
177,Jordan Howard,MIA,rb,Oruwariye Amani,DET,dt
178,Patrick Queen,BLT,lb,Redwine Sheldrick,CLE,dt
179,Keanu Neal,ATL,s,Hairston Nate,NYJ,dt
180,Jared Goff,LA,qb,Worley Daryl,DAL,dt
181,Adrian Phillips,NE,s,Odum George,IND,dt
182,Kyler Murray,ARZ,qb,Fenton Rashad,KCC,dt
183,Larry Ogunjobi,CLV,dt,Harris Marcell,SFO,dt
184,Markus Golden,NYG,de,Harris Davontae,DEN,dt
185,D.K. Metcalf,SEA,wr,Thomas Michael,HOU,dt
186,Davon Godchaux,MIA,dt,Wreh-Wilson Blidi,ATL,dt
187,Dante Fowler Jr.,ATL,de,Burgess Terrell,LAR,dt
188,Frank Clark,KC,de,Blair Marquise,SEA,dt
189,Terrell Edmunds,PIT,s,Hill Holton,MIN,dt
190,Justin Houston,IND,de,Douglas Rasul,CAR,dt
191,Josh Jones,JAX,s,Brooks Terrence,NEP,dt
192,Christian Wilkins,MIA,dt,Williams Darious,LAR,dt
193,Linval Joseph,LAC,dt,Johnson Danny,WAS,dt
194,Irv Smith Jr.,MIN,te,Phillips Darius,CIN,dt
195,Hayden Hurst,ATL,te,Sutton Cameron,PIT,dt
196,Jordan Phillips,ARZ,dt,Adams Andrew,TBB,dt
197,Avery Williamson,NYJ,lb,Wilson Brandon,CIN,dt
198,Tahir Whitehead,CAR,lb,Hill Delano,SEA,dt
199,Chase Young,WAS,de,Everett Deshazor,WAS,dt
200,JuJu Smith-Schuster,PIT,wr,Cockrell Ross,NYG,dt
201,Michael Gallup,DAL,wr,McManis Sherrick,CHI,dt
202,Kareem Hunt,CLV,rb,Robinson Patrick,NOS,dt
203,Jonnu Smith,TEN,te,Averett Anthony,BAL,dt
204,Ronnie Harrison,CLV,s,Davis Ashtyn,NYJ,dt
205,Foyesade Oluokun,ATL,lb,Wingard Andrew,JAC,dt
206,Mike Williams,LAC,wr,Hooker Amani,TEN,dt
207,Kwon Alexander,SF,lb,Burris Juston,CAR,dt
208,Jessie Bates III,CIN,s,Gipson Tashaun,CHI,dt
209,Darian Thompson,DAL,s,Layne Justin,PIT,dt
210,Jonathan Taylor,IND,rb,Marlowe Dean,BUF,dt
211,Mecole Hardman,KC,wr,Dawson Duke,DEN,dt
212,Micah Kiser,LA,lb,Hamilton Antonio,KCC,dt
213,Tyrann Mathieu,KC,s,Roberts Darryl,DET,dt
214,Vita Vea,TB,dt,Swearinger D.J.,NOS,dt
215,Chuck Clark,BLT,s,Levine Anthony,BAL,dt
216,Derek Carr,LV,qb,Brooks Nate,MIA,dt
217,Justin Simmons,DEN,s,Williams Joejuan,NEP,dt
218,Ryan Tannehill,TEN,qb,Crossen Keion,HOU,dt
219,Benardrick McKinney,HST,lb,McRae Tony,DET,dt
220,Jarrod Wilson,JAX,s,Smith Ryan,TBB,dt
221,Taylor Rapp,LA,s,Darby Ronald,WAS,dt
222,Chase Winovich,NE,de,Peterson Kevin,ARI,dt
223,Marquise Brown,BLT,wr,Hayes Tae,MIA,dt
224,Jeffery Simmons,TEN,dt,Boyd Kris,MIN,dt
225,Matt Breida,MIA,rb,Amadi Ugo,SEA,dt
226,Jordan Akins,HST,te,James Craig,PHI,dt
227,Dalvin Tomlinson,NYG,dt,Kalu Joshua,TEN,dt
228,Taven Bryan,JAX,dt,Watts Armani,KCC,dt
229,Matthew Stafford,DET,qb,Thorpe Neiko,SEA,dt
230,Emmanuel Moseley,SF,s,Epps Marcus,PHI,dt
231,Kirk Cousins,MIN,qb,Johnson Jaquan,BUF,dt
232,Bradley McDougald,NYJ,s,Moore Tarvarius,SFO,dt
233,Brandon Williams,BLT,dt,Stewart M.J.,CLE,dt
234,Matt Milano,BUF,lb,Colbert Adrian,NYG,dt
235,Johnathan Abram,LV,s,Williams Brandon,ARI,dt
236,Jaquiski Tartt,SF,s,Ladler Kenny,WAS,dt
237,CeeDee Lamb,DAL,wr,Aikens Walt,TEN,dt
238,Tevin Coleman,SF,rb,Gaines Phillip,HOU,dt
239,Anthony Walker,IND,lb,Davis Cody,NEP,dt
240,Tyler Higbee,LA,te,Banjo Chris,ARI,dt
241,Nick Kwiatkoski,LV,lb,Hartage Montre,NYG,dt
242,Akiem Hicks,CHI,de,Nixon Keisean,LVR,dt
243,Stefon Diggs,BUF,wr,Watson Brandon,JAC,dt
244,Derrick Brown,CAR,dt,Mabin Greg,CIN,dt
245,Rodney McLeod,PHI,s,Smith Maurice,WAS,dt
246,Jamison Crowder,NYJ,wr,Thompson Tedric,KCC,dt
247,Baker Mayfield,CLV,qb,Wilson Quincy,NYJ,dt
248,Golden Tate,NYG,wr,Neasman Sharrod,ATL,dt
249,Justin Jackson,LAC,rb,Goodwin C.J.,DAL,dt
250,A'Shawn Robinson,LA,dt,Killebrew Miles,DET,dt
251,Adrian Amos,GB,s,Bethel Justin,NEP,dt
252,Robby Anderson,CAR,wr,Young Chase,WAS,de
253,Yannick Ngakoue,MIN,de,Bosa Nick,SFO,de
254,Sheldon Rankins,NO,dt,Bosa Joey,LAC,de
255,Gardner Minshew,JAX,qb,Allen Josh,JAC,de
256,Darnell Savage,GB,s,Ingram Melvin,LAC,de
257,Kyle Rudolph,MIN,te,Burns Brian,CAR,de
258,Minkah Fitzpatrick,PIT,s,Reed Jarran,SEA,de
259,Brian Burns,CAR,de,Allen Jonathan,WAS,de
260,K.J. Wright,SEA,lb,Clark Frank,KCC,de
261,Daron Payne,WAS,dt,Hubbard Sam,CIN,de
262,Jarrad Davis,DET,lb,Donald Aaron,LAR,de
263,James White,NE,rb,Heyward Cameron,PIT,de
