"Player","Team","Tackle","Assist","Sack","PD","INT","FF","FR"
"Kyler Fackrell","GB",20,10,5.5,1,0,0,0
"Damien Wilson","KC",33,18,1.,1,0,0,0
"Tae Davis","NYG",30,10,2.5,2,0,0,0
"Duke Riley","ATL",38,14,0.,1,0,0,0
"Jordan Evans","CIN",30,19,1.,2,0,0,0
"Jake Ryan","JAC",30,13,1.,1,0,1,0
"Mack Wilson","CLE",26,10,2.5,3,0,0,0
"Tyus Bowser","BAL",28,11,2.,1,0,0,0
"Barkevious Mingo","HOU",24,8,2.,1,0,1,1
"Uchenna Nwosu","LAC",18,9,4.5,1,0,0,0
"Cody Barton","SEA",25,15,1.,3,0,0,1
"Frankie Luvu","NYJ",22,10,2.5,1,0,0,0
"Kareem Martin","NYG",20,10,2.,2,0,1,0
"Brooks Reed","ARI",18,7,3.,0,0,1,0
