Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Mann, Braden",NYJ,@KCC,P,5.5,250.0,30.0,1.2,16.1
2,"Dickson, Michael",SEA,SFO,P,4.5,213.0,15.0,2.1,15.6
3,"O'Donnell, Pat",CHI,NOS,P,4.8,215.0,16.0,2.0,15.5
4,"Kern, Brett",TEN,@CIN,P,4.2,200.0,16.0,2.1,14.9
5,"Johnston, Cam",PHI,DAL,P,4.4,211.0,16.0,1.7,14.7
6,"Fox, Jack",DET,IND,P,4.0,203.0,8.0,1.7,14.4
7,"Hekker, Johnny",LAR,@MIA,P,3.9,186.0,11.0,1.9,13.8
8,"Haack, Matt",MIA,LAR,P,4.3,193.0,14.0,1.7,13.7
9,"Bailey, Jake",NEP,@BUF,P,3.8,174.0,7.0,1.9,13.4
10,"Huber, Kevin",CIN,TEN,P,4.2,195.0,8.0,1.4,13.3
11,"Dixon, Riley",NYG,TBB,P,4.0,180.0,7.0,1.7,13.0
12,"Scott, J.K.",GBP,MIN,P,4.2,185.0,14.0,1.4,12.5
13,"Bojorquez, Corey",BUF,NEP,P,3.6,162.0,11.0,1.6,11.9
14,"Morstead, Thomas",NOS,@CHI,P,3.6,158.0,6.0,1.6,11.8
15,"Pinion, Bradley",TBB,@NYG,P,3.8,166.0,10.0,1.3,11.5
16,"Colquitt, Britton",MIN,@GBP,P,3.8,171.0,15.0,1.1,11.5
17,"Sanchez, Rigoberto",IND,@DET,P,3.3,152.0,8.0,1.6,11.4
18,"Martin, Sam",DEN,LAC,P,3.8,171.0,15.0,1.2,11.4
19,"Cole, A.J.",LVR,@CLE,P,3.4,151.0,15.0,1.4,11.0
20,"Gillan, Jamie",CLE,LVR,P,3.4,153.0,14.0,1.3,10.8
21,"Koch, Sam",BAL,PIT,P,3.2,147.0,12.0,1.4,10.6
22,"Long, Ty",LAC,@DEN,P,3.5,165.0,22.0,1.0,10.5
23,"Townsend, Tommy",KCC,NYJ,P,3.1,148.0,9.0,1.2,10.4
24,"Berry, Jordan",PIT,@BAL,P,3.3,148.0,10.0,1.2,10.4
25,"Wishnowsky, Mitch",SFO,@SEA,P,3.1,142.0,8.0,1.4,10.3
26,"Hofrichter, Sterling",ATL,@CAR,P,3.3,142.0,6.0,1.0,9.7
27,"Jones, Chris",DAL,@PHI,P,3.2,137.0,7.0,1.0,9.3
28,"Charlton, Joseph",CAR,ATL,P,2.7,126.0,13.0,0.9,8.6

