Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
46,"Herndon, Tre",JAC,@MIN,DB,3.1,0.7,0.1,0.4,0.1,0.0,0.0,0.0,0.0,0.0,4.1
47,"Wallace, Levi",BUF,@SFO,DB,3.2,0.8,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,4.1
48,"Oliver, Isaiah",ATL,NOS,DB,3.0,0.9,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.1
49,"Rhodes, Xavier",IND,@HOU,DB,2.6,0.6,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,4.1
50,"Yiadom, Isaac",NYG,@SEA,DB,2.4,1.5,0.1,0.7,0.0,0.1,0.0,0.0,2.0,0.0,4.0
51,"Lewis, Jourdan",DAL,@BAL,DB,3.0,1.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0
52,"Ramsey, Jalen",LAR,@ARI,DB,3.2,0.4,0.0,0.4,0.1,0.1,0.0,0.0,0.0,0.0,4.0
53,"Nelson, Steven",PIT,WAS,DB,3.0,0.5,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,4.0
54,"Darby, Ronald",WAS,@PIT,DB,2.9,0.9,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,4.0
55,"Slay, Darius",PHI,@GBP,DB,3.3,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0
56,"Lawson, Nevin",LVR,@NYJ,DB,2.9,0.7,0.0,0.5,0.0,0.1,0.1,0.0,0.0,0.0,3.9
57,"Gilmore, Stephon",NEP,@LAC,DB,2.6,1.1,0.0,0.5,0.1,0.1,0.0,0.0,0.0,0.0,3.9
58,"Bouye, A.J.",DEN,@KCC,DB,2.9,0.4,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,3.8
59,"Hall, Bryce",NYJ,LVR,DB,2.9,0.6,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,3.7
60,"Johnson, Lonnie",HOU,IND,DB,3.2,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.7
61,"Johnson, Jaylon",CHI,DET,DB,2.4,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3.6
62,"Sherman, Richard",SFO,BUF,DB,2.5,0.6,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,3.6
63,"Skrine, Buster",CHI,DET,DB,2.9,0.6,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,3.6
64,"Sheffield, Kendall",ATL,NOS,DB,2.6,1.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,3.5
65,"McCourty, Jason",NEP,@LAC,DB,2.6,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.5
66,"Sullivan, Chandon",GBP,PHI,DB,2.3,0.5,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,3.3
67,"Jones, Byron",MIA,CIN,DB,2.6,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.3
68,"Jackson, Lamar",NYJ,LVR,DB,2.6,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2
69,"Boyd, Kris",MIN,JAC,DB,2.6,0.6,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,3.2
70,"Awuzie, Chidobe",DAL,@BAL,DB,2.0,1.4,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,3.2
71,"Coleman, Justin",DET,@CHI,DB,2.4,0.6,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,3.2
72,"Williams, Darious",LAR,@ARI,DB,1.9,0.2,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,3.1
73,"King, Desmond",TEN,CLE,DB,2.4,0.8,0.1,0.2,0.0,0.0,0.0,0.0,1.0,2.0,3.1
74,"Jackson, William",CIN,@MIA,DB,2.3,0.5,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,3.1
75,"Harris, Chris",LAC,NEP,DB,2.4,0.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,3.1
76,"Ojemudia, Michael",DEN,@KCC,DB,2.3,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0
77,"Alexander, Mackensie",CIN,@MIA,DB,2.2,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0
78,"Sims, LeShaun",CIN,@MIA,DB,2.1,0.9,0.0,0.2,0.1,0.0,0.0,0.0,0.0,1.0,2.9
79,"Wiltz, Jomal",MIA,CIN,DB,2.0,0.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.7
80,"Johnson, Kevin",CLE,@TEN,DB,1.7,1.1,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,2.7
81,"Smith, Jimmy",BAL,DAL,DB,2.2,0.4,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.7
82,"Joseph, Johnathan",ARI,LAR,DB,2.0,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.7
83,"Moreland, Jimmy",WAS,@PIT,DB,2.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.6
84,"Amadi, Ugo",SEA,NYG,DB,2.2,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.6
85,"Fenton, Rashad",KCC,DEN,DB,1.8,0.3,0.1,0.3,0.0,0.1,0.0,0.0,0.0,0.0,2.5
86,"Jackson, Dane",BUF,@SFO,DB,1.2,0.1,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,2.4
87,"Williams, P.J.",NOS,@ATL,DB,2.1,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.4
88,"Sneed, L'Jarius",KCC,DEN,DB,1.1,0.4,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,2.3
