Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
1,"Humphrey, Marlon",BAL,@PHI,DB,4.0,0.9,0.2,0.9,0.2,0.3,0.1,0.0,0.0,0.0,6.4
2,"Ryan, Logan",NYG,WAS,DB,4.0,1.7,0.1,0.6,0.1,0.2,0.0,0.0,0.0,0.0,5.8
3,"Moore, Kenny",IND,CIN,DB,4.2,1.5,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,5.7
4,"Bradberry, James",NYG,WAS,DB,3.1,0.8,0.0,1.2,0.1,0.1,0.1,0.0,0.0,0.0,5.2
5,"Ward, Denzel",CLE,@PIT,DB,3.2,0.6,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,5.1
6,"Hilton, Mike",PIT,CLE,DB,3.7,0.7,0.3,0.6,0.1,0.0,0.0,0.0,0.0,0.0,5.1
7,"Poole, Brian",NYJ,@MIA,DB,4.0,0.6,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,5.1
8,"Bunting, Sean",TBB,GBP,DB,3.4,0.7,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,5.0
9,"Diggs, Trevon",DAL,ARI,DB,3.7,1.0,0.1,0.5,0.1,0.0,0.0,0.0,0.0,0.0,4.9
10,"Callahan, Bryce",DEN,@NEP,DB,4.0,1.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.9
11,"Lewis, Jourdan",DAL,ARI,DB,3.1,1.4,0.1,0.5,0.2,0.0,0.0,0.0,0.0,0.0,4.8
12,"Butler, Malcolm",TEN,HOU,DB,3.4,1.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,4.7
13,"Oliver, Isaiah",ATL,@MIN,DB,3.2,1.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,4.6
14,"Hill, Troy",LAR,@SFO,DB,3.4,0.8,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,4.6
15,"Fuller, Kyle",CHI,@CAR,DB,3.3,0.4,0.0,0.7,0.1,0.1,0.0,0.0,0.0,0.0,4.5
16,"Roby, Bradley",HOU,@TEN,DB,3.4,0.4,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,4.5
17,"Murphy, Byron",ARI,@DAL,DB,3.3,0.8,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,4.4
18,"Ward, Charvarius",KCC,@BUF,DB,3.1,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.4
19,"Fuller, Kendall",WAS,@NYG,DB,2.6,0.7,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,4.4
20,"Austin, Blessuan",NYJ,@MIA,DB,3.4,0.9,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,4.3
21,"Norman, Josh",BUF,KCC,DB,3.4,0.6,0.0,0.4,0.0,0.1,0.1,0.0,0.0,0.0,4.3
22,"Okudah, Jeff",DET,@JAC,DB,3.4,0.6,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,4.1
23,"Davis, Carlton",TBB,GBP,DB,2.5,0.6,0.1,0.8,0.1,0.1,0.0,0.0,0.0,0.0,4.1
24,"Nelson, Steven",PIT,CLE,DB,2.9,0.6,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,4.1
25,"Rhodes, Xavier",IND,CIN,DB,2.6,0.7,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,4.1
26,"Haden, Joe",PIT,CLE,DB,2.8,0.3,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,4.1
27,"Peters, Marcus",BAL,@PHI,DB,2.2,0.5,0.1,0.7,0.3,0.1,0.1,0.0,0.0,0.0,4.0
28,"Breeland, Bashaud",KCC,@BUF,DB,2.8,0.8,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,4.0
29,"McCourty, Jason",NEP,DEN,DB,3.0,0.9,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,4.0
30,"Ya-Sin, Rock",IND,CIN,DB,3.1,0.4,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.9
31,"Herndon, Tre",JAC,DET,DB,2.9,0.7,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,3.9
32,"Alexander, Jaire",GBP,@TBB,DB,2.9,0.5,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.0,3.9
33,"Oruwariye, Amani",DET,@JAC,DB,3.1,0.6,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,3.8
34,"Witherspoon, Ahkello",SFO,LAR,DB,2.8,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.8
35,"Ramsey, Jalen",LAR,@SFO,DB,2.9,0.5,0.0,0.4,0.1,0.1,0.0,0.0,0.0,0.0,3.8
36,"Dean, Jamel",TBB,GBP,DB,2.1,0.4,0.0,1.1,0.1,0.0,0.0,0.0,0.0,0.0,3.7
37,"Jones, Jonathan",NEP,DEN,DB,2.7,0.7,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,3.7
38,"Howard, Xavien",MIA,NYJ,DB,1.9,0.7,0.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,3.7
39,"Skrine, Buster",CHI,@CAR,DB,3.1,0.4,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,3.7
40,"Peterson, Patrick",ARI,@DAL,DB,2.8,0.5,0.0,0.4,0.1,0.0,0.0,0.0,2.0,0.0,3.7
41,"Moseley, Emmanuel",SFO,LAR,DB,2.7,0.6,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,3.6
42,"Johnson, Taron",BUF,KCC,DB,2.8,0.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.6
43,"White, Tre'Davious",BUF,KCC,DB,2.3,0.6,0.0,0.6,0.1,0.1,0.1,0.0,0.0,0.0,3.6
44,"Henderson, CJ",JAC,DET,DB,2.6,0.7,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.5
45,"Moreland, Jimmy",WAS,@NYG,DB,2.7,0.8,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,3.5
46,"Johnson, Kevin",CLE,@PIT,DB,2.4,0.8,0.0,0.4,0.1,0.1,0.0,0.0,0.0,0.0,3.5
47,"Ojemudia, Michael",DEN,@NEP,DB,2.3,0.5,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,3.4
48,"Jackson, J.C.",NEP,DEN,DB,2.3,0.3,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,3.4
49,"Joseph, Johnathan",ARI,@DAL,DB,2.2,0.6,0.0,0.6,0.1,0.1,0.0,0.0,0.0,0.0,3.4
50,"Johnson, Jaylon",CHI,@CAR,DB,2.4,0.5,0.0,0.6,0.0,0.1,0.0,0.0,0.0,0.0,3.3
51,"Terrell, A.J.",ATL,@MIN,DB,2.5,0.6,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,3.3
52,"Jackson, William",CIN,@IND,DB,2.5,0.6,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,3.3
53,"Hargreaves, Vernon",HOU,@TEN,DB,2.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.3
54,"Douglas, Rasul",CAR,CHI,DB,2.2,0.8,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.2
55,"Needham, Nik",MIA,NYJ,DB,2.0,1.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.1
56,"Wiltz, Jomal",MIA,NYJ,DB,2.2,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.1
57,"Sheffield, Kendall",ATL,@MIN,DB,2.2,1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,4.0,3.0
58,"Jackson, Donte",CAR,CHI,DB,1.7,0.8,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,3.0
59,"Alexander, Mackensie",CIN,@IND,DB,2.2,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0
60,"Smith, Tye",TEN,HOU,DB,2.1,0.7,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.0,3.0
