Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Lutz, Wil",NOS,TBB,K,3.6,3.7,2.1,2.3,0.1,0.6,0.5,0.8,0.2,0.2,10.5
2,"Tucker, Justin",BAL,CLE,K,3.0,3.1,2.0,2.2,0.0,0.7,0.6,0.6,0.1,0.1,9.7
3,"Butker, Harrison",KCC,HOU,K,3.6,3.9,1.7,1.8,0.0,0.5,0.5,0.5,0.2,0.2,8.9
4,"Koo, Younghoe",ATL,SEA,K,1.9,2.0,2.1,2.5,0.0,0.5,0.7,0.7,0.2,0.4,8.3
5,"Lambo, Josh",JAC,IND,K,1.4,1.5,2.0,2.1,0.0,0.7,0.6,0.4,0.3,0.1,8.3
6,"Gould, Robbie",SFO,ARI,K,2.5,2.6,1.9,2.1,0.0,0.6,0.6,0.5,0.1,0.3,8.1
7,"Elliott, Jake",PHI,@WAS,K,2.2,2.3,1.7,1.9,0.0,0.5,0.6,0.5,0.1,0.2,7.5
8,"Bullock, Randy",CIN,LAC,K,2.1,2.2,1.7,1.9,0.0,0.5,0.4,0.6,0.1,0.2,7.4
9,"Bailey, Dan",MIN,GBP,K,2.3,2.5,1.7,1.9,0.0,0.5,0.7,0.3,0.1,0.2,7.4
10,"Zuerlein, Greg",DAL,@LAR,K,2.6,2.6,1.7,2.3,0.0,0.5,0.5,0.4,0.3,0.6,7.1
11,"Prater, Matt",DET,CHI,K,2.2,2.2,1.6,1.9,0.0,0.6,0.4,0.4,0.3,0.2,7.1
12,"Hopkins, Dustin",WAS,PHI,K,1.6,1.6,1.7,1.9,0.0,0.4,0.5,0.6,0.2,0.2,7.0
13,"Badgley, Mike",LAC,@CIN,K,2.4,2.4,1.5,1.8,0.0,0.5,0.3,0.6,0.1,0.3,6.9
14,"Crosby, Mason",GBP,@MIN,K,2.5,2.6,1.4,1.5,0.1,0.1,0.6,0.4,0.2,0.1,6.9
15,"Slye, Joey",CAR,LVR,K,1.8,2.1,1.4,1.7,0.0,0.3,0.3,0.4,0.5,0.3,6.7
16,"Fairbairn, Ka'imi",HOU,@KCC,K,2.4,2.6,1.5,1.8,0.0,0.4,0.5,0.4,0.2,0.3,6.7
17,"Boswell, Chris",PIT,@NYG,K,2.2,2.4,1.5,1.7,0.0,0.5,0.4,0.5,0.1,0.2,6.7
18,"Folk, Nick",NEP,MIA,K,2.2,2.3,1.7,2.0,0.1,0.7,0.5,0.3,0.1,0.3,6.7
19,"McManus, Brandon",DEN,TEN,K,1.9,1.9,1.6,1.9,0.0,0.3,0.5,0.6,0.2,0.3,6.6
20,"Gonzalez, Zane",ARI,@SFO,K,1.9,2.0,1.4,1.7,0.0,0.5,0.6,0.3,0.1,0.3,5.9
21,"Sanders, Jason",MIA,@NEP,K,2.1,2.1,1.3,1.5,0.0,0.4,0.3,0.4,0.1,0.3,5.6
22,"Carlson, Daniel",LVR,@CAR,K,1.9,2.0,1.3,1.7,0.0,0.4,0.3,0.5,0.1,0.4,5.4
23,"Ficken, Sam",NYJ,@BUF,K,1.7,1.9,1.4,2.0,0.0,0.2,0.5,0.5,0.2,0.5,5.4
24,"Blankenship, Rodrigo",IND,@JAC,K,2.3,2.5,1.1,1.4,0.0,0.4,0.3,0.1,0.3,0.3,5.3
25,"Myers, Jason",SEA,@ATL,K,2.0,2.2,1.3,1.6,0.0,0.3,0.5,0.3,0.1,0.4,5.3
26,"Santos, Cairo",CHI,@DET,K,1.9,2.1,1.3,1.6,0.0,0.4,0.6,0.3,0.0,0.3,5.2
27,"Sloman, Sam",FA,Bye,K,2.4,2.4,1.3,2.0,0.0,0.4,0.5,0.2,0.2,0.6,5.1
28,"Bass, Tyler",BUF,NYJ,K,1.5,1.6,1.3,1.6,0.0,0.3,0.4,0.4,0.1,0.3,5.0
29,"Seibert, Austin",CIN,LAC,K,1.6,1.9,1.2,1.5,0.0,0.3,0.4,0.5,0.1,0.3,4.9
30,"Succop, Ryan",TBB,@NOS,K,2.7,2.9,0.9,1.4,0.0,0.1,0.2,0.4,0.2,0.5,4.6
31,"Gostkowski, Stephen",TEN,@DEN,K,2.7,3.0,0.6,0.8,0.0,0.1,0.2,0.1,0.1,0.3,3.9
32,"Gano, Graham",NYG,PIT,K,2.0,2.3,0.5,0.6,0.0,0.1,0.3,0.1,0.0,0.1,3.1

