Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
1,"Baker, Budda",ARI,MIA,DB,6.5,1.9,0.2,0.4,0.2,0.1,0.1,0.0,0.0,0.0,8.6
2,"Jenkins, Rayshawn",LAC,LVR,DB,5.1,2.1,0.1,0.6,0.3,0.0,0.0,0.0,0.0,0.0,7.5
3,"Simmons, Justin",DEN,@ATL,DB,5.4,1.3,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,7.5
4,"Poyer, Jordan",BUF,SEA,DB,5.5,2.0,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,7.3
5,"Maye, Marcus",NYJ,NEP,DB,4.7,2.0,0.2,0.7,0.3,0.2,0.0,0.0,0.0,0.0,7.2
6,"Neal, Keanu",ATL,DEN,DB,5.5,1.8,0.1,0.4,0.1,0.0,0.0,0.0,0.0,0.0,7.1
7,"Curl, Kamren",WAS,NYG,DB,4.2,1.1,0.1,0.9,0.5,0.1,0.0,0.0,0.0,0.0,6.8
8,"Rowe, Eric",MIA,@ARI,DB,4.5,1.7,0.0,1.1,0.2,0.1,0.0,0.0,0.0,0.0,6.8
9,"Winfield Jr., Antoine",TBB,NOS,DB,4.1,1.4,0.2,0.7,0.2,0.1,0.0,0.0,0.0,0.0,6.2
10,"Jones, Josh",JAC,HOU,DB,4.9,2.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,6.2
11,"Byard, Kevin",TEN,CHI,DB,4.3,1.6,0.1,0.6,0.2,0.1,0.0,0.0,0.0,0.0,6.2
12,"Sorensen, Daniel",KCC,CAR,DB,4.6,1.4,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,6.2
13,"Jackson, Kareem",DEN,@ATL,DB,4.5,1.8,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,6.1
14,"Jenkins, Malcolm",NOS,@TBB,DB,4.0,1.6,0.2,0.8,0.1,0.1,0.0,0.0,0.0,0.0,6.1
15,"Fitzpatrick, Minkah",PIT,@DAL,DB,3.7,1.9,0.0,0.5,0.2,0.2,0.1,0.0,0.0,0.0,6.0
16,"Thompson, Darian",DAL,PIT,DB,4.3,1.1,0.1,0.7,0.2,0.0,0.0,0.0,0.0,0.0,5.9
17,"Reid, Justin",HOU,@JAC,DB,4.2,1.6,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,5.6
18,"Willis, Khari",IND,BAL,DB,4.2,1.1,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,5.5
19,"Edmunds, Terrell",PIT,@DAL,DB,3.9,1.4,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,5.5
20,"Clark, Chuck",BAL,@IND,DB,3.7,2.0,0.2,0.2,0.0,0.2,0.1,0.0,0.0,0.0,5.5
21,"Adams, Jamal",SEA,@BUF,DB,3.8,1.3,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,5.5
22,"Vaccaro, Kenny",TEN,CHI,DB,4.0,1.7,0.1,0.5,0.1,0.0,0.0,0.0,0.0,0.0,5.5
23,"Mathieu, Tyrann",KCC,CAR,DB,3.8,0.9,0.1,0.6,0.2,0.0,0.0,0.0,0.0,0.0,5.4
24,"Smith, Harrison",MIN,DET,DB,3.9,1.3,0.0,0.4,0.1,0.1,0.1,0.0,0.0,0.0,5.4
25,"Peppers, Jabrill",NYG,@WAS,DB,4.0,1.4,0.1,0.3,0.0,0.1,0.1,0.0,7.0,1.0,5.3
26,"Harris, Anthony",MIN,DET,DB,3.4,1.9,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,5.3
