Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Lutz, Wil",NOS,@DEN,K,3.5,3.5,2.2,2.4,0.0,0.6,0.7,0.7,0.1,0.3,10.2
2,"Koo, Younghoe",ATL,LVR,K,1.7,2.0,2.2,2.4,0.0,0.6,0.7,0.6,0.4,0.2,9.1
3,"Sanders, Jason",MIA,@NYJ,K,2.5,2.5,1.9,2.1,0.0,0.5,0.3,0.6,0.5,0.2,8.9
4,"Gonzalez, Zane",ARI,@NEP,K,3.0,3.1,1.8,2.1,0.0,0.6,0.5,0.6,0.2,0.3,8.6
5,"Tucker, Justin",BAL,@PIT,K,2.7,2.7,1.7,1.9,0.0,0.5,0.4,0.6,0.2,0.1,8.4
6,"Blankenship, Rodrigo",IND,TEN,K,2.5,2.7,2.0,2.3,0.0,0.4,0.8,0.7,0.1,0.3,8.3
7,"McManus, Brandon",DEN,NOS,K,1.8,1.9,1.8,2.0,0.0,0.4,0.3,0.7,0.4,0.2,8.2
8,"Carlson, Daniel",LVR,@ATL,K,2.6,2.7,1.7,2.0,0.0,0.6,0.5,0.4,0.2,0.2,7.9
9,"Butker, Harrison",KCC,@TBB,K,3.2,3.5,1.5,1.7,0.0,0.3,0.6,0.3,0.2,0.2,7.7
10,"Myers, Jason",SEA,@PHI,K,3.0,3.3,1.4,1.5,0.0,0.2,0.4,0.6,0.2,0.2,7.7
11,"Succop, Ryan",TBB,KCC,K,2.8,3.0,1.6,1.8,0.0,0.4,0.6,0.5,0.1,0.2,7.7
12,"Folk, Nick",NEP,ARI,K,1.9,2.1,1.8,2.0,0.0,0.5,0.5,0.6,0.1,0.2,7.7
13,"Bass, Tyler",BUF,LAC,K,2.5,2.6,1.8,2.3,0.1,0.4,0.4,0.6,0.3,0.6,7.4
14,"Gano, Graham",NYG,@CIN,K,1.6,1.7,1.7,1.8,0.0,0.3,0.7,0.4,0.2,0.1,7.4
15,"Crosby, Mason",GBP,CHI,K,3.0,3.1,1.3,1.3,0.1,0.1,0.5,0.4,0.1,0.0,7.4
16,"Bullock, Randy",CIN,NYG,K,1.8,1.9,1.8,2.1,0.0,0.4,0.6,0.6,0.2,0.3,7.2
17,"Badgley, Mike",LAC,@BUF,K,2.6,2.7,1.6,2.0,0.0,0.5,0.3,0.6,0.2,0.4,7.1
18,"Gould, Robbie",SFO,@LAR,K,2.5,2.6,1.5,1.7,0.0,0.4,0.6,0.4,0.1,0.2,7.1
19,"Parkey, Cody",CLE,@JAC,K,2.4,2.6,1.5,1.7,0.0,0.2,0.4,0.8,0.0,0.2,7.0
20,"Slye, Joey",CAR,@MIN,K,2.0,2.2,1.7,2.1,0.0,0.5,0.5,0.5,0.2,0.4,6.9
21,"Boswell, Chris",PIT,BAL,K,2.2,2.4,1.5,1.7,0.0,0.3,0.5,0.7,0.1,0.2,6.9
22,"Zuerlein, Greg",DAL,WAS,K,1.8,2.0,1.7,2.0,0.1,0.2,0.5,0.7,0.2,0.4,6.7
23,"Bailey, Dan",MIN,CAR,K,2.7,2.9,1.2,1.4,0.0,0.3,0.4,0.3,0.1,0.1,6.7
24,"Gay, Matt",LAR,SFO,K,2.8,3.1,1.4,1.9,0.0,0.4,0.4,0.4,0.2,0.4,6.5
25,"Santos, Cairo",CHI,@GBP,K,1.7,1.7,1.5,1.7,0.0,0.5,0.5,0.4,0.2,0.2,6.5
26,"Fairbairn, Ka'imi",HOU,@DET,K,2.1,2.3,1.3,1.6,0.0,0.3,0.6,0.3,0.2,0.3,5.9
27,"Hopkins, Dustin",WAS,@DAL,K,1.5,1.6,1.4,1.9,0.0,0.2,0.5,0.6,0.1,0.5,5.2
28,"Elliott, Jake",PHI,SEA,K,1.7,1.8,1.2,1.5,0.0,0.2,0.5,0.4,0.1,0.3,5.1
29,"Gostkowski, Stephen",TEN,@IND,K,2.5,2.7,1.1,1.8,0.0,0.2,0.2,0.4,0.4,0.7,5.1
30,"Prater, Matt",DET,HOU,K,1.9,1.9,1.3,1.9,0.0,0.4,0.3,0.4,0.3,0.6,5.0
31,"Castillo, Sergio",NYJ,MIA,K,1.1,1.3,1.1,1.5,0.0,0.2,0.4,0.2,0.3,0.4,4.0

