Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"O'Donnell, Pat",CHI,@GBP,P,4.9,222.0,21.0,1.9,15.7
2,"Berry, Jordan",PIT,BAL,P,4.8,218.0,20.0,1.8,15.5
3,"Way, Tress",WAS,@DAL,P,4.5,219.0,17.0,1.8,15.4
4,"Cooke, Logan",JAC,CLE,P,4.4,210.0,9.0,1.8,14.9
5,"Mann, Braden",NYJ,MIA,P,5.0,224.0,24.0,1.2,14.7
6,"Fox, Jack",DET,HOU,P,4.1,201.0,8.0,1.8,14.5
7,"Dickson, Michael",SEA,@PHI,P,4.2,198.0,15.0,1.9,14.5
8,"Hekker, Johnny",LAR,SFO,P,4.2,195.0,15.0,1.9,14.3
9,"Johnston, Cam",PHI,SEA,P,4.4,207.0,17.0,1.5,14.2
10,"Haack, Matt",MIA,@NYJ,P,4.5,202.0,12.0,1.7,14.2
11,"Huber, Kevin",CIN,NYG,P,4.5,207.0,12.0,1.4,14.0
12,"Dixon, Riley",NYG,@CIN,P,4.0,178.0,6.0,1.9,13.3
13,"Bailey, Jake",NEP,ARI,P,3.7,168.0,6.0,1.7,12.6
14,"Martin, Sam",DEN,NOS,P,4.0,188.0,15.0,1.3,12.6
15,"Lee, Andy",ARI,@NEP,P,3.8,175.0,14.0,1.3,12.0
16,"Anger, Bryan",HOU,@DET,P,3.5,164.0,7.0,1.4,11.7
17,"Morstead, Thomas",NOS,@DEN,P,3.6,155.0,6.0,1.6,11.6
18,"Bojorquez, Corey",BUF,LAC,P,3.5,156.0,11.0,1.4,11.1
19,"Gillan, Jamie",CLE,@JAC,P,3.6,160.0,15.0,1.2,11.0
20,"Koch, Sam",BAL,@PIT,P,3.3,150.0,10.0,1.5,11.0
21,"Wishnowsky, Mitch",SFO,@LAR,P,3.4,158.0,8.0,1.3,10.9
22,"Cole, A.J.",LVR,@ATL,P,3.2,142.0,11.0,1.5,10.8
23,"Scott, J.K.",GBP,CHI,P,3.7,163.0,19.0,1.1,10.8
24,"Pinion, Bradley",TBB,KCC,P,3.5,155.0,10.0,1.1,10.7
25,"Sanchez, Rigoberto",IND,TEN,P,3.2,145.0,7.0,1.5,10.6
26,"Colquitt, Britton",MIN,CAR,P,3.7,168.0,21.0,1.0,10.4
27,"Hofrichter, Sterling",ATL,LVR,P,3.5,148.0,7.0,1.0,9.9
28,"Long, Ty",LAC,@BUF,P,3.3,154.0,23.0,0.9,9.2
29,"Charlton, Joseph",CAR,@MIN,P,2.8,133.0,10.0,0.9,9.1
30,"Townsend, Tommy",KCC,@TBB,P,2.8,130.0,8.0,1.0,9.1
31,"Niswander, Hunter",DAL,WAS,P,2.6,111.0,6.0,0.8,7.6

