Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"O'Donnell, Pat",CHI,@JAC,P,4.9,222.0,21.0,1.9,15.7
2,"Berry, Jordan",PIT,IND,P,4.8,216.0,21.0,1.8,15.4
3,"Way, Tress",WAS,CAR,P,4.5,220.0,17.0,1.8,15.4
4,"Cooke, Logan",JAC,CHI,P,4.4,210.0,9.0,1.8,14.9
5,"Mann, Braden",NYJ,CLE,P,5.0,224.0,24.0,1.2,14.7
6,"Fox, Jack",DET,TBB,P,4.1,202.0,8.0,1.8,14.5
7,"Dickson, Michael",SEA,LAR,P,4.2,198.0,15.0,1.9,14.4
8,"Haack, Matt",MIA,@LVR,P,4.5,203.0,12.0,1.6,14.2
9,"Hekker, Johnny",LAR,@SEA,P,4.2,193.0,15.0,1.9,14.2
10,"Johnston, Cam",PHI,@DAL,P,4.3,206.0,17.0,1.5,14.1
11,"Huber, Kevin",CIN,@HOU,P,4.5,207.0,12.0,1.4,14.0
12,"Kern, Brett",TEN,@GBP,P,4.0,187.0,15.0,1.8,13.6
13,"Dixon, Riley",NYG,@BAL,P,4.0,178.0,6.0,1.9,13.3
14,"Bailey, Jake",NEP,BUF,P,3.7,170.0,6.0,1.7,12.7
15,"Martin, Sam",DEN,@LAC,P,4.0,189.0,15.0,1.3,12.6
16,"Lee, Andy",ARI,SFO,P,3.8,176.0,14.0,1.3,12.1
17,"Anger, Bryan",HOU,CIN,P,3.5,164.0,7.0,1.4,11.7
18,"Morstead, Thomas",NOS,MIN,P,3.6,155.0,6.0,1.6,11.6
19,"Palardy, Michael",CAR,@WAS,P,3.6,166.0,18.0,1.2,11.3
20,"Bojorquez, Corey",BUF,@NEP,P,3.5,157.0,11.0,1.4,11.2
21,"Gillan, Jamie",CLE,@NYJ,P,3.6,161.0,15.0,1.2,11.1
22,"Koch, Sam",BAL,NYG,P,3.3,150.0,10.0,1.5,11.0
23,"Cole, A.J.",LVR,MIA,P,3.2,142.0,11.0,1.5,10.8
24,"Wishnowsky, Mitch",SFO,@ARI,P,3.4,158.0,8.0,1.3,10.8
25,"Pinion, Bradley",TBB,@DET,P,3.5,155.0,10.0,1.1,10.7
26,"Scott, J.K.",GBP,TEN,P,3.7,161.0,19.0,1.1,10.6
27,"Sanchez, Rigoberto",IND,@PIT,P,3.2,145.0,7.0,1.5,10.6
28,"Colquitt, Britton",MIN,@NOS,P,3.7,168.0,21.0,1.0,10.4
29,"Hofrichter, Sterling",ATL,@KCC,P,3.5,148.0,7.0,1.0,9.9
30,"Long, Ty",LAC,DEN,P,3.3,155.0,23.0,0.9,9.3
31,"Charlton, Joseph",CAR,@WAS,P,2.9,134.0,10.0,0.9,9.2
32,"Townsend, Tommy",KCC,ATL,P,2.8,130.0,8.0,1.0,9.1
33,"Jones, Chris",DAL,PHI,P,3.1,130.0,8.0,0.9,8.8

