Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
43,"Carter, Cethan",CIN,@PHI,TE,2.5,0.3,1.9,14.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.7
44,"Asiasi, Devin",NEP,LVR,TE,2.0,0.3,1.3,18.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.6
45,"Daniels, Darrell",ARI,DET,TE,1.6,0.3,1.2,16.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.5
46,"Moreau, Foster",LVR,@NEP,TE,1.2,0.3,0.9,10.0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.2
47,"Dissly, Will",SEA,DAL,TE,1.6,0.2,1.3,12.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.2
48,"McDonald, Vance",PIT,HOU,TE,2.7,0.3,1.7,12.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,3.2
49,"Gronkowski, Rob",TBB,@DEN,TE,2.4,0.3,1.4,14.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.1
50,"Bell, Blake",DAL,@SEA,TE,1.8,0.1,1.2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0
51,"Brate, Cameron",TBB,@DEN,TE,1.7,0.3,1.0,10.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.0
52,"Tonyan, Robert",GBP,@NOS,TE,1.1,0.2,0.9,9.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.9
53,"Kroft, Tyler",BUF,LAR,TE,1.5,0.3,0.8,9.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.8
54,"Bryant, Harrison",CLE,WAS,TE,1.6,0.1,1.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.6
55,"Hill, Josh",NOS,GBP,TE,1.6,0.4,1.1,9.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.5
56,"Lewis, Marcedes",GBP,@NOS,TE,1.4,0.1,1.0,10.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.4
57,"Dwelley, Ross",SFO,@NYG,TE,1.5,0.2,1.1,8.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.3
58,"Pruitt, MyCole",TEN,@MIN,TE,0.6,0.1,0.6,5.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1
59,"Arnold, Dan",ARI,DET,TE,1.1,0.2,0.7,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.8
60,"Smythe, Durham",MIA,@JAC,TE,1.4,0.1,0.8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.6
61,"James, Jesse",DET,@ARI,TE,1.5,0.0,0.8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
62,"Green, Virgil",LAC,CAR,TE,1.1,0.2,0.7,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.5
63,"Smith, Lee",BUF,LAR,TE,1.0,0.1,0.6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.5
