Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
57,"Harrison, Malik",BAL,LB,45.9,27.8,6.3,2.8,0.5,2.0,0.7,0.0,72.6
58,"Jack, Myles",JAC,LB,54.1,27.5,1.9,1.9,0.5,0.0,0.0,0.0,72.6
59,"Barr, Anthony",MIN,LB,53.8,22.2,2.2,1.8,0.4,1.8,0.9,0.0,72.4
60,"McKinney, Benardrick",HOU,LB,45.2,37.8,1.4,3.4,0.5,0.5,0.5,0.2,71.0
61,"Lawler, Justin",LAR,LB,46.9,18.1,6.3,4.8,0.7,1.4,0.3,0.1,70.1
62,"Kwiatkoski, Nick",LVR,LB,53.1,24.0,1.3,2.5,0.0,0.5,0.0,0.0,69.3
63,"Wilson, Damien",KCC,LB,53.3,28.8,1.3,0.0,0.0,0.0,0.0,0.0,69.1
64,"Williams, Vince",PIT,LB,40.9,27.5,6.2,2.0,0.2,1.9,0.5,0.0,65.7
65,"Tranquill, Drue",LAC,LB,56.9,12.2,0.8,1.8,0.0,0.0,0.0,0.0,65.6
66,"Alexander, Kwon",NOS,LB,44.5,21.1,0.7,5.4,1.2,1.5,0.0,0.0,65.0
67,"Greenlaw, Dre",SFO,LB,51.2,18.8,0.7,1.2,0.5,1.2,0.0,0.0,64.7
68,"Pratt, Germaine",CIN,LB,46.2,31.9,0.0,1.3,0.3,0.5,0.0,0.0,64.5
69,"Morrow, Nicholas",LVR,LB,50.5,17.4,0.0,2.9,0.9,0.6,0.0,0.0,64.4
70,"Dupree, Bud",PIT,LB,39.7,16.9,8.9,2.2,0.4,2.6,1.3,0.2,63.9
71,"Judon, Matt",BAL,LB,45.0,18.0,6.9,0.3,0.0,2.3,0.0,0.0,63.5
72,"Oluokun, Foyesade",ATL,LB,43.7,33.8,0.3,0.5,0.0,1.2,0.0,0.0,62.7
73,"Onwuasor, Patrick",NYJ,LB,43.7,19.8,3.3,2.5,0.5,1.0,0.0,0.0,61.4
74,"Vigil, Nick",LAC,LB,40.2,28.7,0.5,3.3,0.7,0.5,0.5,0.0,60.9
75,"Bentley, Ja'Whaun",NEP,LB,44.5,23.8,2.4,0.5,0.0,0.7,0.7,0.2,60.8
76,"Lee, Sean",DAL,LB,43.3,23.7,0.9,2.9,0.9,0.0,0.0,0.0,60.6
77,"Mayo, David",NYG,LB,40.9,28.2,3.6,1.4,0.0,0.0,0.0,0.1,60.0
78,"Chubb, Bradley",DEN,LB,43.7,13.8,4.5,2.5,0.0,1.2,0.9,0.0,59.7
79,"Miller, Von",DEN,LB,33.7,19.8,9.5,2.8,0.5,1.5,1.1,0.0,59.5
80,"Edwards, T.J.",PHI,LB,42.2,26.7,0.4,2.3,0.3,0.0,0.0,0.2,58.9
81,"Van Noy, Kyle",MIA,LB,41.7,20.9,3.0,1.6,0.6,0.4,0.4,0.2,58.9
82,"Landry, Harold",TEN,LB,36.6,21.4,7.1,1.7,0.3,0.7,0.7,0.0,58.1
83,"Goodson, B.J.",CLE,LB,41.4,19.5,0.5,2.3,1.1,0.6,0.2,0.0,57.1
84,"Gay, Willie",KCC,LB,41.6,24.2,2.7,0.0,0.0,0.0,0.0,0.2,56.6
85,"Klein, A.J.",BUF,LB,34.1,21.4,2.5,3.4,0.3,0.9,0.5,0.2,52.6
86,"Lewis, Terrell",LAR,LB,34.9,12.6,4.8,3.5,0.5,1.1,0.2,0.1,51.9
87,"Beasley, Vic",FA,LB,33.9,16.7,8.1,0.9,0.0,0.3,0.3,0.0,51.9
88,"Griffin, Shaquem",SEA,LB,27.7,31.2,4.8,1.3,0.0,1.0,0.8,0.0,51.2
89,"Carter, Lorenzo",NYG,LB,29.4,19.6,5.5,5.1,0.0,0.7,0.0,0.0,50.5
90,"Mercilus, Whitney",HOU,LB,28.5,13.9,6.7,1.4,1.2,3.0,0.6,0.0,49.6
91,"Golden, Markus",ARI,LB,28.8,26.0,7.3,0.0,0.0,0.0,0.0,0.2,49.0
