Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
50,"Tartt, Jaquiski",SFO,DB,58.7,17.9,1.4,4.5,0.7,0.8,0.8,0.2,0.0,0.0,76.6
51,"Bush, Deon",CHI,DB,59.0,9.9,0.0,7.5,0.4,1.0,1.0,0.2,0.0,0.0,74.2
52,"Joseph, Karl",CLE,DB,52.2,19.1,1.1,7.7,1.4,0.0,0.0,0.0,0.0,0.0,73.3
53,"Jones, Josh",JAC,DB,50.8,16.0,1.5,7.1,2.4,0.5,0.3,0.0,0.0,0.0,73.2
54,"Delpit, Grant",CLE,DB,50.5,16.6,0.9,8.5,1.2,0.9,0.9,0.0,19.0,35.0,72.4
55,"Jenkins, Rayshawn",LAC,DB,46.9,20.5,0.8,6.9,3.4,0.3,0.2,0.2,25.0,64.0,72.4
56,"McCourty, Devin",NEP,DB,52.8,13.5,0.3,5.2,2.6,1.6,0.0,0.0,0.0,0.0,71.8
57,"Love, Julian",NYG,DB,49.9,14.4,0.0,6.5,2.2,1.5,0.3,0.0,1.0,1.0,69.9
58,"Davis, Sean",PIT,DB,56.0,11.7,0.0,4.7,0.5,0.0,0.0,0.0,0.0,0.0,67.6
59,"McCain, Bobby",MIA,DB,46.6,18.9,1.7,6.1,1.8,0.0,0.0,0.0,0.0,0.0,67.6
60,"Evans, Justin",TBB,DB,45.0,9.7,0.9,10.0,1.7,0.5,0.3,0.1,0.0,0.0,65.0
61,"Allen, Ricardo",ATL,DB,42.2,21.5,0.0,7.5,1.8,0.0,0.0,0.0,0.0,0.0,64.1
62,"Thompson, Jalen",ARI,DB,50.2,15.1,0.0,3.9,0.4,0.3,0.3,0.0,0.0,0.0,63.1
63,"Kazee, Damontae",ATL,DB,42.6,27.4,0.0,2.7,1.6,0.2,0.0,0.0,0.0,0.0,62.3
64,"Williams, Marcus",NOS,DB,38.2,16.6,0.0,8.5,2.8,0.9,0.0,0.2,0.0,0.0,61.3
65,"Harmon, Duron",DET,DB,43.1,17.8,0.0,5.5,1.8,0.0,0.0,0.0,0.0,0.0,61.1
66,"Whitehead, Jordan",TBB,DB,42.7,19.0,0.3,7.3,0.6,0.0,0.0,0.0,0.0,0.0,61.0
67,"Thornhill, Juan",KCC,DB,40.1,15.7,0.0,6.2,3.0,0.7,0.0,0.2,0.0,0.0,60.9
