Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
104,"Boone, Mike",MIN,@NOS,RB,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,1.1
105,"Bonnafon, Reggie",CAR,@WAS,RB,0.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3,3.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0
106,"Johnson, D'Ernest",CLE,@NYJ,RB,1.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,1.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0
107,"Perine, Samaje",CIN,@HOU,RB,1.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,1.0
108,"Montgomery, Ty",NOS,MIN,RB,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.9
109,"Perry, Malcolm",MIA,@LVR,RB,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
110,"Smith, Rodney",CAR,@WAS,RB,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.1,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.7
111,"Armstead, Ryquell",JAC,CHI,RB,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.7
112,"Williams, Trayveon",CIN,@HOU,RB,0.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
113,"Ham, C.J.",MIN,@NOS,RB,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.3,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.7
114,"Cannon, Trenton",CAR,@WAS,RB,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.6
115,"Ricard, Patrick",BAL,NYG,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6
116,"Smith, Keith",ATL,@KCC,RB,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6
117,"Ozigbo, Devine",JAC,CHI,RB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
118,"Washington, Dwayne",NOS,MIN,RB,1.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
119,"Prosise, C.J.",HOU,CIN,RB,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.5
120,"Miller, Lamar",CHI,@JAC,RB,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5
121,"Janovich, Andy",CLE,@NYJ,RB,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
122,"Barner, Kenjon",TBB,@DET,RB,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,1.0,0.0,0.0,0.0,10.0,19.0,0.0,0.0,0.4
123,"Taylor, Patrick",GBP,TEN,RB,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3
124,"Ogunbowale, Dare",JAC,CHI,RB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.2,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.3
125,"Jones, Taiwan",BUF,@NEP,RB,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
126,"Logan, T.J.",TBB,@DET,RB,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.1,0.2
127,"Burton, Michael",NOS,MIN,RB,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2
128,"Gillaspia, Cullen",HOU,CIN,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
129,"Armah, Alexander",CAR,@WAS,RB,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
130,"Ward, Jonathan",ARI,SFO,RB,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,"Dowdle, Rico",DAL,PHI,RB,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
132,"Cox, Jeremy",DEN,@LAC,RB,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,"Howell, Buddy",HOU,CIN,RB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,"Penny, Elijhaa",NYG,@BAL,RB,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,"Watt, Derek",PIT,IND,RB,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,"Sherman, Anthony",KCC,ATL,RB,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

