Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Koo, Younghoe",ATL,DEN,K,2.0,2.4,2.6,2.8,0.0,0.7,0.8,0.8,0.2,0.2,10.5
2,"Butker, Harrison",KCC,CAR,K,3.3,3.7,1.7,1.8,0.1,0.4,0.7,0.3,0.2,0.1,8.8
3,"Tucker, Justin",BAL,@IND,K,2.8,2.8,1.8,1.9,0.0,0.4,0.4,0.7,0.2,0.1,8.8
4,"Fairbairn, Ka'imi",HOU,@JAC,K,2.7,2.9,1.8,2.0,0.0,0.4,0.7,0.5,0.2,0.2,8.2
5,"Carlson, Daniel",LVR,@LAC,K,2.3,2.4,1.9,2.2,0.0,0.7,0.5,0.5,0.2,0.3,8.1
6,"Lutz, Wil",NOS,@TBB,K,2.7,2.7,1.8,2.1,0.0,0.4,0.7,0.6,0.1,0.3,8.1
7,"Prater, Matt",DET,@MIN,K,2.6,2.6,1.8,2.2,0.0,0.4,0.6,0.5,0.3,0.4,8.1
8,"Succop, Ryan",TBB,NOS,K,3.2,3.4,1.6,1.8,0.0,0.3,0.7,0.5,0.1,0.3,7.9
9,"Boswell, Chris",PIT,@DAL,K,2.9,3.0,1.5,1.6,0.0,0.4,0.6,0.5,0.0,0.1,7.6
10,"McManus, Brandon",DEN,@ATL,K,1.8,1.9,1.7,2.0,0.0,0.4,0.3,0.6,0.4,0.3,7.5
11,"Gould, Robbie",SFO,GBP,K,2.5,2.6,1.5,1.7,0.0,0.4,0.5,0.4,0.1,0.2,7.1
12,"Slye, Joey",CAR,@KCC,K,1.8,2.0,1.8,2.2,0.0,0.6,0.5,0.4,0.2,0.4,6.8
13,"Sanders, Jason",MIA,@ARI,K,1.8,1.8,1.6,1.8,0.0,0.6,0.3,0.5,0.2,0.2,6.8
14,"Gano, Graham",NYG,@WAS,K,1.5,1.6,1.6,1.7,0.0,0.4,0.6,0.2,0.3,0.1,6.7
15,"Bass, Tyler",BUF,SEA,K,2.5,2.6,1.6,2.1,0.1,0.4,0.4,0.6,0.1,0.5,6.6
16,"Badgley, Mike",LAC,LVR,K,2.3,2.5,1.5,2.0,0.0,0.4,0.4,0.5,0.2,0.4,6.5
17,"Santos, Cairo",CHI,@TEN,K,1.7,1.8,1.5,1.8,0.0,0.3,0.6,0.4,0.2,0.2,6.4
18,"Blankenship, Rodrigo",IND,BAL,K,2.1,2.4,1.5,1.8,0.0,0.4,0.6,0.4,0.1,0.3,6.2
19,"Myers, Jason",SEA,@BUF,K,3.0,3.2,1.0,1.2,0.0,0.1,0.3,0.5,0.1,0.2,6.2
20,"Gonzalez, Zane",ARI,MIA,K,2.2,2.3,1.3,1.7,0.0,0.4,0.3,0.4,0.2,0.3,5.9
21,"Crosby, Mason",GBP,@SFO,K,2.3,2.4,1.0,1.1,0.0,0.0,0.5,0.4,0.1,0.1,5.6
22,"Folk, Nick",NEP,@NYJ,K,1.5,1.6,1.4,1.7,0.0,0.4,0.5,0.5,0.0,0.3,5.4
23,"Lambo, Josh",JAC,HOU,K,1.2,1.3,1.3,1.5,0.0,0.4,0.4,0.3,0.2,0.2,5.2
24,"Zuerlein, Greg",DAL,PIT,K,1.6,1.8,1.4,1.9,0.0,0.2,0.4,0.6,0.2,0.5,5.1
25,"Bailey, Dan",MIN,DET,K,2.0,2.1,1.1,1.4,0.0,0.3,0.4,0.2,0.1,0.3,5.0
26,"Hopkins, Dustin",WAS,NYG,K,1.4,1.6,1.3,1.7,0.0,0.3,0.4,0.5,0.1,0.4,4.9
27,"Gostkowski, Stephen",TEN,CHI,K,2.8,3.1,1.0,1.7,0.0,0.1,0.3,0.1,0.5,0.8,4.5
28,"Castillo, Sergio",NYJ,NEP,K,1.0,1.0,1.1,1.7,0.0,0.3,0.4,0.2,0.2,0.6,3.0

