Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
88,"Crawford, Tyrone",DAL,PIT,DL,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3
89,"Smith-Williams, James",WAS,NYG,DL,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2
90,"Johnson, Darryl",BUF,SEA,DL,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2
91,"Gotsis, Adam",JAC,HOU,DL,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2
92,"Murchison, Larrell",TEN,CHI,DL,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
93,"Sieler, Zach",MIA,@ARI,DL,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
94,"Charlton, Taco",KCC,CAR,DL,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
95,"Smith, Chris",LVR,@LAC,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
96,"Larkin, Austin",CAR,@KCC,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

