Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Vrabel, Mike",TEN,CLE,HC,1.0,0.0,30.0,2.0,19.6
2,"Payton, Sean",NOS,@ATL,HC,0.0,1.0,28.0,-2.0,13.4
3,"Harbaugh, John",BAL,DAL,HC,0.0,1.0,27.0,-1.0,13.2
4,"Reich, Frank",IND,@HOU,HC,0.0,1.0,27.0,-1.0,13.2
5,"Reid, Andy",KCC,DEN,HC,0.0,1.0,29.0,-5.0,13.0
6,"Shanahan, Kyle",SFO,BUF,HC,0.0,1.0,27.0,-4.0,12.3
7,"Taylor, Zac",CIN,@MIA,HC,0.0,1.0,26.0,-4.0,11.8
8,"Arians, Bruce",TBB,Bye,HC,0.0,1.0,24.0,-2.0,11.4
9,"Tomlin, Mike",PIT,WAS,HC,0.0,1.0,24.0,-3.0,11.1
10,"Carroll, Pete",SEA,NYG,HC,0.0,1.0,24.0,-3.0,11.1
11,"McVay, Sean",LAR,@ARI,HC,0.0,1.0,23.0,-4.0,10.3
12,"Marrone, Doug",JAC,@MIN,HC,0.0,1.0,21.0,-4.0,9.3
13,"Belichick, Bill",NEP,@LAC,HC,0.0,1.0,24.0,-11.0,8.7
14,"Kingsbury, Kliff",ARI,LAR,HC,0.0,1.0,23.0,-12.0,7.9
15,"Lynn, Anthony",LAC,NEP,HC,0.0,1.0,21.0,-11.0,7.2
16,"Pederson, Doug",PHI,@GBP,HC,0.0,1.0,21.0,-14.0,6.3
17,"Zimmer, Mike",MIN,JAC,HC,0.0,1.0,20.0,-13.0,6.1
18,"Nagy, Matt",CHI,DET,HC,0.0,1.0,20.0,-15.0,5.5
19,"LaFleur, Matt",GBP,PHI,HC,0.0,1.0,19.0,-14.0,5.3
20,"Flores, Brian",MIA,CIN,HC,0.0,1.0,19.0,-16.0,4.7
21,"Gase, Adam",NYJ,LVR,HC,0.0,1.0,18.0,-17.0,3.9
22,"Gruden, Jon",LVR,@NYJ,HC,0.0,1.0,17.0,-18.0,3.1
23,"Fangio, Vic",DEN,@KCC,HC,0.0,1.0,16.0,-19.0,2.3
24,"McDermott, Sean",BUF,@SFO,HC,0.0,1.0,15.0,-19.0,1.8

