Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
53,"McLendon, Steve",TBB,CAR,DL,1.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,1.6
54,"Tuttle, Shy",NOS,@LVR,DL,0.6,0.7,0.1,0.2,0.1,0.0,0.0,0.0,1.5
55,"Johnson, Jaleel",MIN,@IND,DL,0.7,0.7,0.2,0.0,0.0,0.0,0.0,0.0,1.4
56,"Jefferson, Quinton",BUF,@MIA,DL,0.7,0.7,0.1,0.1,0.0,0.0,0.0,0.0,1.4
57,"Covington, Christian",CIN,@CLE,DL,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.4
58,"Fatukasi, Foley",NYJ,SFO,DL,0.9,0.7,0.0,0.1,0.0,0.0,0.0,0.0,1.3
59,"Jenkins, John",CHI,NYG,DL,0.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.3
60,"Hall, P.J.",HOU,BAL,DL,0.9,0.3,0.1,0.0,0.0,0.0,0.0,0.0,1.2
61,"Phillips, Harrison",BUF,@MIA,DL,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.1
62,"Collins, Maliek",LVR,NOS,DL,0.6,0.5,0.1,0.0,0.0,0.0,0.0,0.0,1.1
63,"Square, Damion",LAC,KCC,DL,0.7,0.8,0.0,0.1,0.0,0.0,0.0,0.0,1.1
64,"Watts, Armon",MIN,@IND,DL,0.7,0.3,0.1,0.1,0.0,0.0,0.0,0.0,1.0
65,"Johnson, Austin",NYG,@CHI,DL,0.6,0.7,0.0,0.1,0.0,0.0,0.0,0.0,1.0
66,"Kerr, Zach",CAR,@TBB,DL,0.7,0.5,0.0,0.1,0.0,0.0,0.0,0.0,1.0
67,"Settle, Tim",WAS,@ARI,DL,0.5,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.8
68,"Gaines, Greg",LAR,@PHI,DL,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7
69,"Jackson, Malik",PHI,LAR,DL,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.7
70,"Blacklock, Ross",HOU,BAL,DL,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.6
71,"Tuioti-Mariner, Jacob",ATL,@DAL,DL,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6
72,"Hill, Trysten",DAL,ATL,DL,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6
73,"Ellis, Justin",BAL,@HOU,DL,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6
74,"Nunez-Roches, Rakeem",TBB,CAR,DL,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5
75,"Senat, Deadrin",ATL,@DAL,DL,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4
76,"Ridgeway, Hassan",PHI,LAR,DL,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.4
77,"Butler, Vernon",BUF,@MIA,DL,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.4
78,"Lewis, Tyquan",IND,MIN,DL,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3
