Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Cook, Dalvin",MIN,DAL,RB,18.9,96.0,1.1,0.8,0.0,0.1,0.1,0.0,0.1,4.1,0.2,3.2,28.0,0.1,0.1,0.1,0.0,0.0,0.1,2.1,22.3
2,"Kamara, Alvin",NOS,ATL,RB,13.0,60.0,0.7,0.5,0.1,0.0,0.0,0.0,0.0,7.5,0.9,6.0,51.0,0.2,0.7,0.1,1.0,8.0,0.0,1.7,22.2
3,"Henry, Derrick",TEN,@BAL,RB,22.0,110.0,0.9,0.7,0.1,0.0,0.0,0.0,0.1,2.5,0.1,1.8,16.0,0.0,0.0,0.0,0.0,0.0,0.1,2.1,20.0
4,"Davis, Mike",CAR,DET,RB,13.4,56.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,6.9,0.9,6.0,40.0,0.3,0.2,0.1,0.0,0.0,0.1,1.7,19.8
5,"Jones, Aaron",GBP,@IND,RB,15.0,70.0,0.7,0.5,0.1,0.0,0.0,0.0,0.1,4.4,0.5,3.4,28.0,0.2,0.1,0.1,0.0,0.0,0.1,1.7,18.5
6,"Jacobs, Josh",LVR,KCC,RB,20.0,90.0,0.7,0.5,0.2,0.0,0.0,0.0,0.0,4.0,0.2,3.0,20.0,0.0,0.1,0.0,0.0,0.0,0.1,1.4,17.9
7,"Chubb, Nick",CLE,PHI,RB,17.0,90.0,0.7,0.4,0.2,0.1,0.0,0.0,0.0,2.5,0.4,2.0,18.0,0.1,0.1,0.0,0.0,0.0,0.1,1.3,17.6
8,"Hunt, Kareem",CLE,PHI,RB,14.0,62.0,0.4,0.3,0.1,0.0,0.0,0.0,0.0,4.5,0.7,3.5,27.0,0.3,0.1,0.0,0.0,3.0,0.0,0.8,16.4
9,"Conner, James",PIT,@JAC,RB,17.0,70.0,0.6,0.4,0.2,0.0,0.0,0.0,0.0,3.7,0.6,3.0,22.0,0.1,0.1,0.0,0.0,0.0,0.1,1.2,16.2
10,"Sanders, Miles",PHI,@CLE,RB,15.0,77.0,0.4,0.2,0.1,0.0,0.0,0.0,0.1,3.9,0.5,2.6,24.0,0.1,0.1,0.1,0.0,4.0,0.1,1.3,16.1
11,"Elliott, Ezekiel",DAL,@MIN,RB,17.0,70.0,0.7,0.5,0.2,0.0,0.0,0.0,0.0,3.9,0.4,2.8,20.0,0.1,0.1,0.0,0.0,0.0,0.4,1.2,15.9
12,"Robinson, James",JAC,PIT,RB,17.0,75.0,0.5,0.4,0.1,0.0,0.0,0.0,0.0,3.4,0.3,2.5,18.0,0.1,0.1,0.0,0.0,0.0,0.1,0.9,15.4
13,"Bernard, Giovani",CIN,@WAS,RB,11.0,55.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,3.9,0.7,3.2,24.0,0.2,0.1,0.1,0.0,3.0,0.0,1.3,14.6
14,"Gibson, Antonio",WAS,CIN,RB,14.0,62.0,0.7,0.5,0.2,0.0,0.0,0.0,0.0,2.9,0.2,2.4,20.0,0.0,0.1,0.0,0.0,0.0,0.2,1.1,14.3
15,"Edwards-Helaire, Clyde",KCC,@LVR,RB,16.0,72.0,0.4,0.3,0.1,0.0,0.0,0.0,0.0,3.1,0.5,2.2,17.0,0.1,0.1,0.0,0.0,0.0,0.0,0.7,14.3
16,"Gurley, Todd",ATL,@NOS,RB,17.0,63.0,0.7,0.6,0.1,0.0,0.1,0.0,0.0,2.1,0.2,1.5,9.0,0.1,0.0,0.0,0.0,0.0,0.1,1.7,13.6
17,"Hines, Nyheim",IND,GBP,RB,9.0,37.0,0.4,0.3,0.1,0.0,0.0,0.0,0.0,4.0,0.4,3.1,25.0,0.3,0.1,0.1,9.0,6.0,0.0,1.3,13.3
18,"Jones, Ronald",TBB,LAR,RB,14.0,67.0,0.4,0.3,0.0,0.0,0.0,0.0,0.1,3.4,0.2,3.0,20.0,0.0,0.1,0.0,0.0,0.0,0.3,0.8,13.3
19,"Ballage, Kalen",LAC,NYJ,RB,13.0,57.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,3.6,0.3,2.7,25.0,0.0,0.1,0.1,0.0,0.0,0.1,0.7,13.0
20,"Hyde, Carlos",SEA,ARI,RB,11.7,51.0,0.6,0.3,0.1,0.2,0.0,0.0,0.0,2.8,0.3,2.3,12.0,0.2,0.1,0.0,0.0,0.0,0.1,1.4,13.0
21,"Ahmed, Salvon",MIA,@DEN,RB,14.0,62.0,0.4,0.3,0.1,0.0,0.0,0.0,0.0,3.0,0.2,2.0,15.0,0.1,0.0,0.0,0.0,1.0,0.0,0.4,12.8
22,"Gordon, Melvin",DEN,MIA,RB,15.0,62.0,0.5,0.4,0.0,0.0,0.0,0.1,0.0,3.4,0.2,2.6,13.0,0.1,0.1,0.0,0.0,0.0,0.3,0.9,12.8
23,"Williams, Jamaal",GBP,@IND,RB,12.0,55.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,3.3,0.2,2.7,21.0,0.1,0.1,0.0,0.0,1.0,0.0,0.7,12.7
24,"Fournette, Leonard",TBB,LAR,RB,11.3,55.0,0.3,0.2,0.0,0.0,0.0,0.1,0.0,4.5,0.4,3.4,21.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,12.7
25,"McKissic, J.D.",WAS,CIN,RB,7.0,30.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,7.0,0.4,5.0,33.0,0.1,0.1,0.1,0.0,0.0,0.1,0.2,12.4
26,"Drake, Kenyan",ARI,@SEA,RB,15.0,70.0,0.4,0.3,0.0,0.0,0.0,0.0,0.1,2.4,0.2,1.7,12.0,0.0,0.1,0.0,0.0,0.0,0.1,1.1,12.2
27,"Henderson, Darrell",LAR,@TBB,RB,11.4,54.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.3,0.2,1.6,14.0,0.1,0.1,0.0,0.0,0.0,0.0,1.6,12.1
28,"Edmonds, Chase",ARI,@SEA,RB,10.0,48.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,3.4,0.5,2.8,23.0,0.1,0.1,0.1,0.0,16.0,0.0,0.6,11.8
29,"Taylor, Jonathan",IND,GBP,RB,12.0,51.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,2.9,0.1,2.5,26.0,0.0,0.1,0.1,3.0,1.0,0.1,1.0,11.6
30,"Pollard, Tony",DAL,@MIN,RB,14.0,65.0,0.4,0.3,0.1,0.0,0.0,0.0,0.0,2.0,0.4,1.5,10.0,0.0,0.0,0.0,0.0,33.0,0.0,0.2,11.6
31,"Dobbins, J.K.",BAL,TEN,RB,12.0,60.0,0.5,0.3,0.2,0.0,0.0,0.0,0.0,1.8,0.1,1.4,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,11.2
32,"Johnson, Duke",HOU,NEP,RB,15.0,50.0,0.4,0.3,0.1,0.0,0.0,0.0,0.0,2.4,0.5,1.9,16.0,0.1,0.1,0.0,0.0,0.0,0.1,0.7,11.1
33,"Johnson, Kerryon",DET,@CAR,RB,9.0,38.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,2.2,0.3,1.8,17.0,0.2,0.1,0.0,0.0,0.0,0.1,1.0,10.5
34,"White, James",NEP,@HOU,RB,3.3,15.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.8,4.3,35.0,0.2,0.1,0.1,0.0,1.0,0.1,0.6,10.5
35,"Ingram, Mark",BAL,TEN,RB,10.4,48.0,0.4,0.4,0.0,0.0,0.1,0.0,0.0,1.4,0.1,1.1,10.0,0.1,0.0,0.0,0.0,0.0,0.1,1.2,10.1
36,"Scott, Boston",PHI,@CLE,RB,10.0,50.0,0.2,0.1,0.0,0.0,0.0,0.0,0.1,2.5,0.5,2.0,15.0,0.1,0.1,0.0,1.0,23.0,0.0,1.0,10.0
