"Rank","Player","Team","Opp","Position","PUNTS","PUNT_YDS","PUNT_RETURN_YD","PUNT_INSIDE20","Pts"
1,"Lee, Andy","ARZ","@NYG","P",5.8,281.,23.,2.2,19.7
2,"Cooke, Logan","JAC","@CIN","P",5.5,248.,13.,2.2,17.7
3,"Way, Tress","WAS","SFO","P",5.1,234.,24.,2.3,17.4
4,"Edwards, Lachlan","NYJ","NEP","P",5.5,252.,24.,1.7,17.
5,"Daniel, Trevor","HOU","@IND","P",4.9,222.,20.,2.3,16.7
6,"Haack, Matt","MIA","@BUF","P",5.4,239.,21.,1.9,16.7
7,"Kern, Brett","TEN","LAC","P",4.7,226.,18.,2.3,16.6
8,"Dickson, Michael","SEA","BAL","P",5.1,245.,26.,1.6,16.1
9,"Huber, Kevin","CIN","JAC","P",5.,228.,20.,1.8,15.9
10,"Martin, Sam","DET","MIN","P",4.9,217.,18.,2.,15.8
11,"Wadman, Colby","DEN","KCC","P",5.1,228.,21.,1.7,15.7
12,"Bojorquez, Corey","BUF","MIA","P",4.9,217.,16.,1.9,15.3
13,"Koch, Sam","BAL","@SEA","P",4.4,201.,21.,1.9,14.6
14,"Wile, Matt","MIN","@DET","P",4.6,208.,13.,1.7,14.5
15,"Sanchez, Rigoberto","IND","HOU","P",4.4,199.,5.,1.7,14.
16,"O'Donnell, Pat","CHI","NOS","P",4.2,184.,9.,2.1,14.
17,"Dixon, Riley","NYG","ARZ","P",4.6,208.,11.,1.3,13.8
18,"Johnston, Cam","PHI","@DAL","P",4.,188.,11.,1.6,13.3
19,"Scott, J.K.","GBP","OAK","P",4.6,203.,14.,1.1,13.3
20,"Cole, A.J.","OAK","@GBP","P",4.3,191.,14.,1.4,13.1
21,"Wishnowsky, Mitch","SFO","@WAS","P",4.2,183.,10.,1.5,12.8
22,"Hekker, Johnny","LAR","@ATL","P",3.6,168.,7.,1.7,12.5
23,"Long, Ty","LAC","@TEN","P",3.9,176.,16.,1.4,12.3
24,"Bosher, Matt","ATL","LAR","P",4.,181.,11.,1.4,12.2
25,"Jones, Chris","DAL","PHI","P",3.9,173.,12.,1.4,12.1
26,"Bailey, Jake","NEP","@NYJ","P",3.7,165.,10.,1.4,11.8
27,"Morstead, Thomas","NOS","@CHI","P",3.3,152.,7.,1.2,10.7
28,"Colquitt, Dustin","KCC","@DEN","P",3.3,148.,9.,1.4,10.7
"","","","","","","","","",""
