"Rank","Player","Team","Opp","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Punt Ret Yds","Kick Ret Yds","Pts"
1,"Mathieu, Tyrann","KCC","@DEN","DB",5.9,1.4,0.1,1.2,0.3,0.,0.,0.,0.,0.,8.4
2,"Clinton-Dix, Ha Ha","CHI","NOS","DB",5.2,0.7,0.,0.9,0.4,0.1,0.,0.,0.,0.,7.4
3,"Baker, Budda","ARZ","@NYG","DB",5.7,1.7,0.1,0.5,0.,0.1,0.1,0.,0.,0.,7.3
4,"Abram, Johnathan","OAK","@GBP","DB",4.9,1.1,0.1,0.9,0.3,0.1,0.,0.,0.,0.,7.
5,"Adams, Jamal","NYJ","NEP","DB",5.1,1.7,0.2,0.6,0.,0.1,0.1,0.,0.,0.,7.
6,"Bethea, Antoine","NYG","ARZ","DB",5.4,1.1,0.1,0.5,0.1,0.1,0.,0.,0.,0.,6.9
7,"Collins, Landon","WAS","SFO","DB",4.8,1.6,0.,0.7,0.2,0.1,0.,0.,0.,0.,6.8
8,"Johnson, John","LAR","@ATL","DB",4.4,1.8,0.,0.6,0.2,0.,0.,0.,0.,0.,6.3
9,"Jackson, Kareem","DEN","KCC","DB",4.3,0.8,0.,0.9,0.3,0.1,0.,0.,0.,0.,6.3
10,"Moore, Kenny","IND","HOU","DB",4.3,1.1,0.1,0.7,0.2,0.1,0.,0.,0.,0.,6.2
11,"Amos, Adrian","GBP","OAK","DB",4.6,1.1,0.,0.7,0.1,0.,0.,0.,0.,0.,6.2
12,"Reid, Justin","HOU","@IND","DB",4.2,1.2,0.1,0.7,0.2,0.1,0.1,0.,0.,0.,6.1
13,"Thornhill, Juan","KCC","@DEN","DB",4.3,1.,0.,0.6,0.2,0.1,0.1,0.,0.,0.,6.
14,"Kazee, Damontae","ATL","LAR","DB",4.,1.2,0.,0.7,0.3,0.,0.,0.,0.,0.,6.
15,"Byard, Kevin","TEN","LAC","DB",4.1,1.6,0.1,0.5,0.3,0.,0.,0.,0.,0.,6.
16,"Bell, Vonn","NOS","@CHI","DB",4.1,1.2,0.2,0.5,0.2,0.1,0.1,0.,0.,0.,6.
17,"Fuller, Kendall","KCC","@DEN","DB",4.4,1.2,0.,0.8,0.1,0.,0.,0.,0.,0.,5.9
18,"Jenkins, Malcolm","PHI","@DAL","DB",4.6,1.1,0.,0.4,0.1,0.1,0.,0.,0.,0.,5.9
19,"Neal, Keanu","ATL","LAR","DB",4.,1.4,0.,0.5,0.2,0.1,0.1,0.,0.,0.,5.8
20,"Savage, Darnell","GBP","OAK","DB",4.1,1.3,0.1,0.6,0.1,0.,0.,0.,0.,3.,5.7
21,"Maye, Marcus","NYJ","NEP","DB",4.5,1.1,0.,0.3,0.1,0.1,0.,0.,0.,0.,5.7
22,"Jackson, Eddie","CHI","NOS","DB",3.9,0.9,0.,0.7,0.2,0.1,0.1,0.,0.,0.,5.7
23,"Swearinger, D.J.","ARZ","@NYG","DB",4.3,0.8,0.1,0.5,0.1,0.2,0.,0.,0.,0.,5.7
24,"Poyer, Jordan","BUF","MIA","DB",4.1,1.4,0.1,0.4,0.2,0.1,0.,0.,0.,0.,5.7
25,"Smith, Harrison","MIN","@DET","DB",4.1,1.1,0.1,0.5,0.2,0.,0.,0.,0.,0.,5.7
26,"Jones, Reshad","MIA","@BUF","DB",4.3,1.2,0.,0.5,0.2,0.,0.,0.,0.,0.,5.7
27,"Fuller, Kyle","CHI","NOS","DB",2.9,0.6,0.,1.5,0.4,0.,0.,0.,0.,0.,5.6
28,"Bates, Jessie","CIN","JAC","DB",3.9,1.9,0.,0.4,0.1,0.,0.,0.,0.,0.,5.5
29,"Lattimore, Marshon","NOS","@CHI","DB",3.4,0.7,0.,1.,0.3,0.1,0.1,0.,0.,0.,5.5
30,"Poole, Brian","NYJ","NEP","DB",4.1,1.1,0.1,0.4,0.1,0.1,0.1,0.,0.,0.,5.5
31,"Williams, Shawn","CIN","JAC","DB",3.8,1.3,0.,0.5,0.2,0.,0.,0.,0.,0.,5.5
32,"Thompson, Tedric","SEA","BAL","DB",4.,1.5,0.,0.5,0.,0.1,0.,0.,0.,0.,5.4
33,"Geathers, Clayton","IND","HOU","DB",3.9,1.7,0.,0.4,0.1,0.1,0.,0.,0.,0.,5.4
34,"Johnson, Trumaine","NYJ","NEP","DB",4.,0.4,0.,0.6,0.2,0.1,0.,0.,0.,0.,5.4
35,"Amukamara, Prince","CHI","NOS","DB",3.8,0.6,0.,0.9,0.1,0.1,0.,0.,0.,0.,5.4
36,"Tartt, Jaquiski","SFO","@WAS","DB",4.1,1.,0.,0.3,0.1,0.1,0.,0.,0.,0.,5.2
37,"Heath, Jeff","DAL","PHI","DB",4.,1.1,0.,0.4,0.1,0.1,0.,0.,0.,0.,5.2
38,"Phillips, Adrian","LAC","@TEN","DB",3.4,1.4,0.,0.6,0.2,0.,0.,0.,0.,0.,5.1
39,"Butler, Malcolm","TEN","LAC","DB",3.5,0.6,0.,0.9,0.2,0.1,0.,0.,1.,2.,5.1
40,"Thomas, Earl","BAL","@SEA","DB",3.,0.7,0.1,1.,0.4,0.,0.,0.,1.,0.,5.1
41,"Ya-Sin, Rock","IND","HOU","DB",3.5,1.2,0.1,0.6,0.1,0.,0.,0.,0.,0.,5.
42,"Alexander, Jaire","GBP","OAK","DB",4.2,0.6,0.,0.4,0.1,0.,0.,0.,1.,0.,5.
43,"McDougald, Bradley","SEA","BAL","DB",3.8,0.9,0.,0.4,0.1,0.1,0.,0.,0.,0.,5.
44,"Vaccaro, Kenny","TEN","LAC","DB",3.7,1.3,0.1,0.4,0.1,0.,0.,0.,0.,0.,5.
45,"Joseph, Johnathan","HOU","@IND","DB",3.4,0.8,0.,0.8,0.2,0.,0.,0.,0.,0.,5.
46,"Woods, Xavier","DAL","PHI","DB",3.4,1.2,0.,0.6,0.1,0.1,0.,0.,0.,0.,4.9
