Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Johnson, David",ARZ,@SFO,RB,19.5,80.4,1.,0.8,0.1,0.,0.,0.,0.,5.4,57.,0.3,0.7,0.1,0.,5.,0.1,3.9,21.3
2,"Elliott, Ezekiel",DAL,KCC,RB,19.4,97.5,0.8,0.5,0.1,0.,0.,0.,0.1,2.1,19.7,0.,0.1,0.,0.,0.5,0.1,2.6,16.4
3,"Martin, Doug",TBB,@NOR,RB,21.9,87.8,0.5,0.4,0.,0.,0.,0.,0.,2.4,20.2,0.,0.1,0.,0.,0.,0.2,4.8,13.3
4,"Miller, Lamar",HOU,IND,RB,20.7,78.4,0.5,0.4,0.,0.,0.,0.,0.,2.5,15.3,0.1,0.1,0.,0.,0.,0.1,1.8,12.4
5,"Lynch, Marshawn",OAK,@MIA,RB,12.3,55.8,0.7,0.5,0.,0.2,0.,0.,0.,2.6,21.8,0.1,0.1,0.,1.,0.,0.,2.3,12.2
6,"Ajayi, Jay",MIA,OAK,RB,18.2,78.8,0.4,0.3,0.1,0.1,0.,0.,0.,2.4,16.1,0.,0.1,0.,0.,0.,0.,1.5,12.1
7,"Murray, DeMarco",TEN,BAL,RB,15.9,65.8,0.4,0.3,0.,0.,0.,0.,0.1,2.8,20.5,0.1,0.1,0.,0.,1.1,0.1,2.2,11.9
8,"Powell, Bilal",NYJ,BUF,RB,10.9,54.3,0.3,0.1,0.1,0.,0.1,0.,0.,3.8,27.8,0.2,0.1,0.1,0.,0.,0.1,0.9,10.8
9,"Freeman, Devonta",ATL,@CAR,RB,11.1,50.3,0.5,0.4,0.,0.,0.,0.,0.,2.9,25.4,0.1,0.1,0.1,0.,0.,0.1,3.3,10.8
10,"McCoy, LeSean",BUF,@NYJ,RB,11.4,57.8,0.4,0.3,0.1,0.,0.,0.,0.,2.4,18.5,0.1,0.1,0.,0.,0.,0.1,2.7,10.6
11,"McCaffrey, Christian",CAR,ATL,RB,13.3,54.2,0.5,0.4,0.1,0.,0.,0.,0.,2.5,20.3,0.1,0.,0.,0.,0.,0.1,3.3,10.5
12,"Ingram, Mark",NOR,TBB,RB,11.2,55.1,0.4,0.3,0.1,0.,0.,0.,0.,2.7,19.8,0.1,0.1,0.,0.,0.,0.1,3.,10.5
13,"Montgomery, Ty",GBP,DET,RB,11.1,51.2,0.3,0.2,0.,0.,0.,0.1,0.,2.4,19.1,0.3,0.1,0.,0.,3.2,0.1,2.2,10.1
14,"Gurley, Todd",LAR,@NYG,RB,15.5,58.5,0.4,0.3,0.,0.,0.,0.,0.,2.1,16.9,0.,0.1,0.,0.,0.2,0.1,2.5,10.
15,"Hunt, Kareem",KCC,@DAL,RB,12.4,53.4,0.3,0.3,0.,0.,0.,0.,0.,1.9,19.,0.2,0.1,0.,0.,0.3,0.1,3.2,10.
16,"Fournette, Leonard",JAC,CIN,RB,9.1,36.4,0.7,0.4,0.1,0.1,0.,0.,0.,2.7,20.3,0.,0.1,0.,0.,0.,0.2,2.,10.
17,"Blount, LeGarrette",PHI,DEN,RB,11.8,46.5,0.7,0.6,0.,0.,0.,0.1,0.,0.9,7.4,0.1,0.,0.,1.6,0.,0.1,1.9,9.8
18,"Mixon, Joe",CIN,@JAC,RB,18.7,57.7,0.5,0.5,0.,0.,0.,0.,0.,1.2,9.9,0.,0.,0.,0.,4.1,0.1,3.,9.7
19,"Rodgers, Jacquizz",TBB,@NOR,RB,15.1,58.8,0.4,0.3,0.,0.,0.,0.,0.,1.8,14.6,0.,0.1,0.,0.,0.,0.,1.4,9.6
20,"Anderson, C.J.",DEN,@PHI,RB,12.4,50.4,0.4,0.3,0.1,0.,0.,0.,0.,2.1,17.6,0.1,0.1,0.,0.,2.1,0.2,1.8,9.6
21,"Gore, Frank",IND,@HOU,RB,15.1,58.,0.2,0.2,0.,0.,0.,0.,0.,2.,16.1,0.2,0.1,0.,0.,0.,0.1,2.8,9.5
22,"Hyde, Carlos",SFO,ARZ,RB,12.4,53.7,0.3,0.3,0.,0.,0.,0.,0.,2.,16.1,0.2,0.1,0.,0.,0.2,0.2,2.3,9.5
23,"Abdullah, Ameer",DET,@GBP,RB,11.2,45.3,0.3,0.2,0.,0.,0.,0.,0.,3.2,25.8,0.1,0.1,0.1,0.,36.2,0.1,2.,9.2
24,"Forte, Matt",NYJ,BUF,RB,12.7,49.9,0.3,0.2,0.,0.,0.1,0.,0.,2.5,19.,0.1,0.1,0.,0.,0.,0.1,1.3,9.2
25,"Henry, Derrick",TEN,BAL,RB,10.9,47.,0.5,0.4,0.1,0.,0.,0.,0.,1.4,12.2,0.,0.,0.,1.6,4.3,0.,2.3,8.8
26,"Hill, Jeremy",CIN,@JAC,RB,12.7,46.5,0.6,0.5,0.,0.,0.,0.,0.,1.2,8.9,0.,0.,0.,0.,0.,0.1,2.9,8.7
27,"Woodhead, Danny",BAL,@TEN,RB,9.6,41.,0.1,0.,0.,0.,0.,0.,0.,3.8,37.4,0.,0.,0.,0.,0.,0.,0.4,8.4
28,"Perkins, Paul",NYG,LAR,RB,13.,50.9,0.1,0.1,0.,0.,0.,0.,0.,2.8,21.5,0.1,0.1,0.,0.,0.6,0.,0.7,8.3
29,"Mack, Marlon",IND,@HOU,RB,9.,40.6,0.5,0.5,0.,0.,0.,0.,0.,1.3,9.,0.,0.,0.,0.,19.9,0.,0.3,8.2
30,"Stewart, Jonathan",CAR,ATL,RB,13.2,50.2,0.5,0.5,0.,0.,0.,0.,0.,0.6,2.9,0.,0.,0.,0.,0.,0.1,1.3,7.8
31,"Peterson, Adrian",NOR,TBB,RB,6.2,21.3,0.1,0.1,0.,0.,0.,0.,0.,2.9,25.9,0.4,0.1,0.1,0.,4.3,0.,0.9,7.6
32,"Kelley, Rob",WAS,@SEA,RB,10.5,43.6,0.3,0.2,0.,0.1,0.,0.,0.,1.5,12.4,0.,0.,0.,0.,0.,0.,1.7,7.6
33,"West, Terrance",BAL,@TEN,RB,10.2,40.2,0.2,0.2,0.1,0.,0.,0.,0.,2.4,15.9,0.1,0.1,0.,0.,0.,0.,1.2,7.5
34,"Sims, Charles",TBB,@NOR,RB,7.3,31.5,0.,0.,0.,0.,0.,0.,0.,3.2,31.1,0.2,0.1,0.1,0.,0.,0.1,2.7,7.4
35,"Coleman, Tevin",ATL,@CAR,RB,7.5,34.4,0.3,0.2,0.,0.,0.,0.,0.1,0.7,5.,0.2,0.1,0.,0.,0.,0.1,1.8,6.9
36,"Bernard, Giovani",CIN,@JAC,RB,8.4,36.1,0.1,0.1,0.1,0.,0.,0.,0.,2.7,24.6,0.,0.1,0.,0.,0.2,0.1,2.7,6.8
37,"Riddick, Theo",DET,@GBP,RB,7.4,26.4,0.1,0.,0.,0.,0.,0.,0.,3.9,26.6,0.2,0.1,0.1,0.,3.9,0.,1.,6.7
38,"Sproles, Darren",PHI,DEN,RB,5.6,23.6,0.2,0.1,0.,0.1,0.,0.,0.,3.1,23.7,0.1,0.1,0.,14.5,2.,0.,1.4,6.4
39,"Thompson, Chris",WAS,@SEA,RB,4.2,21.1,0.2,0.1,0.,0.1,0.,0.,0.,2.9,20.3,0.1,0.1,0.,0.,18.9,0.1,0.6,6.
40,"Ivory, Chris",JAC,CIN,RB,9.4,37.9,0.1,0.1,0.,0.,0.,0.,0.,1.5,12.3,0.,0.,0.,0.,1.3,0.2,0.7,5.6
41,"Williams, Jamaal",GBP,DET,RB,8.,34.3,0.1,0.1,0.,0.,0.,0.,0.,1.6,13.4,0.,0.1,0.,0.,0.,0.,2.1,5.5
42,"Booker, Devontae",DEN,@PHI,RB,8.8,32.1,0.2,0.2,0.,0.,0.,0.,0.,1.6,12.1,0.,0.,0.,0.,0.9,0.2,1.,5.4
43,"Washington, DeAndre",OAK,@MIA,RB,6.2,33.,0.1,0.,0.,0.1,0.,0.,0.,1.5,12.7,0.,0.1,0.,1.4,3.6,0.,0.8,5.2
44,"West, Charcandrick",KCC,@DAL,RB,6.7,23.,0.1,0.1,0.,0.,0.,0.,0.,1.5,11.3,0.1,0.,0.,0.,0.8,0.1,0.8,4.9
45,"McFadden, Darren",DAL,KCC,RB,8.3,36.4,0.1,0.1,0.,0.,0.,0.,0.,1.2,9.,0.,0.,0.,0.,3.3,0.1,1.8,4.9
46,"Williams, Damien",MIA,OAK,RB,3.1,11.,0.2,0.1,0.1,0.,0.,0.,0.,1.7,16.1,0.2,0.1,0.,0.,5.2,0.1,1.,4.9
47,"Rawls, Thomas",SEA,WAS,RB,7.1,29.8,0.2,0.2,0.,0.,0.,0.,0.,0.7,5.1,0.,0.,0.,0.,0.,0.,1.2,4.9
48,"Allen, Javorius",BAL,@TEN,RB,6.3,22.8,0.1,0.1,0.,0.,0.,0.,0.,2.7,17.4,0.1,0.1,0.,0.,2.7,0.,1.5,4.7
49,"Blue, Alfred",HOU,IND,RB,9.,37.,0.1,0.,0.,0.,0.,0.,0.,0.9,3.9,0.,0.,0.,0.8,2.,0.1,1.1,4.5
