Player,Team,FG,FGA,XPT,FPts
Adam Vinatieri,IND,27.5,31.2,39.2,121.7
Aldrick Rosas,NYG,,,,
Andrew Franks,MIA,19.4,24.6,33.5,91.7
Blair Walsh,SEA,28.6,35.7,37.3,123.1
Brandon McManus,DEN,26.9,31.2,32.9,113.6
Cairo Santos,KC,28.2,32.3,38,122.6
Caleb Sturgis,PHI,31.1,36.6,36.9,130.2
Chandler Catanzaro,NYJ,22.8,28.7,26.7,95.1
Chris Boswell,PIT,30.6,34.3,42.1,133.9
Cody Parkey,CLE,19.6,24.6,25.3,84.1
Connor Barth,CHI,22.4,28.2,31.7,98.9
Dan Bailey,DAL,28.6,32.7,41.7,127.5
Dustin Hopkins,WAS,31.9,38.6,37.8,133.5
Graham Gano,CAR,32.7,40.9,41.3,139.4
Greg Zuerlein,LAR,20.4,25.4,27.6,88.8
Harrison Butker,CAR,0.1,0.1,0.1,0.4
Jake Elliott,CIN,0.1,0.1,0.1,0.4
Jason Myers,JAC,27.8,34.4,31.9,115.3
Josh Lambo,LAC,29,35.7,39.2,126.2
Justin Tucker,BAL,32.1,34.3,34.5,130.8
Kai Forbath,MIN,27.4,29.9,34.4,116.6
Mason Crosby,GB,30.8,35.9,48.8,141.2
Matt Bryant,ATL,34.7,38.3,49.4,153.5
Matt Prater,DET,27.4,31.3,33.3,115.5
Mike Nugent,NYG,23.1,28.8,32.1,101.4
Nick Folk,TB,27,31.3,37.9,118.9
Nick Novak,HOU,29.6,34.1,30.1,118.9
Phil Dawson,ARI,25.6,29.6,42.5,119.3
Randy Bullock,CIN,27.4,31.8,33.2,115.4
Robbie Gould,SF,22.3,24.2,31.4,98.3
Ryan Succop,TEN,24.1,26.5,38.8,111.1
Sebastian Janikowski,OAK,31.4,38.1,43.5,137.7
Stephen Gostkowski,NE,37.3,38.55,49.4,161.3
Steven Hauschka,BUF,22.5,24.8,35.8,103.3
Will Lutz,NO,29.8,36.2,47,136.4
Zane Gonzalez,CLE,0.1,0.1,0.1,0.4
