Player,Team,Rec,Rec Yds,Rec Tds,FL,FPts
Adam Shaheen,CHI,36,354,2.2,0.6,48.6
A.J. Derby,DEN,41,431,2.15,2.5,56.9
Anthony Fasano,MIA,18,192,1.05,0.3,25.8
Antonio Gates,LAC,41,453,4.4,1.6,71.7
Austin Hooper,ATL,46,535,5.2,0.2,84.7
Austin Seferian-Jenkins,NYJ,32,411,2.9,0.3,58.5
Ben Braunecker,CHI,4,36,0.1,0.1,4.2
Benjamin Watson,BAL,59,535,2.9,1.1,70.9
Ben Koyack,JAC,8,65,0.4,0.1,8.9
Blake Bell,SF,3,55,0,0.1,5.5
Braedon Bowman,NO,3,27,0.2,0,3.9
Brandon Williams,IND,2,25,0,0.1,2.5
Brent Celek,PHI,7,84,0.3,0.1,10.2
Bucky Hodges,MIN,5,39,0.3,0,5.7
Cameron Brate,TB,45,524,4.8,0.3,81.2
Charles Clay,BUF,49,518,3.2,0.3,71
C.J. Fiedorowicz,HOU,48,475,3.7,0.5,69.7
C.J. Uzomah,CIN,11,101,0.6,0.1,13.7
Clay Harbor,NO,5,37,0.1,0.1,4.3
Clive Walford,OAK,32,357,2.8,0.3,52.5
Coby Fleener,NO,55,646,2.9,0.3,82
Cole Wick,DET,4,38,0.2,0,5
Cory Harkey,LAR,3,14,0,0.1,1.4
Daniel Brown,CHI,11,89,0.5,0.1,11.9
Darren Fells,DET,7,76,0.75,0.1,10.6
David Johnson,PIT,3,31,0,0.3,3.1
David Morgan,MIN,4,35,0.3,0,5.3
David Njoku,CLE,46,410,1.9,0.5,52.4
Delanie Walker,TEN,55,641,3.9,0.3,87.5
Demetrius Harris,KC,29,280,1.7,0.4,38.2
Derek Carrier,WAS,4,35,0.2,0.1,4.7
Dion Sims,CHI,9,84,0.8,0.1,13.2
Dwayne Allen,NE,11,126,1.8,0.1,23.4
Ed Dickson,CAR,26,302,1.9,0.3,41.6
Eric Ebron,DET,72,799,3.7,0.2,102.1
Eric Saubert,ATL,4,51,0.4,0,7.5
Erik Swoope,IND,28,326,2,0.3,44.6
Evan Engram,NYG,52,479,3,0.5,65.9
Garrett Celek,SF,27,310,2.5,1.1,46
Gavin Escobar,KC,29,280,2,2.4,40
Geoff Swaim,DAL,5,50,0.2,0.1,6.2
George Kittle,SF,17,156,1.1,0.6,22.2
Gerald Everett,LAR,21,193,1.2,0.5,26.5
Greg Olsen,CAR,68,936,4.3,0.3,119.4
Hunter Henry,LAC,42,552,6,1.4,91.2
Ifeanyi Momah,ARI,4,54,0.2,0.1,6.6
Jack Doyle,IND,51,543,3.7,1.4,76.5
Jake Butt,DEN,2,19,0.1,0,2.5
James O'Shaughnessy,NE,1,14,0,0.1,1.4
Jared Cook,OAK,58,676,3.8,2,90.4
Jason Witten,DAL,58,600,3.5,1.7,81
Jeff Heuerman,DEN,6,86,0.1,0.1,9.2
Jerell Adams,NYG,8,70,0.4,0.1,9.4
Jeremy Sprinkle,WAS,5,48,0.3,0,6.6
Jermaine Gresham,ARI,46,473,2.6,0.4,62.9
Jesse James,PIT,53,531,2.7,0.2,69.3
Jimmy Graham,SEA,61,818,6.2,1.9,119
John Phillips,NO,8,58,0.7,0.1,10
Jonnu Smith,TEN,28,273,2.2,0.4,40.5
Jordan Leggett,NYJ,4,36,0.2,0,4.8
Jordan Reed,WAS,72,801,6.1,2.4,116.7
Josh Hill,NO,32,317,2.1,0.3,44.3
Joshua Perkins,ATL,3,42,0.6,0,7.8
Julius Thomas,MIA,38,390,3.5,0.3,60
Khari Lee,DET,4,35,0.2,0,4.7
Kyle Rudolph,MIN,78,739,6.6,0.3,113.5
Lance Kendricks,GB,18,184,1.3,0.3,28
Larry Donnell,BAL,14,80,0.7,0.4,12.2
Lee Smith,OAK,6,32,0.1,0.1,3.8
