Player,Team,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds,FL,FPts
Jeremy Maclin,BAL,,,0,78,811,3.4,0.3,101.5
Jermaine Kearse,SEA,0,0,0,45,548,2.6,0.2,70.4
J.J. Nelson,ARI,,,,33,571,5.5,1.5,90.1
John Brown,ARI,,,0,60,782,3.7,0.4,100.4
Johnny Holton,OAK,,,0,1,11,0,0.6,1.1
John Ross,CIN,,,0,50,622,3.1,0.6,80.8
Jordan Matthews,BUF,0,,0,58,743,4.8,0.3,103.1
Jordan Payton,CLE,0,0,0,,,,0,
Jordan Taylor,DEN,0,0,0,5,70,0.8,0.4,11.8
Jordy Nelson,GB,0,0,0,96,1175.,10.6,1.3,178.7
Josh Bellamy,CHI,,,0,7,95,0.4,0.1,11.9
Josh Doctson,WAS,0,0,0,46,653,2.8,0.6,82.1
Josh Huff,TB,,,0,9,88,1,0.1,14.8
Josh Malone,CIN,0,0,0,4,59,0.3,0,7.7
Josh Reynolds,LAR,0,0,0,16,199,0.9,0.6,25.3
JuJu Smith-Schuster,PIT,0,0,0,23,300,1.6,0.3,39.6
Julio Jones,ATL,,,0,115,1824.,9.1,0.4,237
Justin Hardy,ATL,0,0,0,7,75,0.9,0.1,12.9
Justin Hunter,PIT,0,0,0,25,352,5.4,0.2,67.6
Kamar Aiken,IND,0,0,0,33,469,2.6,0.4,62.5
Keenan Allen,LAC,,,,84,1014.,5.8,3.1,136.2
Kelvin Benjamin,CAR,,,0,64,960,7.1,1.4,138.6
Kenbrell Thompkins,NYJ,0,0,0,20,221,0.8,0.4,26.9
Kendall Wright,CHI,,,0,49,612,2.5,0.4,76.2
Kenny Britt,CLE,0,,0,71,883,4.5,1.3,115.3
Kenny Golladay,DET,0,0,0,60,717,4.1,0.4,96.3
Kenny Stills,MIA,0,0,0,34,598,4.9,0.3,89.2
Keshawn Martin,DET,0,0,0,9,102,0.5,0.5,13.2
Kevin White,CHI,,2,0,46,522,2.4,0.6,66.6
Laquon Treadwell,MIN,,,0,48,524,2.6,0.6,68
Larry Fitzgerald,ARI,,,0,92,933,5.6,1.6,126.9
Leonte Carroo,MIA,0,0,0,5,55,0.7,0.1,9.7
Mack Hollins,PHI,0,0,0,5,54,0.3,0,7.2
Malcolm Mitchell,NE,,,0,48,573,4.2,0.3,82.5
Mario Alford,CLE,0,0,0,4,52,0.2,0.1,6.4
Markus Wheaton,CHI,,,0,27,386,2.3,1.2,52.4
Marqise Lee,JAC,,,0,57,693,3.1,1,87.9
Marquise Goodwin,SF,0,0,0,30,419,2.7,0.4,58.1
Martavis Bryant,PIT,,,0,59,793,6.1,0.9,115.9
Marvin Jones,DET,,,0,53,759,3.1,0.2,94.5
Maurice Harris,WAS,0,0,0,6,56,0.1,0.1,6.2
Michael Campanaro,BAL,,,0,3,25,0.1,0.1,3.1
Michael Crabtree,OAK,0,0,0,80,905,7.2,0.3,133.7
Michael Floyd,MIN,0,0,0,30,320,2.4,0.2,46.4
Michael Thomas,NO,0,0,0,98,1232.,8.2,0.3,172.4
Mike Evans,TB,0,0,0,87,1238.,7.4,0.3,168.2
Mike Wallace,BAL,,,0,77,859,3.9,0.2,109.3
Mike Williams,LAC,0,0,0,30,418,2.7,0.6,58
Mohamed Sanu,ATL,,,0,61,724,4.35,1.1,100.6
Nelson Agholor,PHI,,,,38,376,2.4,0.5,52
Nick Williams,MIA,0,0,0,8,96,0.5,0.1,12.6
Noah Brown,DAL,0,0,0,4,55,0.4,0.1,7.9
Odell Beckham Jr.,NYG,,,0,98,1252.,7,1,167.2
Paul Richardson,SEA,,,0,8,123,0.6,0.1,15.9
Paul Turner,PHI,0,0,0,6,84,0.2,0.1,9.6
Pharoh Cooper,LAR,,,0,21,207,0.9,0.3,26.1
Phillip Dorsett,IND,,,0,24,365,1.5,0.4,45.5
Philly Brown,BUF,,,0,7,79,0.5,0.2,10.9
Pierre Garcon,SF,0,0,0,71,797,3.4,0.4,100.1
Quan Bray,IND,,,0,5,64,0.3,0,8.2
Randall Cobb,GB,,,,78,822,5.5,0.3,115.2
Rashard Higgins,CLE,,,0,5,54,0.1,0.1,6
Ricardo Louis,CLE,,,0,26,308,1,0.3,36.8
Rishard Matthews,TEN,,,0,53,727,5.3,1.5,104.5
Robby Anderson,NYJ,,,0,56,788.,2.8,1.6,95.2
Robert Davis,WAS,0,0,0,5,70,0.3,0.1,8.8
Robert Woods,LAR,,,0,39,445,1.6,0.6,54.1
Rodney Adams,MIN,0,0,0,5,56,0.3,0,7.4
Rod Streater,BUF,0,0,0,22,278,2,0.3,39.8
Roger Lewis,NYG,0,0,0,15,180,1,0.4,24
Russell Shepard,CAR,,,0,23,340,1.8,0.3,44.8
Ryan Grant,WAS,0,,0,19,267,1.1,0.4,33.3
Ryan Switzer,DAL,0,0,0,4,55,0.4,0.1,7.9
Sammie Coates,PIT,1,,,14,284,0.9,0.2,33.8
Sammy Watkins,LAR,,,0,58,755,3.9,0.3,98.9
Seth Roberts,OAK,,,0,37,412,4.9,0.3,70.6
Shane Wynn,JAC,,,0,4,49,0.2,0.1,6.1
Shelton Gibson,PHI,0,0,0,5,54,0.3,0,7.2
Stacy Coley,MIN,0,0,0,5,56,0.3,0,7.4
Stefon Diggs,MIN,,,0,98,1010.,4.4,0.3,127.4
Sterling Shepard,NYG,,,0,65,688,5.6,0.4,102.4
Tajae Sharpe,TEN,0,,0,12,148,0.5,0.1,17.8
Tanner McEvoy,SEA,0,0,0,4,68,1.7,0.1,17
Tavon Austin,LAR,,,,37,359,2.6,1.6,51.5
Taylor Gabriel,ATL,,,0,49,770,4.9,0.4,106.4
Taywan Taylor,TEN,0,,0,30,396,2.4,0.6,54
Ted Ginn,NO,,,,57,718,4.9,1.9,101.2
Terrance Williams,DAL,0,0,0,49,675,3.5,1.1,88.5
Terrelle Pryor,WAS,,,0,76,1115.,5,0.4,141.5
Tevaun Smith,IND,0,0,0,5,61,0.4,0,8.5
TJ Jones,DET,,,0,24,278,1.4,0.9,36.2
Tommylee Lewis,NO,,,0,4,46,0.1,0.1,5.2
Torrey Smith,PHI,,,0,45,578,5.4,0.3,90.2
Travis Benjamin,LAC,,,0,33,481,2.6,3.4,63.7
Trent Taylor,SF,0,0,0,4,46,0.3,0.1,6.4
Trevor Davis,GB,0,0,0,6,62,0.7,0.2,10.4
T.Y. Hilton,IND,0,0,0,74,1050.,4.6,0.3,132.6
Tyler Boyd,CIN,,,0,45,467,1.3,1.4,54.5
Tyler Lockett,SEA,,,,51,726,3,0.4,90.6
Tyreek Hill,KC,,,,60,586,6,1.5,94.6
Tyrell Williams,LAC,0,0,0,52,765,4.7,0.5,104.7
Victor Cruz,CHI,0,,0,37,554,1.2,1.5,62.6
Walter Powell,BUF,0,0,0,7,77,0.1,0.4,8.3
Wendall Williams,HOU,0,0,0,5,63,0.2,0,7.5
Will Fuller,HOU,,,0,29,325,1.5,0.2,41.5
Willie Snead,NO,0,0,0,78,1001.,4.5,0.8,127.1
Zay Jones,BUF,,,0,49,671,3.8,0.5,89.9
